# signature_presence | collection scie (stemness x immunogenicity (SCIE)) | run drvi_tum_64_nomt | three coordinate systems on ONE set of cells and ONE set of per-cell scores; the `space` column says which. The run id names the cells and the scores (05_6), not the space | 05_9 embedding control
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
space,readout,axis,kind,morans_i,knn_r2_cell,knn_r2_cohort,top_decile_nbr_frac,top_decile_fold,max_abs_rho,best_dim,best_dim_rho,ridge_r2_cohort,nonlinear_gap,space_r2_cohort,morans_i_perm_mean,morans_i_perm_sd,morans_i_perm_p,knn_r2_cohort_perm_mean,top_decile_fold_perm_mean,morans_i_random_mean,morans_i_random_sd,morans_i_vs_random_z,knn_r2_cohort_random_mean,n_random_sets
harmony,HALLMARK_IFNA,immune,signature,0.47857,0.5756,0.45775,0.34869,3.4866,0.62944,H 1,0.62944,0.60998,-0.15223,0.60998,-0.00012,0.00123,0.04762,-0.06597,1.00485,0.28357,0.01667,11.6961,0.18848,5.0
harmony,HALLMARK_IFNG,immune,signature,0.52089,0.61401,0.48587,0.3937,3.9366,0.69322,H 1,0.69322,0.62096,-0.13509,0.62096,-0.00024,0.00131,0.04762,-0.06878,1.01366,0.38358,0.02159,6.36109,0.27738,5.0
harmony,ISDS,immune,signature,0.44146,0.5142,0.40302,0.30283,3.02806,0.53212,H 1,0.53212,0.56371,-0.16069,0.56371,-0.00047,0.00124,0.04762,-0.06696,1.00752,0.17444,0.03506,7.61615,0.07156,5.0
harmony,KEGG_APM,immune,signature,0.52233,0.60266,0.47282,0.36209,3.62056,0.6396,H 1,0.6396,0.65236,-0.17953,0.65236,-0.00035,0.00146,0.04762,-0.06655,1.02504,0.36316,0.01599,9.95409,0.26795,5.0
harmony,IMMUNOGENIC_CONSENSUS,immune,signature,0.48678,0.57249,0.42701,0.35099,3.50956,0.5882,H 1,0.5882,0.62706,-0.20005,0.62706,-3e-05,0.00133,0.04762,-0.06617,1.01013,0.23147,0.02697,9.4675,0.14698,5.0
harmony,BENPORATH_ES1,stemness,signature,0.51752,0.55787,0.45684,0.46152,4.61476,0.48005,H 2,0.48005,0.57069,-0.11385,0.57069,-0.0001,0.00165,0.04762,-0.06633,1.0107,0.39107,0.03392,3.72788,0.2824,5.0
harmony,ESC_ASSOU,stemness,signature,0.62344,0.67472,0.55702,0.54869,5.48641,0.53217,H 5,-0.53217,0.68369,-0.12667,0.68369,-0.00077,0.00126,0.04762,-0.06628,0.9929,0.54094,0.01282,6.4368,0.44487,5.0
harmony,ESC_WONG,stemness,signature,0.56312,0.61299,0.48986,0.52059,5.20536,0.49901,H 2,0.49901,0.63665,-0.14679,0.63665,-0.00057,0.00122,0.04762,-0.0678,0.9996,0.52361,0.01843,2.14427,0.43911,5.0
harmony,LIM_STEM,stemness,signature,0.41166,0.46887,0.282,0.24907,2.4905,0.48876,H 9,-0.48876,0.54104,-0.25904,0.54104,-0.00051,0.00142,0.04762,-0.06762,0.99728,0.08224,0.01592,20.68998,0.00604,5.0
harmony,FMASC,stemness,signature,0.52353,0.56318,0.45813,0.43238,4.32342,0.32674,H 8,0.32674,0.60844,-0.1503,0.60844,5e-05,0.00136,0.04762,-0.06711,1.01313,0.23747,0.02017,14.18521,0.13952,5.0
harmony,CytoTRACE2,stemness,signature,0.52047,0.56425,0.38463,0.37512,3.75087,0.54943,H 5,-0.54943,0.48353,-0.09889,0.48353,0.0,0.0017,0.04762,-0.06665,1.00648,,,,,
harmony,__depth,confounder,reference,0.65394,0.62134,0.40073,0.50527,5.05225,0.63754,H 3,0.63754,0.58267,-0.18194,0.58267,0.00011,0.00134,0.04762,-0.06623,1.02923,,,,,
harmony,__mito,confounder,reference,0.28632,0.30459,0.09544,0.17112,1.711,0.33323,H 3,0.33323,0.20613,-0.11069,0.20613,-0.00052,0.00157,0.04762,-0.06652,1.00512,,,,,
pca,HALLMARK_IFNA,immune,signature,0.49553,0.58149,-0.28066,0.38119,3.81151,0.35378,PC 1,0.35378,-2.64812,2.36746,-0.28066,-0.00094,0.00152,0.04762,-0.06523,1.0026,0.33867,0.03617,4.33737,0.11021,5.0
pca,HALLMARK_IFNG,immune,signature,0.54098,0.62825,-0.35985,0.4295,4.2946,0.38359,PC 1,0.38359,-3.07883,2.71898,-0.35985,-0.00033,0.00129,0.04762,-0.06419,0.99698,0.45519,0.01513,5.67012,0.17334,5.0
pca,ISDS,immune,signature,0.46404,0.53006,-0.09532,0.33354,3.33508,0.31468,PC 1,0.31468,-1.9132,1.81788,-0.09532,-0.00045,0.00144,0.04762,-0.06581,0.99675,0.21088,0.04703,5.38322,-0.00064,5.0
pca,KEGG_APM,immune,signature,0.54222,0.62143,-0.1693,0.39528,3.95244,0.36832,PC 1,0.36832,-2.91042,2.74112,-0.1693,-0.00021,0.00143,0.04762,-0.06797,1.02341,0.42553,0.01503,7.76297,0.15496,5.0
pca,IMMUNOGENIC_CONSENSUS,immune,signature,0.5163,0.59943,-0.18367,0.39903,3.98996,0.36286,PC 1,0.36286,-2.94522,2.76155,-0.18367,-0.00036,0.00175,0.04762,-0.06739,1.01016,0.26679,0.04296,5.80721,0.07942,5.0
pca,BENPORATH_ES1,stemness,signature,0.53935,0.5765,0.35625,0.47097,4.70929,0.39665,PC 2,0.39665,0.36451,-0.00827,0.36451,0.00032,0.00131,0.04762,-0.06759,1.00937,0.4348,0.0276,3.78741,0.19228,5.0
pca,ESC_ASSOU,stemness,signature,0.66284,0.70655,0.44288,0.56833,5.68275,0.42664,PC 5,-0.42664,0.5378,-0.09492,0.5378,-0.00095,0.0013,0.04762,-0.06708,1.00025,0.62065,0.01333,3.16541,0.25543,5.0
pca,ESC_WONG,stemness,signature,0.62554,0.66686,0.41817,0.54591,5.45855,0.41044,PC 2,0.41044,0.56848,-0.15031,0.56848,-0.00078,0.00133,0.04762,-0.0657,1.01705,0.59758,0.0043,6.50312,0.25834,5.0
pca,LIM_STEM,stemness,signature,0.46824,0.50422,0.25543,0.27009,2.70061,0.43028,PC 9,-0.43028,0.33124,-0.0758,0.33124,0.00025,0.00128,0.04762,-0.06852,1.00134,0.09919,0.01827,20.19724,-0.0172,5.0
pca,FMASC,stemness,signature,0.54523,0.59295,0.43159,0.42568,4.25644,0.28393,PC 7,0.28393,0.42396,0.00764,0.43159,0.00038,0.00135,0.04762,-0.06737,1.00728,0.25846,0.01932,14.84488,0.12674,5.0
pca,CytoTRACE2,stemness,signature,0.60275,0.64607,0.20811,0.465,4.6496,0.42992,PC 5,-0.42992,0.40172,-0.19362,0.40172,-0.00083,0.00167,0.04762,-0.06779,1.03446,,,,,
pca,__depth,confounder,reference,0.71668,0.70397,0.32557,0.55598,5.55925,0.45975,PC 3,0.45975,0.29612,0.02945,0.32557,-0.00014,0.00171,0.04762,-0.06684,1.04433,,,,,
pca,__mito,confounder,reference,0.37601,0.38693,0.04664,0.22242,2.22402,0.27002,PC 3,0.27002,0.06182,-0.01517,0.06182,-0.00037,0.00132,0.04762,-0.06547,1.0205,,,,,
