# convergence | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,A_vs_null,dimension_vanished,confounder_flags
DR 6-,DR 6,-,ESC_WONG,0.1176,ESC_WONG,0.1176,0.4795798410232286,-0.060866203,ESC_ASSOU,2.9707,0.0010697936112908475,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 7+,DR 7,+,FMASC,0.3038,FMASC,0.3038,0.445279767381968,-0.17887396,ISDS,0.2464,0.5670221181605433,True,False,False,False,stemness,immune,cell_only,above,False,cell_cycle
DR 7-,DR 7,-,ESC_WONG,0.236,ESC_WONG,0.236,0.554720232618032,0.17887396,ESC_WONG,1.9574,0.011030621940666495,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 8+,DR 8,+,KEGG_APM,0.1702,KEGG_APM,0.1702,0.4649838423696626,-0.11094111,KEGG_APM,1.6267,0.023621093570835715,False,True,False,False,immune,immune,factor_only,below,False,depth
DR 8-,DR 8,-,ESC_WONG,0.0547,ESC_WONG,0.0547,0.5350161576303374,0.11094111,ESC_ASSOU,1.6649,0.021632165654072947,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 9+,DR 9,+,ESC_WONG,0.2255,ESC_WONG,0.2255,0.6399386084440036,0.5216369,ESC_ASSOU,8.5536,2.7951170539918484e-09,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 9-,DR 9,-,ISDS,0.1144,ISDS,0.1144,0.36006139155599637,-0.5216369,HALLMARK_IFNG,0.2578,0.5523317388872847,False,False,False,False,immune,immune,neither,below,False,none
DR 10+,DR 10,+,ISDS,0.0939,ISDS,0.0939,0.4797967882378909,-0.08185787,HALLMARK_IFNG,4.2792,5.257750822566938e-05,False,True,False,False,immune,immune,factor_only,below,False,none
DR 10-,DR 10,-,ESC_ASSOU,0.2684,ESC_ASSOU,0.2684,0.5202032117621092,0.08185787,ESC_ASSOU,1.9349,0.011617160780585677,False,True,False,False,stemness,stemness,factor_only,above,False,"depth,cell_cycle"
DR 11+,DR 11,+,LIM_STEM,0.0178,LIM_STEM,0.0178,0.5913055091516254,0.30021203,ESC_WONG,0.2892,0.5138069802323446,False,False,False,False,stemness,stemness,neither,below,False,none
DR 11-,DR 11,-,IMMUNOGENIC_CONSENSUS,0.1931,IMMUNOGENIC_CONSENSUS,0.1931,0.4086944908483746,-0.30021203,HALLMARK_IFNG,0.5452,0.2849705627341153,False,False,False,False,immune,immune,neither,below,False,none
DR 12+,DR 12,+,ESC_WONG,0.1172,ESC_WONG,0.1172,0.5466341219641003,0.164275,ESC_WONG,1.9574,0.011030621940666495,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 12-,DR 12,-,FMASC,0.1203,FMASC,0.1203,0.45336587803589967,-0.164275,KEGG_APM,-0.0,1.0,False,False,False,False,stemness,immune,neither,below,False,cell_cycle
DR 13+,DR 13,+,ESC_WONG,0.1797,ESC_WONG,0.1797,0.5530794338948894,0.09339902,HALLMARK_IFNA,2.3585,0.004380261111703606,False,True,False,False,stemness,immune,factor_only,below,False,none
DR 13-,DR 13,-,LIM_STEM,0.1771,LIM_STEM,0.1771,0.44692056610511055,-0.09339902,LIM_STEM,0.2854,0.5183224264170615,False,False,False,False,stemness,stemness,neither,below,False,none
DR 14+,DR 14,+,HALLMARK_IFNG,-0.0437,HALLMARK_IFNG,-0.0437,0.4970073747097719,-0.030590434,KEGG_APM,0.0,1.0,False,False,False,False,immune,immune,neither,below,False,immune_low_is_absence_of_signal
DR 14-,DR 14,-,FMASC,0.2119,FMASC,0.2119,0.5029926252902281,0.030590434,LIM_STEM,2.4561,0.0034986459845201675,False,True,False,False,stemness,stemness,factor_only,below,False,none
DR 15+,DR 15,+,LIM_STEM,0.1783,LIM_STEM,0.1783,0.4297220588860122,-0.2055011,HALLMARK_IFNG,0.0538,0.8834866673958571,False,False,False,False,stemness,immune,neither,below,False,none
DR 15-,DR 15,-,ESC_WONG,0.2193,ESC_WONG,0.2193,0.5702779411139878,0.2055011,ESC_ASSOU,0.1991,0.6322662499296876,False,False,False,False,stemness,stemness,neither,below,False,"depth,cell_cycle"
DR 16+,DR 16,+,KEGG_APM,0.2855,KEGG_APM,0.2855,0.3171177497448785,-0.666115,KEGG_APM,5.8055,1.5649483192248687e-06,False,True,False,False,immune,immune,factor_only,above,False,depth
DR 16-,DR 16,-,ESC_WONG,0.2378,ESC_WONG,0.2378,0.6828822502551215,0.666115,ESC_ASSOU,2.609,0.0024603676041476275,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 17+,DR 17,+,LIM_STEM,0.1932,LIM_STEM,0.1932,0.6106310960921048,0.35174757,LIM_STEM,1.3233,0.047500698938311964,False,True,False,False,stemness,stemness,factor_only,below,False,none
DR 17-,DR 17,-,ISDS,0.0961,ISDS,0.0961,0.38936890390789525,-0.35174757,KEGG_APM,0.4955,0.31952143648082204,False,False,False,False,immune,immune,neither,below,False,none
DR 18+,DR 18,+,ESC_WONG,0.0508,ESC_WONG,0.0508,0.7868065377671069,0.86822104,ESC_ASSOU,1.1366,0.07301296749459656,False,False,False,False,stemness,stemness,neither,below,False,"depth,cell_cycle"
DR 18-,DR 18,-,IMMUNOGENIC_CONSENSUS,0.729,IMMUNOGENIC_CONSENSUS,0.729,0.21319346223289315,-0.86822104,HALLMARK_IFNG,13.8526,1.4041063389204469e-14,True,True,False,True,immune,immune,convergent,above,False,none
DR 19+,DR 19,+,FMASC,0.1382,FMASC,0.1382,0.5081995118294615,0.016570972,FMASC,0.6167,0.24171299521044162,False,False,False,False,stemness,stemness,neither,below,False,cell_cycle
DR 19-,DR 19,-,LIM_STEM,0.3169,LIM_STEM,0.3169,0.49180048817053845,-0.016570972,LIM_STEM,4.8866,1.2983745676148235e-05,True,True,True,True,stemness,stemness,convergent,above,False,none
DR 20+,DR 20,+,ISDS,0.1033,ISDS,0.1033,0.4503049474471975,-0.1713785,LIM_STEM,1.0896,0.08135795056053964,False,False,False,False,immune,stemness,neither,below,False,none
DR 20-,DR 20,-,FMASC,0.291,FMASC,0.291,0.5496950525528025,0.1713785,ESC_WONG,1.9574,0.011030621940666495,False,True,False,False,stemness,stemness,factor_only,above,False,"depth,cell_cycle"
DR 21+,DR 21,+,LIM_STEM,0.2248,LIM_STEM,0.2248,0.532054737076465,0.16166945,LIM_STEM,2.1372,0.007291216599950674,False,True,False,False,stemness,stemness,factor_only,below,False,none
DR 21-,DR 21,-,IMMUNOGENIC_CONSENSUS,0.1308,IMMUNOGENIC_CONSENSUS,0.1308,0.467945262923535,-0.16166945,HALLMARK_IFNA,1.0896,0.08135795056053964,False,False,False,False,immune,immune,neither,below,False,none
DR 22+,DR 22,+,KEGG_APM,0.258,KEGG_APM,0.258,0.3807784077566135,-0.39979604,KEGG_APM,1.6267,0.023621093570835715,False,True,False,False,immune,immune,factor_only,below,False,depth
DR 22-,DR 22,-,FMASC,0.0736,FMASC,0.0736,0.6192215922433866,0.39979604,ESC_ASSOU,4.2389,5.768992840692839e-05,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 23+,DR 23,+,ESC_WONG,0.0611,CytoTRACE2,0.0706,0.6163442806770456,0.37051195,ESC_ASSOU,2.9707,0.0010697936112908475,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 23-,DR 23,-,HALLMARK_IFNA,0.4716,HALLMARK_IFNA,0.4716,0.3836557193229544,-0.37051195,HALLMARK_IFNG,39.9351,1.161181211200944e-40,True,True,False,True,immune,immune,convergent,above,False,none
DR 24+,DR 24,+,ESC_ASSOU,0.1194,ESC_ASSOU,0.1194,0.5670218155523409,0.16484907,ESC_ASSOU,2.609,0.0024603676041476275,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 24-,DR 24,-,ISDS,0.0343,ISDS,0.0343,0.4329781844476591,-0.16484907,HALLMARK_IFNA,0.0,1.0,False,False,False,False,immune,immune,neither,below,False,none
DR 25+,DR 25,+,HALLMARK_IFNG,0.1515,HALLMARK_IFNG,0.1515,0.3697502417000962,-0.49739903,HALLMARK_IFNG,0.3787,0.41811909334990344,False,False,False,False,immune,immune,neither,below,False,none
DR 25-,DR 25,-,ESC_ASSOU,0.2712,ESC_ASSOU,0.2712,0.6302497582999038,0.49739903,ESC_ASSOU,16.6811,2.0840109665884458e-17,False,True,False,False,stemness,stemness,factor_only,above,False,"depth,cell_cycle"
DR 26+,DR 26,+,KEGG_APM,0.0896,KEGG_APM,0.0896,0.4617842496283808,-0.17865887,HALLMARK_IFNA,0.5124,0.3073264929204293,False,False,False,False,immune,immune,neither,below,False,depth
DR 26-,DR 26,-,LIM_STEM,0.2748,LIM_STEM,0.2748,0.5382157503716192,0.17865887,LIM_STEM,13.5346,2.9201153013941613e-14,False,True,False,False,stemness,stemness,factor_only,above,False,none
DR 27+,DR 27,+,IMMUNOGENIC_CONSENSUS,0.0687,IMMUNOGENIC_CONSENSUS,0.0687,0.4017279927134879,-0.25532117,FMASC,1.8178,0.015212479290080405,False,True,False,False,immune,stemness,factor_only,below,False,cell_cycle
DR 27-,DR 27,-,LIM_STEM,0.2081,LIM_STEM,0.2081,0.5982720072865121,0.25532117,LIM_STEM,3.5881,0.00025816656717016266,False,True,False,False,stemness,stemness,factor_only,below,False,none
DR 28+,DR 28,+,BENPORATH_ES1,0.0681,BENPORATH_ES1,0.0681,0.4863388540247993,-0.026085017,BENPORATH_ES1,0.1254,0.7492038492127502,False,False,False,False,stemness,stemness,neither,below,False,"depth,cell_cycle"
DR 28-,DR 28,-,HALLMARK_IFNA,0.1182,HALLMARK_IFNA,0.1182,0.5136611459752007,0.026085017,HALLMARK_IFNG,5.8757,1.3313737808311363e-06,False,True,False,False,immune,immune,factor_only,below,False,none
DR 29+,DR 29,+,ESC_WONG,0.172,ESC_WONG,0.172,0.5439757660278647,0.18066353,ESC_ASSOU,0.9357,0.1159578087726087,False,False,False,False,stemness,stemness,neither,below,False,"depth,cell_cycle"
DR 29-,DR 29,-,HALLMARK_IFNG,0.1838,HALLMARK_IFNG,0.1838,0.4560242339721353,-0.18066353,HALLMARK_IFNG,4.2792,5.257750822566938e-05,False,True,False,False,immune,immune,factor_only,below,False,none
DR 30+,DR 30,+,IMMUNOGENIC_CONSENSUS,0.2707,IMMUNOGENIC_CONSENSUS,0.2707,0.3314830202902303,-0.5011002,HALLMARK_IFNG,3.3347,0.00046270053323618104,False,True,False,False,immune,immune,factor_only,above,False,none
DR 30-,DR 30,-,ESC_WONG,0.1392,ESC_WONG,0.1392,0.6685169797097696,0.5011002,ESC_ASSOU,0.9357,0.1159578087726087,False,False,False,False,stemness,stemness,neither,below,False,"depth,cell_cycle"
DR 31+,DR 31,+,ESC_WONG,0.0661,ESC_WONG,0.0661,0.7472052539611129,0.795645,ESC_ASSOU,1.6649,0.021632165654072947,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 31-,DR 31,-,IMMUNOGENIC_CONSENSUS,0.5234,IMMUNOGENIC_CONSENSUS,0.5234,0.2527947460388871,-0.795645,HALLMARK_IFNG,9.1354,7.321498875340633e-10,True,True,False,True,immune,immune,convergent,above,False,none
DR 32+,DR 32,+,HALLMARK_IFNA,0.2874,HALLMARK_IFNA,0.2874,0.4032426063852387,-0.38371682,HALLMARK_IFNA,5.5562,2.7784334572025523e-06,False,True,False,False,immune,immune,factor_only,above,False,none
DR 32-,DR 32,-,FMASC,0.3343,FMASC,0.3343,0.5967573936147613,0.38371682,LIM_STEM,5.8653,1.3636408414470667e-06,True,True,False,True,stemness,stemness,convergent,above,False,cell_cycle
DR 33+,DR 33,+,LIM_STEM,0.0864,LIM_STEM,0.0864,0.4999047320837071,-0.07729105,HALLMARK_IFNG,-0.0,1.0,False,False,False,False,stemness,immune,neither,below,False,none
DR 33-,DR 33,-,KEGG_APM,0.1673,KEGG_APM,0.1673,0.5000952679162929,0.07729105,ESC_ASSOU,2.2675,0.005401321147646348,False,True,False,False,immune,stemness,factor_only,below,False,"depth,cell_cycle"
DR 34+,DR 34,+,ESC_WONG,0.0642,ESC_WONG,0.0642,0.6170871547231873,0.3519002,BENPORATH_ES1,0.8177,0.1521598249619052,False,False,False,False,stemness,stemness,neither,below,False,"depth,cell_cycle"
DR 34-,DR 34,-,ISDS,0.5609,ISDS,0.5609,0.3829128452768127,-0.3519002,HALLMARK_IFNA,35.8006,1.5827050934310288e-36,True,True,False,True,immune,immune,convergent,above,False,none
DR 35+,DR 35,+,ESC_ASSOU,0.1139,CytoTRACE2,0.131,0.6556867137652711,0.41460952,ESC_ASSOU,0.2927,0.5096828259054276,False,False,False,False,stemness,stemness,neither,below,False,"depth,cell_cycle"
DR 35-,DR 35,-,HALLMARK_IFNA,0.4194,HALLMARK_IFNA,0.4194,0.3443132862347289,-0.41460952,HALLMARK_IFNG,33.7296,1.8638029723462086e-34,True,True,False,True,immune,immune,convergent,above,False,none
DR 36+,DR 36,+,FMASC,0.1699,FMASC,0.1699,0.544859281881903,0.17127159,ESC_WONG,1.5938,0.02548003381361989,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 36-,DR 36,-,HALLMARK_IFNG,0.1197,HALLMARK_IFNG,0.1197,0.455140718118097,-0.17127159,HALLMARK_IFNA,0.7657,0.17151416762917046,False,False,False,False,immune,immune,neither,below,False,none
DR 37+,DR 37,+,KEGG_APM,0.1343,KEGG_APM,0.1343,0.3887120657777052,-0.5770681,HALLMARK_IFNA,-0.0,1.0,False,False,False,False,immune,immune,neither,below,False,depth
DR 37-,DR 37,-,FMASC,0.2579,FMASC,0.2579,0.6112879342222948,0.5770681,FMASC,14.224,5.970352865838366e-15,False,True,False,False,stemness,stemness,factor_only,below,False,cell_cycle
DR 38+,DR 38,+,LIM_STEM,0.0584,LIM_STEM,0.0584,0.4807751837465256,-0.14177516,LIM_STEM,4.4335,3.68553041852479e-05,False,True,False,False,stemness,stemness,factor_only,below,False,none
DR 38-,DR 38,-,ESC_ASSOU,0.0854,ESC_ASSOU,0.0854,0.5192248162534744,0.14177516,ESC_ASSOU,2.609,0.0024603676041476275,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 39+,DR 39,+,ISDS,0.0219,ISDS,0.0219,0.5090462866229523,-0.057646018,ESC_WONG,8.0987,7.967095078086507e-09,False,True,False,False,immune,stemness,factor_only,below,False,"depth,cell_cycle"
DR 39-,DR 39,-,LIM_STEM,0.2445,LIM_STEM,0.2445,0.49095371337704774,0.057646018,LIM_STEM,3.5881,0.00025816656717016266,False,True,False,False,stemness,stemness,factor_only,below,False,none
DR 40+,DR 40,+,FMASC,0.0989,FMASC,0.0989,0.5040846089152096,0.010820975,HALLMARK_IFNA,5.5562,2.7784334572025523e-06,False,True,False,False,stemness,immune,factor_only,below,False,none
DR 40-,DR 40,-,LIM_STEM,0.1995,LIM_STEM,0.1995,0.49591539108479044,-0.010820975,LIM_STEM,1.8487,0.014167721135183648,False,True,False,False,stemness,stemness,factor_only,below,False,none
DR 41+,DR 41,+,FMASC,0.1739,CytoTRACE2,0.1765,0.6198378642163143,0.27674767,ESC_WONG,0.6862,0.20596811765973644,False,False,False,False,stemness,stemness,neither,below,False,cell_cycle
DR 41-,DR 41,-,IMMUNOGENIC_CONSENSUS,0.0569,IMMUNOGENIC_CONSENSUS,0.0569,0.38016213578368574,-0.27674767,KEGG_APM,0.4955,0.31952143648082204,False,False,False,False,immune,immune,neither,below,False,none
DR 42+,DR 42,+,ESC_WONG,0.0597,ESC_WONG,0.0597,0.5216840274928395,0.04697748,ISDS,1.5732,0.026717757271179466,False,True,False,False,stemness,immune,factor_only,below,False,none
DR 42-,DR 42,-,LIM_STEM,0.174,LIM_STEM,0.174,0.4783159725071605,-0.04697748,LIM_STEM,2.8058,0.0015638676645114101,False,True,False,False,stemness,stemness,factor_only,below,False,none
DR 43+,DR 43,+,KEGG_APM,0.075,KEGG_APM,0.075,0.4507001738875545,-0.20706628,ESC_WONG,0.6862,0.20596811765973644,False,False,False,False,immune,stemness,neither,below,False,depth
DR 43-,DR 43,-,ESC_WONG,0.1378,ESC_WONG,0.1378,0.5492998261124455,0.20706628,ESC_ASSOU,1.6649,0.021632165654072947,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 44+,DR 44,+,ESC_WONG,0.0504,ESC_WONG,0.0504,0.4928223594024826,-0.032584365,HALLMARK_IFNA,0.5124,0.3073264929204293,False,False,False,False,stemness,immune,neither,below,False,"depth,cell_cycle"
DR 44-,DR 44,-,KEGG_APM,0.1798,KEGG_APM,0.1798,0.5071776405975175,0.032584365,KEGG_APM,0.2578,0.5523317388872847,False,False,False,False,immune,immune,neither,below,False,depth
DR 45+,DR 45,+,BENPORATH_ES1,0.0218,BENPORATH_ES1,0.0218,0.5430099003473149,0.27126515,ESC_ASSOU,4.6885,2.0488020499575034e-05,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 45-,DR 45,-,KEGG_APM,0.1192,KEGG_APM,0.1192,0.4569900996526851,-0.27126515,KEGG_APM,2.1372,0.007291216599950674,False,True,False,False,immune,immune,factor_only,below,False,depth
DR 46+,DR 46,+,LIM_STEM,0.0815,LIM_STEM,0.0815,0.5249359732495552,0.11606236,LIM_STEM,1.5732,0.026717757271179466,False,True,False,False,stemness,stemness,factor_only,below,False,none
DR 46-,DR 46,-,KEGG_APM,0.1123,KEGG_APM,0.1123,0.4750640267504448,-0.11606236,KEGG_APM,0.0834,0.8252774907675833,False,False,False,False,immune,immune,neither,below,False,depth
DR 47+,DR 47,+,HALLMARK_IFNG,0.105,HALLMARK_IFNG,0.105,0.4977891180657611,-0.094033435,HALLMARK_IFNG,0.7447,0.18001139604180108,False,False,False,False,immune,immune,neither,below,False,none
DR 47-,DR 47,-,FMASC,0.052,FMASC,0.052,0.5022108819342389,0.094033435,LIM_STEM,1.0896,0.08135795056053964,False,False,False,False,stemness,stemness,neither,below,False,cell_cycle
DR 48+,DR 48,+,FMASC,0.1667,FMASC,0.1667,0.6488980970076739,0.46161193,ESC_ASSOU,1.6649,0.021632165654072947,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 48-,DR 48,-,ISDS,0.1727,ISDS,0.1727,0.35110190299232613,-0.46161193,KEGG_APM,2.7413,0.0018142619820386138,False,True,False,False,immune,immune,factor_only,below,False,depth
DR 49+,DR 49,+,LIM_STEM,0.2211,LIM_STEM,0.2211,0.5131741603538831,-0.004094475,LIM_STEM,2.4561,0.0034986459845201675,False,True,False,False,stemness,stemness,factor_only,below,False,none
DR 49-,DR 49,-,ESC_WONG,-0.0197,ESC_WONG,-0.0197,0.4868258396461169,0.004094475,ESC_WONG,0.944,0.1137627285823431,False,False,False,False,stemness,stemness,neither,below,False,"depth,cell_cycle"
DR 50+,DR 50,+,LIM_STEM,0.0119,LIM_STEM,0.0119,0.5046793395540079,0.06320286,ISDS,1.5732,0.026717757271179466,False,True,False,False,stemness,immune,factor_only,below,False,none
DR 50-,DR 50,-,ESC_WONG,0.0832,ESC_WONG,0.0832,0.4953206604459921,-0.06320286,ESC_ASSOU,2.2675,0.005401321147646348,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 51+,DR 51,+,FMASC,0.087,FMASC,0.087,0.5411643199426699,0.0973855,HALLMARK_IFNA,0.2975,0.5040806191026694,False,False,False,False,stemness,immune,neither,below,False,cell_cycle
DR 51-,DR 51,-,KEGG_APM,0.1447,KEGG_APM,0.1447,0.4588356800573301,-0.0973855,KEGG_APM,0.0834,0.8252774907675833,False,False,False,False,immune,immune,neither,below,False,depth
DR 52+,DR 52,+,BENPORATH_ES1,0.0768,BENPORATH_ES1,0.0768,0.5392402915018968,0.053128432,ESC_ASSOU,5.6773,2.102325702919464e-06,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 52-,DR 52,-,FMASC,-0.019,FMASC,-0.019,0.4607597084981032,-0.053128432,KEGG_APM,0.0,1.0,False,False,False,False,stemness,immune,neither,below,False,cell_cycle
DR 53+,DR 53,+,ESC_WONG,0.0849,ESC_WONG,0.0849,0.5253167141732814,0.046167523,ESC_ASSOU,2.609,0.0024603676041476275,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 53-,DR 53,-,FMASC,0.1126,FMASC,0.1126,0.4746832858267186,-0.046167523,LIM_STEM,0.002,0.995405417351527,False,False,False,False,stemness,stemness,neither,below,False,cell_cycle
DR 54+,DR 54,+,LIM_STEM,0.1106,LIM_STEM,0.1106,0.4601419889321833,-0.025812434,LIM_STEM,0.8808,0.13158306550959187,False,False,False,False,stemness,stemness,neither,below,False,none
DR 54-,DR 54,-,BENPORATH_ES1,0.0625,BENPORATH_ES1,0.0625,0.5398580110678167,0.025812434,ESC_ASSOU,1.9349,0.011617160780585677,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 55+,DR 55,+,ESC_WONG,0.0721,CytoTRACE2,0.0821,0.5699889449911595,0.14262725,HALLMARK_IFNG,0.0,1.0,False,False,False,False,stemness,immune,neither,below,False,"depth,cell_cycle"
DR 55-,DR 55,-,IMMUNOGENIC_CONSENSUS,0.12,IMMUNOGENIC_CONSENSUS,0.12,0.4300110550088405,-0.14262725,ESC_WONG,9.7684,1.7045117524684747e-10,False,True,False,False,immune,stemness,factor_only,below,False,"depth,cell_cycle"
DR 56+,DR 56,+,KEGG_APM,0.128,KEGG_APM,0.128,0.4876616088981835,-0.062370118,IMMUNOGENIC_CONSENSUS,1.9234,0.011928889070568698,False,True,False,False,immune,immune,factor_only,below,False,none
DR 56-,DR 56,-,LIM_STEM,-0.0225,LIM_STEM,-0.0225,0.5123383911018164,0.062370118,ESC_ASSOU,1.9349,0.011617160780585677,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
