# dim_geneset_signed_significance | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP1_CELL_CYCLE_G2_M,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2
DR 32,0.031,-0.1094,0.9403,-0.7924,-0.0,-0.0801,0.0,1.8235,0.1162,-1.0768,-1.468,-1.7242,6.3222,-2.0004,7.021,3.7071,2.2382,1.1754,1.468,-0.2,-0.6193,1.384
DR 19,-0.0,-0.0,-0.0,0.0,0.9078,-0.0801,1.6133,-0.9868,0.0,-1.0768,-7.021,-16.6843,-4.6457,1.1129,-0.0533,-0.7863,-2.2382,-0.0801,0.6261,-1.3788,-0.6193,-1.8065
DR 48,-0.0,-0.0,0.4793,0.0,0.3948,0.4704,-0.3705,-0.4079,-0.1162,-5.1527,0.1622,0.2276,-6.3222,-0.4704,-7.8506,-3.0631,-8.3591,0.0801,0.1162,0.655,-0.9618,-3.4477
DR 30,0.0,0.0,-0.9403,-0.1802,-0.9078,-0.4704,-1.6133,0.4079,0.1162,3.1461,0.1622,-0.2276,-2.5715,5.4615,6.2257,7.6503,5.6723,-1.1754,-2.7324,-0.9825,0.1482,13.379
DR 55,-11.1798,-1.2099,-0.4793,0.0,0.0,0.0,0.0,-0.4079,-1.468,-0.6171,0.0,0.0,0.0,-0.0801,-1.468,-0.513,-0.0533,-0.0801,-0.1162,0.0,0.0,-0.0021
DR 44,-0.0,-0.0,0.9403,0.0,-16.2575,-8.2009,-4.6472,-0.4079,-0.6261,-0.0592,-0.0,-0.2276,2.5715,-0.4704,0.5344,0.513,-0.3705,0.5102,1.468,-2.348,-1.384,-0.0021
DR 37,-24.9037,-11.1798,-5.6899,-0.1802,-0.2092,1.5162,2.936,1.8235,0.1162,0.0592,0.324,0.2276,2.5715,0.4704,-0.0,0.7863,0.3705,0.5102,-0.6261,1.8242,0.0199,-0.0
DR 9,0.1294,2.2122,1.5556,0.0,-3.1939,0.0801,2.2332,4.4753,0.6261,0.6171,0.5344,0.9625,3.1939,-1.5162,-0.5344,1.5151,-2.8226,2.1724,0.6261,0.655,-0.1482,-6.3271
DR 7,-0.0,-0.8285,-0.9403,0.7924,0.9078,-1.1129,-7.8742,-0.4079,-0.6261,-1.0768,-0.0,0.0801,-0.7461,0.0801,0.324,-0.0218,-0.1828,-0.5102,0.0,-0.2,0.1482,0.0905
DR 31,0.031,-0.0,0.9403,0.0,1.6483,2.5715,0.6815,0.4079,-0.1162,-5.1527,-3.4555,-1.7242,2.0004,-0.7461,-15.0871,-7.6503,-1.7347,3.5824,2.7324,0.655,0.1482,-5.5428
DR 51,-0.0,0.0,-0.0,0.0,1.6483,-0.2449,0.1337,-0.0533,0.0,-1.6194,-0.0,-0.0,-3.8981,0.4704,-0.5344,-1.1129,-14.1316,-0.0801,0.6261,-0.4033,-0.3484,-6.3271
DR 33,0.0,0.0,-0.9403,0.0,-0.0,-1.1129,-0.1337,-1.8235,0.6261,-0.2748,-0.324,-0.0,-3.1939,-1.1129,-0.1622,-1.1129,-0.9236,-1.1754,-2.7324,-1.3788,-0.0199,-0.6917
DR 16,-0.1294,-0.5344,-0.4793,-0.1802,-0.0,0.4704,1.1129,1.8235,0.1162,6.3271,2.348,0.4152,-2.0004,2.0004,7.021,7.6503,0.3705,-3.5824,-1.468,2.9294,-0.6193,4.0881
DR 17,-0.031,-0.0,-1.5556,0.0,-5.97,2.5715,-2.2332,0.9868,-0.6261,0.2748,1.1129,0.4152,1.5162,-0.7461,-0.0,0.7863,-1.7347,0.5102,0.6261,0.9825,-0.1482,-2.2871
DR 8,-0.0,-0.1094,-0.4793,0.1802,38.0235,2.0004,5.6364,0.9868,0.6261,4.0918,0.324,0.4152,1.1129,1.5162,-0.5344,0.7863,0.3705,-2.1724,-1.468,2.9294,8.3621,0.4521
DR 35,-0.0,-0.0,0.1489,0.0,-0.2092,0.7461,0.3705,0.4079,-0.1162,-0.6171,-0.324,-3.9623,-2.5715,-1.5162,-21.6339,-3.0631,-2.8226,0.5102,0.6261,0.9825,-3.8193,-3.4477
DR 27,0.2748,1.6773,0.4793,0.0,2.0997,-1.5162,-0.6815,-0.4079,0.6261,1.0768,-1.8806,-0.655,-3.8981,-0.2449,-0.1622,0.7863,0.9236,-1.1754,0.6261,-2.9294,-0.0199,4.0881
DR 43,-0.031,-0.0,-0.9403,0.0,-0.0801,-2.0004,-0.0,-0.4079,0.0,0.2748,-0.5344,-0.655,-1.5162,-0.4704,-0.1622,-0.7863,0.6198,-0.5102,-1.468,-5.057,-0.0199,0.4521
DR 49,-0.0,-0.1094,0.0,0.7924,-1.2458,-4.6457,-2.2332,0.0533,-0.6261,4.0918,3.4555,0.655,-1.1129,0.7461,0.5344,2.4865,-1.7347,0.0801,-0.6261,0.655,-0.3484,0.6917
DR 45,-0.0,-0.0,0.9403,0.0,-0.0801,0.2449,-0.3705,0.9868,0.0,-0.6171,0.324,0.9625,4.6457,0.0801,-4.0833,-3.0631,1.2976,2.1724,-2.7324,-0.9825,-0.1482,0.6917
DR 25,-22.0186,-4.2265,-5.6899,0.0,1.6483,0.2449,1.1129,-2.936,0.6261,-0.0592,0.324,-0.0,-0.7461,-0.0801,0.324,0.2931,0.6198,-1.1754,-1.468,-0.655,0.0199,0.4521
DR 36,-0.0,-0.0,0.1489,0.1802,0.2092,1.1129,2.936,0.4079,0.6261,0.2748,0.5344,-0.655,-2.0004,-0.7461,-1.8806,0.7863,-15.4263,0.5102,0.1162,4.298,-0.1482,-5.5428
DR 6,-0.6976,-1.6773,-4.4041,0.7924,-0.0,0.2449,0.3705,-0.4079,0.0,0.0592,0.324,-0.2276,-3.1939,-0.2449,-1.1129,-0.7863,-0.1828,-0.5102,-2.7324,-0.0,0.0,-0.0
DR 3,45.4147,12.4294,3.2845,0.1802,-2.6282,-1.1129,-0.6815,2.936,-0.6261,-0.6171,-0.7863,-0.0,-0.7461,-0.2449,-1.1129,-0.7863,-0.1828,0.5102,0.1162,0.2,-0.0199,-0.2458
DR 5,26.4488,28.2013,9.0458,0.1802,-5.97,-2.0004,-3.7626,-0.4079,-1.468,-0.6171,-0.1622,-0.0801,-5.4615,-0.4704,-1.1129,-0.513,-2.8226,0.5102,0.1162,-0.655,-0.9618,-0.2458
DR 40,-0.0,0.0,0.4793,0.0,-0.9078,0.4704,0.3705,0.4079,0.6261,2.3313,-0.0533,-2.7324,-11.6012,0.4704,7.8506,3.0631,-12.8593,0.5102,1.468,-2.348,-1.384,1.384
DR 41,-0.0,-0.0,0.4793,0.0,-0.0,0.2449,-0.0,0.0533,-0.1162,-0.2748,-0.0533,-2.1974,-5.4615,0.0801,-0.324,-1.5151,-21.416,-0.0801,0.0,0.655,-1.8773,-2.2871
DR 23,0.031,-0.0,0.9403,0.0,-2.6282,4.6457,-0.1337,0.0533,-0.1162,-0.2748,0.1622,-1.3145,3.8981,-2.0004,-27.7101,-3.0631,0.6198,0.5102,1.468,2.9294,-1.8773,-2.2871
DR 28,-0.0,-0.1094,-0.4793,0.0,5.97,0.7461,2.936,0.4079,0.6261,0.2748,-0.5344,2.7324,8.2009,0.2449,-4.0833,-2.4865,9.3946,0.5102,-1.468,1.3788,7.349,1.01
DR 1,-0.031,-0.1094,-1.5556,0.0,-0.0801,-2.0004,-3.7626,-0.0533,-0.6261,-0.0,31.0797,0.655,-2.5715,3.8981,-0.1622,1.5151,-2.8226,-0.0801,-1.468,0.4033,-0.0199,-0.4521
DR 53,-0.0,-0.0,0.9403,0.0,-15.0147,0.4704,-2.2332,0.4079,0.0,-0.2748,0.0533,-0.2276,1.5162,-1.5162,0.5344,0.1294,0.6198,0.0801,0.6261,-0.2,-7.349,0.2458
DR 56,-0.0,0.0,-0.9403,0.0,0.9078,-0.4704,-0.1337,-0.9868,0.0,-0.0592,-0.1622,0.4152,-4.6457,-0.4704,0.324,-1.5151,-0.9236,-1.1754,-1.468,-0.655,-0.0,-0.4521
DR 46,-0.0,-0.1094,0.9403,0.1802,0.6261,1.1129,0.6815,-0.9868,-1.468,-3.1461,0.7863,5.3787,4.6457,-0.4704,0.5344,-0.7863,-0.6198,0.5102,0.0,0.9825,0.9618,-4.7793
DR 12,0.2748,1.2099,1.5556,-0.1802,-3.1939,1.1129,0.6815,1.8235,0.0,-0.6171,0.1622,-0.0,2.5715,-0.4704,1.1129,0.7863,0.1828,-0.5102,-0.6261,0.4033,-0.0199,-0.6917
DR 15,0.0,0.0,-0.4793,0.0,-0.0,-0.2449,-0.0,-0.4079,0.0,0.0,-0.1622,0.0,-3.1939,-0.0,0.0,-1.1129,-1.7347,-1.1754,-0.6261,-0.2,-0.0,-0.6917
DR 52,-0.2748,0.2926,-1.5556,0.1802,-1.6483,2.0004,2.2332,0.9868,0.1162,0.2748,0.0533,-0.0,0.4704,0.4704,0.7863,1.5151,0.3705,0.5102,0.6261,0.9825,-0.3484,0.0905
DR 20,-0.031,-0.1094,-0.4793,0.0,-0.2092,2.0004,1.1129,0.4079,-0.6261,-5.1527,0.7863,10.8104,21.9046,-0.7461,-0.7863,3.0631,14.1316,0.5102,0.1162,4.298,1.384,0.6917
DR 42,-0.0,-0.0,0.4793,-0.1802,-3.8222,-0.7461,-1.6133,0.4079,-0.6261,-0.2748,-2.8829,-3.9623,3.1939,-1.5162,1.468,-0.1294,1.2976,0.5102,0.6261,-2.348,-4.6039,1.01
DR 50,-0.0,0.1094,-0.4793,0.0,6.7671,0.7461,15.7616,1.8235,1.468,0.6171,-0.5344,-0.2276,-3.1939,0.0801,-0.0,-1.5151,-1.2976,0.5102,-2.7324,0.655,5.4615,-1.01
DR 54,0.1294,-0.0,0.1489,0.1802,0.9078,-1.1129,1.6133,-0.4079,0.1162,1.0768,-0.5344,-0.0801,1.1129,0.7461,-0.0,0.7863,-0.6198,-2.1724,0.6261,-0.655,-0.3484,-0.0905
DR 13,0.1294,0.2926,0.9403,0.1802,-4.4965,-30.2737,-6.7138,0.4079,-1.468,-0.2748,-0.5344,-6.9815,-4.6457,-0.7461,2.348,-0.7863,-1.2976,1.1754,0.6261,-12.0145,-6.3341,-0.6917
DR 47,-0.0,-0.0,0.4793,0.0,-0.2092,1.5162,-1.1129,-0.9868,-0.6261,-4.0918,-0.5344,-0.4152,2.0004,-1.1129,0.7863,-3.7071,1.2976,1.1754,0.6261,-1.3788,-0.0199,-0.2458
DR 2,-0.0,0.1094,1.5556,0.0,-0.0,0.7461,-0.0,0.4079,0.0,-0.2748,0.324,-0.0801,0.4704,0.4704,-1.1129,-3.7071,0.0533,0.5102,1.468,0.9825,-0.1482,0.2458
DR 10,-0.0,0.0,0.1489,0.0,4.4965,1.1129,2.2332,0.0533,-0.6261,-3.1461,-3.4555,1.7242,2.0004,-1.5162,1.1129,-2.4865,0.9236,-0.0801,-0.1162,-4.298,3.088,-1.384
DR 26,-0.0,-0.0,0.1489,-0.1802,-0.0,-0.2449,0.6815,0.4079,0.6261,1.0768,-4.7455,-8.7378,-6.3222,-1.1129,0.5344,-1.9632,2.2382,1.1754,0.1162,-2.9294,-0.9618,5.5428
DR 18,0.0,-0.0,0.1489,0.0,-0.3948,2.0004,1.6133,-0.4079,-2.7324,-4.0918,0.324,-0.4152,1.5162,-1.5162,-24.5501,-5.1183,-3.4514,0.0801,1.468,0.2,-0.0199,-7.1847
