# dim_signature_spearman | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,HALLMARK_IFNA,HALLMARK_IFNG,ISDS,KEGG_APM,IMMUNOGENIC_CONSENSUS,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,LIM_STEM,FMASC,CytoTRACE2
DR 54,0.3848,0.3301,0.3312,0.1707,0.2126,-0.0529,-0.0338,-0.045,0.0373,-0.1113,-0.0491
DR 56,0.0825,0.0296,0.1084,-0.0304,0.0312,-0.1444,-0.1768,-0.1117,0.0693,-0.1091,-0.1434
DR 63,-0.1251,-0.1487,-0.1295,-0.1214,-0.13,0.0871,0.0415,0.0014,-0.0497,0.2844,-0.0278
DR 40,-0.0727,-0.0692,-0.0621,-0.0502,-0.053,-0.0302,-0.0454,-0.0008,-0.0661,-0.0966,-0.0498
DR 38,0.1344,0.118,0.1459,0.0115,0.067,-0.1021,-0.115,-0.0581,-0.0646,-0.1791,-0.0828
DR 58,0.0464,0.0646,0.0222,0.1334,0.027,0.0846,0.1232,0.1021,-0.1191,-0.0761,0.1334
DR 10,0.1457,0.1681,0.1186,0.1779,0.1505,-0.2526,-0.2102,-0.2265,-0.002,-0.2906,-0.1593
DR 51,0.0787,0.0824,0.0762,0.0624,0.0845,-0.0615,-0.0506,-0.0748,-0.0827,0.0316,-0.0575
DR 3,-0.024,-0.0384,-0.0408,-0.0819,-0.1487,0.1446,0.1331,0.1421,0.0913,-0.055,0.1253
DR 12,-0.0405,-0.0752,-0.0741,0.0207,-0.0596,0.2491,0.2826,0.2638,-0.0583,0.0149,0.2557
DR 60,0.0594,0.0572,0.0618,-0.0028,0.0632,-0.0027,0.036,0.0727,0.0153,0.1041,0.0455
DR 9,0.0553,0.0552,0.0161,0.0256,0.0317,-0.0551,-0.0236,-0.0128,0.0493,0.0913,0.0045
DR 62,-0.071,-0.041,-0.0692,-0.0114,0.0567,-0.0108,0.0282,0.0582,-0.0514,-0.0691,0.0317
DR 61,0.2278,0.2483,0.1976,0.0783,0.0693,-0.0895,-0.0725,-0.1266,0.0931,-0.0536,0.0136
DR 57,-0.1608,-0.1761,-0.1236,-0.1269,-0.0713,-0.1863,-0.1363,-0.0942,-0.1781,-0.0476,-0.2667
DR 19,-0.1433,-0.1796,-0.1273,-0.1533,-0.1371,0.2422,0.2242,0.2332,-0.0052,0.2237,0.1766
DR 23,0.0737,0.1012,0.0901,0.095,0.1255,-0.0643,-0.0865,-0.0884,-0.3549,0.0241,-0.1664
DR 27,0.0354,0.0027,0.0521,-0.0894,-0.0075,-0.0161,0.0083,0.119,-0.032,-0.2194,-0.0434
DR 15,-0.0675,-0.1519,-0.0331,-0.1703,-0.0961,-0.0615,-0.0767,0.0363,0.0253,-0.1409,-0.0838
DR 34,-0.5259,-0.4562,-0.551,-0.1631,-0.2074,0.037,0.0549,0.0663,0.0276,0.0586,0.0825
DR 5,-0.0698,-0.1161,-0.0735,-0.0579,-0.1024,0.1745,0.1462,0.1681,-0.3614,-0.0212,0.0406
DR 50,0.0633,0.0385,0.0491,0.0413,0.0425,-0.0255,-0.0087,0.0004,0.0826,-0.0165,0.0078
DR 29,0.0417,0.0539,0.0745,-0.0334,0.0122,-0.0696,-0.0841,-0.0642,-0.2296,-0.1579,-0.1749
DR 36,-0.0305,-0.0152,-0.0015,-0.0108,-0.0176,0.0718,0.0581,0.046,0.1072,0.0441,0.1213
DR 46,-0.0188,0.0132,-0.0309,0.2378,0.0233,0.0855,0.0653,-0.0102,0.0515,0.0967,0.0868
DR 28,-0.0951,-0.1279,-0.0884,-0.1311,-0.1308,-0.0158,-0.0568,-0.03,0.0426,-0.0504,-0.0578
DR 48,-0.2593,-0.2717,-0.2304,-0.2218,-0.2592,0.0854,0.0932,0.0965,-0.0722,0.0984,0.0466
DR 52,-0.0758,-0.1553,-0.0651,-0.0382,-0.0673,0.0879,0.1108,0.1157,-0.0299,0.0358,0.0962
DR 18,0.2082,0.2558,0.1917,0.2488,0.2556,-0.2083,-0.2215,-0.3152,0.0568,0.0489,-0.1911
DR 43,0.0951,0.0656,0.0604,0.0911,0.0713,0.0776,0.1,0.1028,-0.2142,0.0942,0.0104
DR 33,0.0712,0.057,0.0739,-0.0288,0.0097,-0.0962,-0.051,0.0516,-0.0596,-0.1314,-0.0527
DR 55,0.0898,0.0878,0.0624,0.1478,0.101,0.0769,0.0863,0.0535,-0.0142,-0.0969,0.0369
DR 1,-0.0302,-0.0057,-0.0398,0.0008,0.0561,-0.2118,-0.1775,-0.2003,-0.149,0.0443,-0.2898
DR 17,0.0935,0.0726,0.0755,0.0294,0.0806,0.0278,0.0254,0.0669,-0.1856,0.0052,-0.0442
DR 53,0.0141,-0.0028,0.0425,-0.103,-0.0645,-0.132,-0.0551,-0.0046,0.0249,-0.2005,-0.0427
DR 8,-0.1421,-0.0647,-0.1687,0.1548,0.0736,0.1325,0.0987,-0.0326,0.1402,0.2229,0.0947
DR 45,-0.0612,-0.0658,-0.0709,-0.0343,-0.1028,0.0624,0.0833,0.0368,-0.0142,0.0362,0.0485
DR 25,-0.0705,-0.0638,-0.0574,-0.1713,-0.1362,0.0368,0.0881,0.1234,0.11,-0.1674,0.0982
DR 44,-0.0045,0.0473,0.0055,-0.0511,-0.0206,-0.0013,0.1061,0.1279,-0.0481,-0.0986,0.0862
DR 49,-0.0194,-0.0209,0.0054,-0.0574,-0.033,-0.0884,-0.0771,-0.0461,-0.0053,-0.031,-0.0289
DR 14,0.0647,0.1104,0.0706,0.0145,0.0541,-0.136,-0.1419,-0.1614,-0.0847,-0.0238,-0.1348
DR 4,0.0326,0.0689,0.1017,0.0535,0.1685,-0.2967,-0.3555,-0.3349,0.1071,-0.0295,-0.3272
DR 6,0.0085,-0.0327,0.0239,-0.0481,-0.0286,-0.0117,0.065,0.2091,-0.241,-0.3603,-0.0707
DR 42,0.1233,0.1301,0.1062,0.0908,0.1588,-0.1461,-0.1474,-0.175,-0.0229,0.0023,-0.1811
DR 16,-0.0008,-0.0384,0.024,-0.1069,-0.0416,-0.2523,-0.2655,-0.1973,0.0447,-0.1378,-0.2375
DR 35,0.0948,0.0277,0.0778,0.0435,0.0893,0.0044,0.0484,0.0864,-0.1985,0.0258,-0.0156
DR 32,-0.0365,-0.0779,-0.0402,-0.0548,-0.0675,-0.0277,-0.0899,-0.055,0.0001,0.0288,-0.0661
DR 24,-0.4868,-0.4839,-0.426,-0.2178,-0.2829,-0.0136,0.0378,0.0358,-0.0124,0.0653,0.0186
DR 21,-0.1523,-0.1262,-0.1766,-0.1596,-0.184,0.0465,0.0546,0.0564,0.1704,0.0266,0.0714
DR 31,0.099,0.0732,0.0803,0.1163,0.0561,0.1864,0.1637,0.1464,0.0613,0.0686,0.2741
DR 59,-0.0652,-0.026,-0.0559,-0.0443,-0.0159,-0.0514,-0.0286,-0.0432,0.0315,-0.0057,-0.0189
DR 47,0.0658,0.0594,0.0608,0.0583,0.0529,-0.026,-0.0367,-0.0259,0.0397,-0.0307,-0.0042
DR 20,0.1037,0.1183,0.0799,0.0025,0.0831,-0.1631,-0.1535,-0.1623,-0.1585,-0.0613,-0.2897
DR 13,-0.0799,-0.127,-0.1161,0.0242,0.0045,0.158,0.2124,0.201,0.1847,0.2047,0.2769
