# dim_geneset_signed_significance | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,HALLMARK_IFNA,HALLMARK_IFNG,ISDS,KEGG_APM,IMMUNOGENIC_CONSENSUS,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,LIM_STEM,FMASC
DR 1,-8.0299,-9.4372,-7.1135,-0.7309,-0.2133,-0.0,-0.076,-0.0,-0.064,-0.0
DR 17,3.2823,1.8691,1.3705,0.0737,0.504,0.3888,0.4644,1.5542,-0.4178,0.1135
DR 53,0.364,0.0298,0.1838,-0.0737,-0.0243,-0.5478,-1.0037,-0.6438,0.064,-0.2233
DR 8,-3.2823,-2.6655,-2.0128,-0.0,0.0,-2.9363,-3.1656,-0.9112,-0.0,-0.0
DR 45,-1.6474,-2.6655,0.8715,-0.4556,-0.9278,0.5478,1.2433,0.0406,-0.514,0.0243
DR 25,-2.119,-0.504,-0.8715,-0.7309,0.0,-0.3888,0.4644,-1.2136,1.4776,-0.5773
DR 44,0.1838,0.3452,0.1838,0.0,0.0,0.0334,0.6235,0.1314,0.0243,-0.0243
DR 49,-0.574,0.3452,1.3705,-0.0,-0.0,-0.0334,-0.4644,-0.1314,-0.0,-0.0243
DR 14,2.119,2.2284,2.7791,-0.0,0.0243,-1.3458,-1.0037,0.1314,-0.4178,-0.1135
DR 4,-0.1838,1.8691,-0.1838,5.7478,6.2517,-0.0334,-0.8334,-0.1314,-0.0,-0.0
DR 6,2.6764,0.1137,1.3705,-0.0,-0.0,0.5478,2.072,0.6438,-0.1193,-1.5455
DR 42,0.1838,-0.0,-0.1838,-0.0,-0.0,-0.0,-1.0037,-0.0,0.514,0.0631
DR 16,-0.0584,0.0298,-0.1838,0.0,0.0,-0.2287,-0.6235,-0.0,3.3745,2.4844
DR 35,5.4025,-2.2284,2.0128,-0.0737,0.0243,1.0236,3.1656,0.46,-0.2005,0.2233
DR 32,-0.1838,-0.0298,0.4608,-0.0,0.0,-0.7931,-0.6235,-0.0,-0.0243,-0.0
DR 24,-29.7666,-37.9911,-11.9093,-0.4556,-0.504,-0.0334,0.0243,-0.0,-0.0,0.0243
DR 21,-0.0584,0.1137,-0.1838,-0.0,-0.0,-0.2287,-0.3497,0.2791,0.064,0.1135
DR 31,0.0584,-0.0,0.1838,-0.0,-0.0,0.0334,0.4644,0.0406,0.064,-0.0
DR 59,-1.2416,-0.504,-1.3705,0.0,-0.0243,-1.3458,-2.4193,-0.46,-0.0,-0.0
DR 47,-0.1838,-0.0298,-0.1838,-0.0,-0.0,-0.3888,-1.4937,-0.2791,-0.0,-0.168
DR 20,-0.0,-0.0,0.0243,-0.2177,-0.504,-0.0334,-0.0,-0.0,-0.2005,-0.2233
DR 13,-0.8846,-1.2118,-0.8715,-0.4556,-0.0,0.2287,0.6235,0.0406,3.3745,0.8715
