# dim_geneset_signed_significance | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,EMT_B_EPITHELIAL,EMT_A_EPITHELIAL,EMT_C_EPITHELIAL,EMT_B_HYBRID,EMT_A_HYBRID,EMT_C_HYBRID,EMT_B_MESENCHYMAL,EMT_A_MESENCHYMAL,EMT_C_MESENCHYMAL
DR 32,0.079,0.2213,0.1434,-0.4441,-0.4441,-2.1453,-1.0314,-0.1458,-1.3481
DR 19,0.5375,1.0053,0.1434,-0.4441,-0.4441,-0.8302,-0.5899,-0.9622,-1.3481
DR 48,-0.5375,-0.2213,-0.7007,0.0,0.0,0.0,0.2615,-0.0,0.1934
DR 30,0.5375,0.2213,0.1434,0.4441,0.4441,0.1151,0.0,0.0,0.0268
DR 55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR 44,-1.3174,-0.2213,-0.7007,-0.0556,-0.0556,0.0,-0.0,-0.0,-0.0268
DR 37,0.0,0.0,0.0,0.4441,0.4441,0.1151,0.5899,0.4679,0.8609
DR 9,-1.3174,-1.0053,-0.7007,0.0556,0.0556,0.0,0.0556,-0.0,0.0268
DR 7,0.079,0.2213,-0.1434,0.0556,0.0556,-0.0,0.0556,-0.0,0.0268
DR 31,-1.3174,-1.0053,-0.7007,0.0,0.0,-0.1151,0.0556,-0.0,0.0268
DR 51,0.5375,0.2213,0.7007,0.4441,0.4441,0.1151,-0.0556,-0.1458,-0.4686
DR 33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR 16,-0.079,-0.2213,-0.1434,0.0556,0.0556,0.8302,0.5899,0.4679,1.3481
DR 17,-1.3174,-1.0053,-0.7007,0.0556,0.0556,0.1151,0.0556,0.1458,0.1934
DR 8,1.3174,1.0053,0.7007,0.0556,0.0556,0.1151,-0.0,0.0,-0.0
DR 35,0.079,-0.2213,0.1434,0.0556,0.0556,-0.1151,0.0556,-0.0,0.1934
DR 27,0.5375,1.0053,0.1434,-0.0556,-0.0556,0.0,-0.5899,-0.1458,-0.4686
DR 43,0.5375,1.0053,0.1434,0.0556,0.0556,0.1151,-0.2615,0.0,-0.1934
DR 49,-1.3174,-1.0053,-0.7007,1.0445,1.0445,0.1151,0.5899,0.1458,0.8609
DR 45,0.0,0.0,0.0,0.0556,0.0556,-0.0,0.0556,-0.0,0.0268
DR 25,0.0,0.0,0.0,0.0556,0.0556,0.0,-0.0556,-0.0,-0.0268
DR 36,0.079,0.2213,0.1434,-0.0556,-0.0556,0.1151,0.2615,0.1458,0.1934
DR 6,0.0,0.0,0.0,-0.0556,-0.0556,-0.0,-0.2615,-0.4679,-0.1934
DR 3,0.0,0.0,0.0,0.0,0.0,0.0,-0.0556,-0.1458,-0.1934
DR 5,-0.5375,-1.0053,-0.1434,-0.0556,-0.0556,0.0,-0.2615,-0.1458,-0.8609
DR 40,-1.3174,0.2213,-0.7007,0.0,0.0,-0.1151,-0.0556,-0.1458,-0.1934
DR 41,-1.3174,-1.0053,-0.7007,-0.0556,-0.0556,0.0,0.2615,-0.0,0.1934
DR 23,-0.079,-0.2213,0.0,0.0556,0.0556,-0.0,-0.2615,-0.0,-0.4686
DR 28,1.3174,1.0053,0.7007,0.0556,0.0556,0.4124,-0.2615,-0.4679,0.1934
DR 1,-0.5375,-1.0053,-0.1434,0.4441,0.4441,1.4071,1.0314,0.9622,0.8609
DR 53,-0.079,0.0,-0.1434,0.0556,0.0556,-0.0,0.0,0.0,-0.0
DR 56,0.0,0.0,0.0,0.0,0.0,-0.0,0.0556,0.1458,0.0268
DR 46,-0.079,-0.2213,-0.1434,0.0556,0.0556,0.4124,0.0556,0.0,0.0268
DR 12,-2.5116,-1.0053,-1.7225,-0.4441,-0.4441,-0.4124,0.2615,0.1458,0.1934
DR 15,-0.5375,-0.2213,-0.7007,-0.4441,-0.4441,0.0,0.0556,-0.0,0.0268
DR 52,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,-0.0,0.0268
DR 20,0.079,0.2213,-0.1434,0.0,0.0,-0.1151,-0.2615,0.1458,0.1934
DR 42,0.079,0.2213,0.0,-0.0556,-0.0556,-0.4124,-1.6142,-0.9622,-1.3481
DR 50,0.5375,0.2213,0.1434,0.0556,0.0556,-0.0,0.0,0.0,-0.0
DR 54,0.079,-0.2213,0.1434,0.0556,0.0556,0.1151,0.2615,0.1458,0.4686
DR 13,-0.079,0.0,-0.1434,0.0556,0.0556,-0.4124,-0.2615,-0.4679,-0.8609
DR 47,0.079,0.2213,0.1434,-0.4441,-0.4441,-0.1151,-0.0556,0.0,-0.1934
DR 2,0.079,0.0,0.1434,-0.0556,-0.0556,-0.0,-0.5899,-0.9622,-0.4686
DR 10,-0.5375,-0.2213,-0.7007,-0.0556,-0.0556,-0.1151,-0.2615,-0.4679,-0.1934
DR 26,0.5375,1.0053,0.1434,0.0556,0.0556,-0.4124,-0.2615,-0.4679,-0.1934
DR 18,-0.5375,-1.0053,0.1434,-0.4441,-0.4441,-0.1151,0.0556,-0.0,-0.1934
