# signature_concentration | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
signature,axis,primary,n_mapped,effective_n_genes,effective_n_fraction,top_gene,top_gene_share_of_variance,top_gene_share_of_mean_signal,top_gene_detection_rate,top_gene_spearman_with_score,share_top3_of_variance,median_detection_rate,n_genes_below_noise_floor,frac_genes_below_noise_floor,frac_cells_all_zero,gini_of_mean_signal,flags
MP21_RESPIRATION,metabolic,True,47,36.5743,0.7782,RPS21,0.0417,0.0599,0.8587,0.5679,0.1177,0.523,0,0.0,0.0016,0.2904,none
MP38_GLUTATHIONE,detoxification,True,48,5.9393,0.1237,AZGP1,0.39,0.3828,0.533,0.6579,0.5121,0.0248,18,0.375,0.1512,0.7502,"dominated_by_one_gene,low_effective_n,undetectable_in_many_cells"
MP39_METAL_RESPONSE,detoxification,True,50,19.0904,0.3818,S100A6,0.1283,0.1358,0.7773,0.6126,0.3027,0.1636,0,0.0,0.006,0.5841,none
MP22_SECRETED_1,secreted,True,49,23.4457,0.4785,TM4SF1,0.0782,0.1191,0.6578,0.4812,0.2078,0.2013,2,0.0408,0.0443,0.4902,none
MP23_SECRETED_2,secreted,True,50,19.1122,0.3822,RARRES1,0.0952,0.0544,0.3716,0.4953,0.2336,0.137,2,0.04,0.0091,0.605,none
MP24_CILIA,cilia,True,39,16.797,0.4307,TUBA1A,0.1305,0.1362,0.3777,0.3071,0.31,0.0796,4,0.1026,0.1364,0.5598,undetectable_in_many_cells
MP25_ASTROCYTES,neural,False,49,14.867,0.3034,VIM,0.1124,0.0906,0.5799,0.5104,0.2601,0.0922,8,0.1633,0.0061,0.6853,none
MP26_NPC_GLIOMA,neural,False,49,9.9817,0.2037,STMN1,0.1486,0.1243,0.5226,0.4867,0.4065,0.025,19,0.3878,0.0374,0.7751,low_effective_n
MP27_OLIGO_PROGENITOR,neural,False,48,11.5456,0.2405,APOD,0.2134,0.1562,0.2497,0.4398,0.4259,0.0238,16,0.3333,0.149,0.7202,undetectable_in_many_cells
MP28_OLIGO_NORMAL,neural,False,47,16.2334,0.3454,S100A1,0.1476,0.1107,0.3361,0.4671,0.3667,0.0937,8,0.1702,0.0723,0.6352,none
MP29_NPC_OPC,neural,False,49,13.2468,0.2703,BTG1,0.1368,0.1465,0.5371,0.4493,0.3791,0.0814,8,0.1633,0.1042,0.6643,undetectable_in_many_cells
MP30_PDAC_CLASSICAL,epithelial_lineage,True,50,12.6815,0.2536,TFF3,0.1634,0.0988,0.2179,0.5605,0.3816,0.0368,20,0.4,0.1542,0.7209,undetectable_in_many_cells
MP31_ALVEOLAR,epithelial_lineage,True,49,13.8736,0.2831,SLPI,0.1566,0.14,0.4299,0.5292,0.3628,0.0463,17,0.3469,0.0833,0.7099,none
MP40_PDAC_RELATED,epithelial_lineage,True,50,22.226,0.4445,ANXA1,0.1025,0.0758,0.3688,0.577,0.2588,0.1054,3,0.06,0.0471,0.5489,none
MP32_SKIN_PIGMENTATION,other_lineage,False,49,13.9288,0.2843,LGALS3,0.1201,0.1719,0.5725,0.3289,0.3172,0.0919,8,0.1633,0.0672,0.6228,none
MP33_RBCS,other_lineage,False,49,13.4773,0.275,S100A6,0.1368,0.1918,0.7773,0.4188,0.3275,0.1122,14,0.2857,0.0097,0.6852,none
MP34_PLATELET_ACTIVATION,other_lineage,False,49,13.9379,0.2844,LGALS1,0.1092,0.0872,0.5529,0.4225,0.2843,0.0834,12,0.2449,0.0052,0.7073,none
MP35_HEMATO_RELATED_1,other_lineage,False,50,10.6845,0.2137,CD74,0.1816,0.1346,0.6162,0.6061,0.3837,0.0333,17,0.34,0.0164,0.7785,none
MP36_IG,other_lineage,False,41,8.3403,0.2034,SELENOM,0.1698,0.2065,0.6565,0.475,0.441,0.0079,21,0.5122,0.0705,0.7914,low_effective_n
MP37_HEMATO_RELATED_2,other_lineage,False,48,13.2031,0.2751,SOX4,0.1577,0.1765,0.4943,0.3614,0.3491,0.0364,14,0.2917,0.1098,0.6967,undetectable_in_many_cells
MP41_UNASSIGNED,unassigned,True,41,15.3404,0.3742,MALAT1,0.1645,0.2,0.8238,0.6802,0.2871,0.275,2,0.0488,0.0206,0.491,none
