# dim_geneset_signed_significance | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP16_MES_GLIOMA,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP24_CILIA,MP25_ASTROCYTES,MP26_NPC_GLIOMA,MP27_OLIGO_PROGENITOR,MP28_OLIGO_NORMAL,MP29_NPC_OPC,MP30_PDAC_CLASSICAL,MP31_ALVEOLAR,MP40_PDAC_RELATED,MP32_SKIN_PIGMENTATION,MP33_RBCS,MP34_PLATELET_ACTIVATION,MP35_HEMATO_RELATED_1,MP36_IG,MP37_HEMATO_RELATED_2,MP41_UNASSIGNED
DR 32,0.0,-0.5263,-0.2655,-0.4725,0.7549,-1.8913,-0.5872,0.0,0.3482,-0.9398,-0.0,1.699,3.9736,-0.3103,0.2846,0.2811,0.7864,14.2817,0.0837,0.0,0.2432,0.1574,1.3798,7.687,0.194,-0.6548,-0.2669,-0.8913,-1.1077,-0.2655,-0.4061,3.212,3.5772,-0.1931,0.2157,0.0,0.105,0.0,0.3502,-0.4893
DR 28,-0.0,0.194,0.0,-5.5361,0.7549,-0.8367,0.5872,-0.4397,2.6051,0.0,0.2669,-0.105,3.9736,0.3103,-0.0,1.4294,1.5057,4.3805,0.4893,0.0,0.2432,0.5263,-0.6277,2.7372,0.5263,0.9941,1.5338,0.4713,1.1077,-0.2655,2.5762,0.2846,-0.2224,0.1931,0.0,-1.1093,-2.485,-0.0739,0.0,-0.0837
DR 40,0.0,0.194,0.0,0.1237,1.9845,1.3151,1.3784,0.0,-1.21,1.7127,0.2669,0.6548,6.3736,-0.7864,0.5452,0.2811,-1.1093,3.0633,1.1093,0.0,0.2432,0.7864,0.1719,-0.7505,0.5263,0.9941,-0.583,0.4713,-1.1077,-0.0113,1.0343,0.105,0.2224,-0.7785,-0.2157,0.3996,0.2846,-0.0,-0.142,-0.4893
DR 6,0.583,1.6489,-1.0724,-0.4725,-0.4893,-0.2157,0.5872,0.4397,0.712,1.7127,0.1381,0.4429,7.2506,0.5263,-1.3355,1.4294,3.6671,0.7864,2.0518,1.0724,0.2432,1.1093,-0.3624,0.3103,0.5263,0.4248,1.015,0.0,0.6411,-0.0113,1.0343,0.105,0.2224,0.0195,0.2157,1.1093,0.5452,0.0,0.3502,-2.0518
DR 20,-0.0,-0.0,1.0724,-1.3677,1.1069,0.8367,0.1282,-0.4397,-0.105,1.7127,0.1381,-1.699,-3.9736,-1.9536,-1.3355,-20.5986,-3.0633,-3.6671,0.0837,0.0,0.0458,1.5057,-2.4655,-3.309,0.194,0.9941,0.2669,0.1574,1.6711,0.67,-0.194,-0.2846,-1.8098,-0.4429,0.034,0.1595,-0.9032,-0.0,-0.3502,0.4893
DR 21,-0.0,-1.015,0.0,0.0,0.105,-0.4893,-0.5872,0.0,-2.6051,-1.7127,8.0877,0.4429,-4.7112,-0.7864,-0.0,-0.1374,1.5057,-3.0633,-1.1093,0.2655,-0.2432,0.7864,-0.0,-0.3103,-1.015,0.4248,-1.5338,0.4713,-0.3103,0.2655,-1.0343,-0.0,-0.0,1.214,5.3916,-0.7053,0.105,0.0,0.142,0.0
DR 51,-0.9081,0.194,0.0,-15.9765,-2.5573,-4.3514,-0.5872,0.4397,-0.712,0.3996,-0.0,0.105,5.5163,-0.3103,-0.2846,-0.0,0.5263,0.7864,0.0837,0.2655,0.5263,-1.9536,-1.8615,0.161,1.015,-0.6548,0.583,0.1574,1.1077,-0.2655,2.5762,-0.0,-0.0,0.7785,-0.4893,0.7053,-0.0,-0.0739,-0.0,-0.4893
DR 64,-0.0,-0.194,0.0,-0.0149,-1.9845,0.2157,0.1282,0.0,-0.3482,0.0543,-0.1381,-0.105,-3.309,0.5263,-0.105,0.2811,2.4806,0.3103,1.1093,0.0,-0.5263,0.7864,0.0,0.7505,-0.194,-3.5772,0.583,-0.1574,-1.1077,0.0,1.0343,0.5452,-0.0,-0.7785,0.0,0.7053,-0.0,0.0,-0.142,0.0
DR 24,0.1574,0.5263,0.0,-1.3677,-26.3849,-4.3514,-0.1282,0.0,-0.3482,0.0543,-1.6489,-7.8761,-3.9736,-0.7864,-1.3355,1.4294,3.0633,-1.9536,0.4893,0.2655,-0.0,-9.6246,-7.4699,-1.0351,-0.0,0.9941,1.015,-0.0,0.6411,-0.2655,0.0426,0.2846,-4.3109,0.1931,-0.2157,0.1595,0.5452,-0.0,0.3502,-0.4893
DR 22,0.0,0.0,0.0,-0.0,-0.2636,-0.034,0.5872,0.0,0.712,0.3996,0.4686,0.6548,3.309,0.7864,1.8595,0.1374,3.0633,5.1347,0.0837,0.0,0.9207,1.1093,0.9765,6.8219,0.194,1.8098,-0.583,0.4713,1.1077,0.0113,0.4061,-2.485,2.3404,0.4429,0.2157,0.1595,-0.0,0.0,0.3502,0.0
DR 43,-2.3299,-3.4874,-0.2655,-0.0149,-1.1069,0.2157,-0.5872,0.0,1.21,-0.9398,-3.6611,-0.2471,6.3736,0.3103,-0.2846,0.1374,1.5057,4.3805,-0.4893,0.2655,0.5263,0.7864,-0.0,3.309,0.5263,-0.9941,-1.5338,-0.4713,0.3103,0.0,2.5762,-0.0,-0.0,1.214,-0.4893,0.3996,0.105,0.0,-0.3502,-0.0837
DR 23,0.0,-0.194,0.0,-0.0,-0.7549,-0.2157,-0.1282,0.0,-0.712,-0.0543,-0.2669,-0.2471,-6.3736,-0.5263,0.0,-0.4893,-1.1093,-4.3805,-0.4893,-0.2655,-0.5263,-1.1093,-0.0,-2.2211,-0.5263,-0.4248,-1.015,0.0,-0.6411,0.2655,-2.5762,-0.105,-0.0,-0.4429,0.0,0.7053,3.212,0.0739,0.0,0.0837
DR 27,0.0,0.194,0.0,-0.0,0.2636,0.4893,0.5872,0.0,-0.712,0.3996,0.6598,0.2471,5.5163,0.034,0.5452,0.1374,2.4806,1.9536,0.4893,0.2655,-0.2432,1.5057,-0.0,-2.2211,1.015,0.4248,0.583,0.1574,0.6411,-0.0113,-1.0343,-3.212,-0.0,0.4429,-0.034,0.1595,-0.0,0.0,-0.142,0.0
DR 10,0.583,0.5263,0.2655,0.4725,-4.6584,0.034,0.5872,-0.4397,1.21,0.3996,-0.4686,-6.1883,-11.3822,0.5263,-3.212,-6.551,-2.4806,-10.7152,0.4893,-0.2655,0.0458,1.5057,-3.1015,-3.309,0.5263,1.3677,0.583,0.4713,0.6411,0.2655,-0.6612,-1.3355,-9.8101,-0.0195,-0.034,0.7053,-0.2846,-0.0,1.0373,0.0
DR 47,0.3299,1.6489,-1.0724,-1.3677,3.1984,-1.3151,0.1282,0.0,-0.712,0.9398,2.5521,3.9328,5.5163,0.3103,1.3355,-0.1374,0.5263,2.4806,2.0518,0.2655,-0.0458,1.9536,-0.0,-0.7505,0.194,0.4248,1.015,-0.0,-0.0,-0.67,0.0,0.2846,0.6548,-0.1931,-0.034,0.7053,-0.2846,0.0,-1.5175,-2.0518
DR 57,-0.0,-1.015,0.0,0.0149,-1.9845,0.2157,0.1282,0.0,0.105,0.0543,0.034,-0.2471,-5.5163,0.7864,0.2846,0.1374,-2.4806,2.4806,1.1093,-0.2655,0.2432,-0.7864,-0.0,1.7772,0.194,2.3404,-0.583,-0.0,1.6711,0.0113,-1.0343,0.5452,-0.0,-0.7785,-0.0,-0.3996,0.105,0.0,-0.0,0.0
DR 8,-17.7085,-3.4874,0.0,3.4198,1.1069,0.8367,-0.5872,0.0,0.712,-0.0543,0.2669,-0.2471,0.3522,1.5057,-0.0,0.1374,0.7864,2.4806,-0.4893,-0.2655,0.0458,0.7864,0.1719,3.309,-0.0,0.6548,-3.0312,0.1574,0.6411,0.0113,1.0343,-0.0,-0.0,0.7785,-0.0,-0.1595,-0.0,-0.0,0.142,0.0837
DR 7,0.0,-0.5263,0.0,0.2655,-1.1069,-1.3151,-0.5872,0.0,-1.8378,-0.9398,0.1381,0.4429,-5.5163,-0.7864,0.2846,1.8595,3.6671,-1.5057,-1.1093,0.2655,-0.9207,-1.1093,0.9765,-1.3798,-1.015,0.4248,-3.9365,-0.4713,-1.1077,-0.2655,-1.0343,-0.2846,0.2224,1.214,0.8367,1.1093,0.9032,0.0,3.5913,-0.4893
DR 46,0.0,-0.0,0.0,0.0149,-0.4893,-0.4893,-0.5872,0.0,-1.21,0.0543,0.1381,0.105,-2.6766,1.5057,-0.2846,1.8595,1.5057,-2.4806,0.0837,0.2655,0.2432,-0.3103,0.9765,0.7505,-1.015,1.8098,-0.583,-0.4713,-2.413,-0.2655,-1.9696,-0.2846,-0.6548,1.214,0.034,0.3996,0.2846,0.0,-0.3502,0.0
DR 2,-0.0,-0.5263,0.0,3.4198,-1.9845,0.4893,-0.5872,-0.4397,0.712,0.0,-0.9509,-18.1331,-17.9181,0.7864,-8.0764,-0.025,-0.7864,-5.9475,-0.4893,-0.2655,0.2432,-1.9536,-4.6404,0.5104,-0.194,0.2224,-3.9365,-0.1574,-0.0807,0.2655,0.6612,0.2846,-8.7373,-0.0195,-0.034,-2.2561,0.2846,-0.0,0.142,0.0837
DR 62,0.0233,1.6489,0.0,0.1237,1.5057,0.4893,0.5872,0.0,-0.712,0.0543,0.6598,-0.2471,-6.3736,-0.5263,-0.105,-0.025,-0.5263,3.0633,0.4893,-0.2655,-0.5263,-1.5057,-0.034,0.7505,0.5263,0.6548,-0.583,0.4713,-1.6711,-0.0113,1.4679,0.105,-0.0,0.4429,0.2157,-0.7053,-0.105,-0.0,0.0,0.0
DR 41,0.0233,1.015,0.0,-1.7793,0.2636,0.8367,0.5872,0.0,-0.3482,0.9398,-0.0,-0.0,6.3736,-0.5263,-0.2846,-0.2811,-5.1347,-3.6671,1.1093,0.2655,-0.5263,0.7864,-1.8615,-5.2872,0.5263,-1.3677,1.015,0.4713,-2.413,0.2655,1.4679,-1.8595,-0.0776,0.7785,-0.0,0.1595,-0.0,-0.0,-0.142,0.0
DR 25,0.0,0.0,0.0,0.0149,-1.5057,-0.4893,0.0,0.4397,2.6051,-0.3996,0.2669,0.6548,-1.6489,1.9536,0.2846,27.3435,7.687,1.1093,0.0837,0.0,-0.0,0.1574,0.1719,9.456,-0.0,0.9941,-0.2669,-0.0,-0.3103,-0.2655,1.0343,1.8595,1.3677,0.4429,-0.034,0.1595,0.5452,-0.0,0.3502,0.0
DR 37,-0.0,0.5263,0.2655,-0.6984,1.9845,0.8367,0.1282,0.0,-1.21,0.0543,2.5521,6.1883,7.2506,0.5263,4.9162,-1.4294,1.5057,-1.5057,0.4893,1.0724,-0.0,2.4806,0.6277,-1.7772,0.5263,0.9941,2.2151,-0.0,-0.3103,-1.2813,-1.4679,-0.2846,1.3677,-0.7785,-0.034,1.1093,-0.105,0.0,-0.6411,0.0837
DR 45,-0.1574,-0.5263,0.0,-9.0703,0.105,-2.5927,-1.3784,0.0,-1.8378,0.3996,0.4686,-1.699,-6.3736,0.5263,-1.8595,0.7505,2.4806,-5.1347,0.4893,0.2655,-0.0458,1.9536,-6.4467,-0.7505,0.0,0.9941,-1.015,0.4713,1.1077,0.0113,-0.0,-0.0,-3.5772,0.7785,0.034,0.1595,0.105,0.0,-0.0,-0.0837
DR 4,-0.0233,0.0,0.0,1.7793,-1.9845,-0.8367,0.1282,0.0,-0.712,1.7127,-0.4686,-2.1738,-6.3736,1.1093,-0.2846,-2.3744,1.1093,2.4806,-0.4893,-1.0724,0.9207,0.7864,1.8615,7.687,-0.5263,0.9941,-0.583,-0.1574,0.6411,0.0113,-1.0343,-0.9032,0.6548,0.0195,0.2157,-1.1093,-0.105,0.0,0.6411,0.0
DR 54,-0.0,-0.194,0.0,0.2655,-1.9845,-0.4893,-0.5872,0.0,0.712,-0.9398,-0.2669,-0.2471,-6.3736,-0.3103,0.5452,0.2811,-3.0633,-2.4806,-0.4893,-0.2655,-0.2432,-1.9536,0.9765,-1.3798,0.194,-1.8098,-1.015,-0.1574,-1.1077,0.0113,-1.4679,-0.105,-0.0,-0.7785,0.0,-1.1093,-0.105,0.0,0.6411,0.0837
DR 50,0.3299,1.015,0.0,-3.4198,0.7549,-7.7907,0.5872,-0.4397,0.712,0.9398,0.4686,-0.6548,3.309,0.3103,-0.5452,0.4893,1.9536,1.5057,1.1093,0.2655,0.9207,1.5057,-3.1015,1.3798,1.6489,1.3677,0.583,-0.1574,0.6411,-0.2655,1.9696,0.5452,-0.9941,-1.214,-0.034,-0.1595,0.105,-0.2432,-0.142,-0.0837
DR 48,-0.0233,-0.5263,0.0,-1.7793,0.7549,-0.8367,0.5872,0.0,5.8361,-0.3996,1.6489,0.2471,-2.1242,1.5057,0.2846,5.7359,5.1347,4.3805,0.4893,0.0,1.4259,1.5057,-0.1719,9.456,0.5263,0.9941,-0.2669,0.4713,0.6411,-0.2655,0.4061,0.9032,1.8098,0.0195,0.034,-0.3996,0.5452,-0.0,0.3502,0.0837
DR 11,-4.4178,-4.7019,0.2655,4.0625,2.5573,4.3514,-0.5872,0.0,3.5396,-2.8152,0.2669,2.1738,1.6489,0.034,0.9032,0.2811,-0.7864,2.4806,-3.4354,-1.0724,-0.0,0.5263,2.4655,3.9194,-0.194,0.4248,-2.2151,0.1574,-0.3103,0.2655,0.4061,-0.0,2.9397,1.214,-0.2157,0.3996,0.105,-0.0,-0.3502,1.1093
DR 56,-0.0,-0.5263,0.0,-0.6984,-1.9845,-1.3151,0.5872,0.0,0.3482,-0.0543,-1.6489,0.2471,5.5163,0.1574,-0.0,-0.0,-1.9536,4.3805,-1.1093,0.2655,0.9207,1.5057,-0.0,1.0351,0.194,-2.3404,1.015,-0.1574,-1.1077,0.0113,1.9696,0.5452,0.2224,0.7785,-0.0,-0.7053,0.2846,0.0,-0.142,0.0
DR 58,0.0233,0.5263,0.2655,0.0149,0.4893,0.8367,0.1282,0.0,1.8378,0.3996,-0.2669,-0.0078,-2.6766,0.5263,-0.0,0.7505,1.9536,3.0633,-1.1093,0.0,0.5263,0.7864,-0.0,2.7372,0.194,0.9941,-2.2151,0.1574,1.6711,0.2655,1.9696,0.2846,0.0776,0.0195,0.0,-0.3996,0.105,0.0,-0.0,0.0837
DR 16,-0.0,0.194,0.0,-1.3677,0.4893,0.8367,-0.5872,0.0,0.3482,-1.7127,-0.0,-1.3052,4.7112,-0.1574,-1.3355,0.1374,1.1093,3.0633,-2.0518,0.2655,0.2432,0.5263,-3.1015,1.0351,1.015,0.9941,0.583,0.1574,2.413,-0.0113,-3.266,-0.2846,-0.4248,0.4429,-0.0,-0.7053,-0.0,0.0,-0.3502,0.0
DR 35,1.7732,0.194,-0.2655,-20.0298,1.5057,-1.3151,0.1282,0.0,1.8378,-0.0543,1.2623,-0.6548,1.6489,1.1093,-8.0764,2.3744,1.1093,-1.5057,0.0837,0.2655,0.2432,-0.7864,-13.6976,0.7505,0.5263,-0.4248,-0.583,0.8913,1.1077,-0.67,0.6612,-0.0,-1.8098,0.7785,-0.2157,0.0075,-0.2846,-0.0,0.142,-0.0837
DR 31,-0.0233,-0.5263,0.0,-2.8152,1.5057,-0.4893,0.5872,0.0,2.6051,-0.9398,0.2669,-0.2471,-6.3736,1.5057,0.105,16.4177,5.1347,-2.4806,-1.1093,-0.2655,0.5263,0.3103,-3.1015,6.8219,-0.5263,0.2224,-0.2669,-0.0,0.6411,0.0113,-1.4679,1.8595,0.4248,0.1931,0.034,-0.1595,1.3355,-0.0,0.6411,-0.0837
DR 52,0.0,0.5263,0.0,0.4725,-3.1984,0.8367,1.3784,0.0,-1.8378,0.3996,-8.0877,-0.9633,7.2506,-1.5057,-0.9032,-0.2811,-4.3805,5.1347,-1.1093,-0.2655,0.2432,-2.4806,0.034,2.2211,0.5263,-7.7498,0.583,-1.4801,-1.1077,0.2655,1.9696,-0.5452,0.0776,0.4429,-0.2157,-1.1093,0.2846,0.0739,-0.3502,-0.4893
DR 33,-0.1574,0.194,0.0,-0.0149,0.7549,-0.4893,-1.3784,0.0,-2.6051,0.9398,-0.4686,0.0078,0.8797,-0.5263,0.2846,-3.5468,-1.9536,-0.5263,1.1093,0.2655,0.0458,-0.1574,0.1719,-1.0351,-0.5263,0.0776,1.015,-0.1574,-1.6711,0.0113,-1.0343,-0.0,0.0776,-0.4429,0.2157,0.1595,-0.105,0.0,-0.3502,0.0
DR 18,-0.0,-0.0,0.0,0.4725,0.4893,0.2157,-0.5872,0.0,1.8378,-0.9398,-2.0532,-0.4429,-3.309,-1.5057,-0.2846,-0.4893,-2.4806,3.0633,-0.4893,-0.2655,0.0458,-1.9536,0.1719,2.7372,-0.5263,0.6548,-2.2151,-0.1574,0.6411,0.2655,0.6612,0.9032,0.9941,0.0195,-0.034,-0.7053,-0.105,0.0,0.3502,0.0837
DR 59,-1.3052,-0.5263,0.0,-0.0149,-1.5057,-0.2157,-0.5872,0.0,0.712,-0.3996,2.0532,0.4429,3.9736,0.5263,-0.0,-0.4893,1.5057,1.9536,1.1093,0.2655,2.0333,0.7864,0.0,-1.3798,1.015,0.6548,1.015,-0.0,0.6411,-0.2655,1.0343,0.5452,0.0776,0.0195,0.2157,0.7053,-0.0,-0.0,-0.0,0.0
DR 15,0.0,0.0,0.0,-0.0,0.4893,0.4893,0.5872,0.0,2.6051,0.3996,0.9509,-5.3786,-10.2741,1.1093,-1.8595,-0.4893,1.5057,-19.6989,0.0837,-0.2655,0.5263,-1.1093,-1.8615,-3.309,0.194,0.6548,-0.2669,0.0,1.1077,0.0113,1.9696,0.9032,-14.7715,-1.214,-0.0,-0.3996,-0.0,0.0,0.3502,0.0837
DR 17,-0.583,-1.015,1.0724,13.4969,1.1069,-5.3916,-1.3784,-0.4397,-1.8378,0.9398,-0.4686,0.6548,1.2215,0.034,1.3355,-0.7505,0.3103,-1.9536,0.0837,0.0,0.0458,1.1093,3.8243,-0.7505,-0.5263,0.2224,-0.2669,-0.4713,0.0,1.2813,0.4061,-0.0,-0.6548,-1.214,-0.034,0.1595,-0.0,-0.0,-0.6411,1.1093
DR 53,0.0,-0.194,0.0,6.3736,-1.9845,1.3151,-0.5872,0.4397,-0.3482,-0.3996,-0.034,2.1738,-3.9736,0.3103,0.5452,2.3744,-1.1093,3.0633,-1.1093,-0.2655,-0.9207,-0.7864,15.1598,7.687,-0.5263,-1.8098,-0.583,0.4713,-1.6711,0.0,-1.4679,-0.5452,1.3677,-0.4429,0.034,-0.1595,-0.0,-0.0,-0.0,0.0
DR 13,0.0,-0.0,0.0,-0.1237,1.5057,-0.2157,0.5872,0.0,3.5396,-0.3996,2.5521,7.8761,9.1886,1.5057,3.212,1.4294,5.9475,3.0633,0.0837,0.2655,0.2432,1.9536,0.9765,7.687,0.5263,4.3109,1.015,0.4713,0.6411,0.0,1.4679,0.5452,1.8098,0.1931,0.034,1.1093,0.105,0.0,-0.0,-0.4893
DR 12,-25.7587,-7.9146,0.0,1.015,1.5057,0.8367,0.1282,0.4397,0.712,0.0543,0.4686,-0.0,1.2215,0.7864,0.105,1.0567,1.5057,1.1093,-2.0518,0.2655,0.0458,1.5057,1.3798,2.7372,0.194,0.4248,0.067,-0.0,0.0807,0.67,0.6612,-0.0,0.0776,0.7785,0.034,0.1595,0.2846,0.2432,0.142,0.0837
DR 38,-0.1574,-1.015,0.0,-0.0,0.4893,0.2157,0.1282,0.0,1.8378,-0.3996,0.4686,-0.4429,-1.6489,0.5263,-0.2846,0.7505,-1.5057,0.5263,-0.4893,-0.2655,0.0458,-1.9536,0.1719,0.3103,0.194,0.6548,-1.015,0.1574,0.6411,0.0113,0.0426,-0.105,0.0776,1.214,-0.4893,0.1595,0.0,-0.0,-1.5175,0.0
DR 1,-0.0,0.5263,0.2655,-0.0,0.105,0.8367,0.5872,0.0,1.21,0.9398,-22.9881,-1.3052,6.3736,-1.5057,0.105,-0.0,-1.1093,4.3805,1.1093,0.2655,0.5263,-0.7864,-0.0,1.3798,0.5263,-1.3677,1.015,-1.4801,0.6411,0.67,1.9696,0.2846,0.6548,0.1931,-0.2157,0.1595,-0.0,0.0,0.3502,0.4893
