# signature_concentration | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_tum_64 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
signature,axis,primary,n_mapped,effective_n_genes,effective_n_fraction,top_gene,top_gene_share_of_variance,top_gene_share_of_mean_signal,top_gene_detection_rate,top_gene_spearman_with_score,share_top3_of_variance,median_detection_rate,n_genes_below_noise_floor,frac_genes_below_noise_floor,frac_cells_all_zero,gini_of_mean_signal,flags
MP12_EMT_1,emt,True,48,15.0942,0.3145,MGP,0.0988,0.1715,0.8294,0.4865,0.2409,0.1374,0,0.0,0.0101,0.5931,none
MP13_EMT_2,emt,True,50,19.7962,0.3959,LGALS1,0.0856,0.1008,0.692,0.5552,0.2216,0.1445,2,0.04,0.0065,0.5902,none
MP14_EMT_3,emt,True,50,34.2725,0.6854,S100A6,0.055,0.0518,0.844,0.7153,0.1438,0.5051,0,0.0,0.0,0.3758,none
MP15_EMT_4,emt,True,48,12.421,0.2588,CD74,0.151,0.1056,0.6857,0.6077,0.3484,0.1783,3,0.0625,0.0003,0.6236,none
MP16_MES_GLIOMA,emt,True,49,15.6385,0.3192,ANXA1,0.1265,0.0753,0.4653,0.696,0.3615,0.1214,9,0.1837,0.0175,0.6554,none
MP17_INTERFERON_MHC_II_1,immune,True,48,28.2865,0.5893,HLA-B,0.0488,0.0582,0.7194,0.834,0.1344,0.3591,0,0.0,0.0085,0.4283,none
MP18_INTERFERON_MHC_II_2,immune,True,50,25.6071,0.5121,CD74,0.0714,0.0644,0.6857,0.7318,0.2013,0.305,1,0.02,0.0012,0.5176,none
MP19_EPITHELIAL_SENESCENCE,senescence,True,50,23.5356,0.4707,ANXA1,0.0704,0.0587,0.4653,0.5571,0.1989,0.1772,8,0.16,0.0124,0.5634,none
MP20_MYC,metabolic,True,49,32.9197,0.6718,RAN,0.0498,0.0497,0.7,0.4913,0.1429,0.408,0,0.0,0.0022,0.385,none
MP21_RESPIRATION,metabolic,True,47,36.6655,0.7801,ATP5F1E,0.0399,0.0456,0.8191,0.6201,0.1132,0.5761,0,0.0,0.0018,0.2962,none
MP38_GLUTATHIONE,detoxification,True,46,9.5712,0.2081,AZGP1,0.2984,0.2566,0.3433,0.5561,0.5011,0.0291,18,0.3913,0.1915,0.7097,"low_effective_n,undetectable_in_many_cells"
MP39_METAL_RESPONSE,detoxification,True,50,17.8376,0.3568,S100A6,0.1318,0.1492,0.844,0.626,0.3223,0.1736,1,0.02,0.0032,0.5975,none
MP22_SECRETED_1,secreted,True,49,20.7267,0.423,ANXA1,0.1178,0.0985,0.4653,0.5712,0.2858,0.1608,2,0.0408,0.0487,0.5288,none
MP23_SECRETED_2,secreted,True,50,17.4959,0.3499,RARRES1,0.1263,0.0857,0.5345,0.6663,0.2677,0.1035,2,0.04,0.0058,0.6337,none
MP24_CILIA,cilia,True,39,14.7927,0.3793,TUBA1A,0.1445,0.1486,0.4059,0.3571,0.3311,0.0671,7,0.1795,0.1329,0.6083,undetectable_in_many_cells
MP25_ASTROCYTES,neural,False,48,14.7769,0.3079,VIM,0.1174,0.1039,0.6488,0.4986,0.2603,0.1082,5,0.1042,0.0055,0.6816,none
MP26_NPC_GLIOMA,neural,False,49,9.8768,0.2016,STMN1,0.1374,0.1474,0.644,0.4094,0.3885,0.0292,20,0.4082,0.0196,0.7834,low_effective_n
MP27_OLIGO_PROGENITOR,neural,False,47,11.6733,0.2484,APOD,0.2086,0.1665,0.2861,0.4787,0.4229,0.0271,15,0.3191,0.1147,0.7206,undetectable_in_many_cells
MP28_OLIGO_NORMAL,neural,False,46,15.3861,0.3345,S100A1,0.1516,0.1311,0.4224,0.5217,0.3549,0.0985,7,0.1522,0.0634,0.6441,none
MP29_NPC_OPC,neural,False,49,14.4174,0.2942,SOX4,0.145,0.1452,0.4759,0.4682,0.3502,0.0686,6,0.1224,0.1198,0.6346,undetectable_in_many_cells
MP30_PDAC_CLASSICAL,epithelial_lineage,True,50,10.1546,0.2031,CXCL17,0.1389,0.1148,0.2797,0.4994,0.4015,0.0221,22,0.44,0.1886,0.75,undetectable_in_many_cells
MP31_ALVEOLAR,epithelial_lineage,True,47,11.9731,0.2547,SLPI,0.1443,0.1533,0.539,0.5324,0.3777,0.0415,14,0.2979,0.0593,0.7334,none
MP40_PDAC_RELATED,epithelial_lineage,True,50,21.3019,0.426,ANXA1,0.1049,0.0832,0.4653,0.6335,0.2599,0.1373,2,0.04,0.0293,0.5678,none
MP32_SKIN_PIGMENTATION,other_lineage,False,49,14.4698,0.2953,LGALS3,0.1124,0.1719,0.56,0.3327,0.3088,0.0812,8,0.1633,0.0612,0.6277,none
MP33_RBCS,other_lineage,False,48,11.7585,0.245,S100A6,0.1412,0.2181,0.844,0.346,0.2885,0.1204,12,0.25,0.0054,0.7009,none
MP34_PLATELET_ACTIVATION,other_lineage,False,49,13.3592,0.2726,LGALS1,0.1287,0.1148,0.692,0.5185,0.3216,0.0897,14,0.2857,0.0031,0.722,none
MP35_HEMATO_RELATED_1,other_lineage,False,49,10.7589,0.2196,CD74,0.2016,0.1618,0.6857,0.7582,0.4427,0.0308,22,0.449,0.0181,0.7775,none
MP36_IG,other_lineage,False,39,7.9192,0.2031,SELENOM,0.2013,0.2111,0.6432,0.499,0.4608,0.0121,19,0.4872,0.0714,0.7935,low_effective_n
MP37_HEMATO_RELATED_2,other_lineage,False,48,12.93,0.2694,SOX4,0.1628,0.1723,0.4759,0.3672,0.3701,0.0361,15,0.3125,0.1097,0.706,undetectable_in_many_cells
MP41_UNASSIGNED,unassigned,True,41,16.6642,0.4064,MALAT1,0.1793,0.1792,0.7707,0.7414,0.3079,0.2703,3,0.0732,0.0211,0.5023,none
