# dim_signature_spearman | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_tum_32 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP16_MES_GLIOMA,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP24_CILIA,MP25_ASTROCYTES,MP26_NPC_GLIOMA,MP27_OLIGO_PROGENITOR,MP28_OLIGO_NORMAL,MP29_NPC_OPC,MP30_PDAC_CLASSICAL,MP31_ALVEOLAR,MP40_PDAC_RELATED,MP32_SKIN_PIGMENTATION,MP33_RBCS,MP34_PLATELET_ACTIVATION,MP35_HEMATO_RELATED_1,MP36_IG,MP37_HEMATO_RELATED_2,MP41_UNASSIGNED
DR 1,-0.116,0.115,-0.0034,-0.0136,0.045,0.1508,0.1607,0.0766,0.0341,0.1169,-0.4469,-0.0916,0.1767,-0.1932,-0.0003,-0.0963,-0.095,0.2142,0.142,0.1498,-0.0815,-0.1012,0.0661,0.12,-0.1231,-0.252,0.1164,-0.0726,-0.0017,-0.029,0.0434,0.025,0.0771,0.0234,0.0746,0.0597,-0.0508,0.0536,0.014,0.0347
DR 15,-0.0254,-0.0235,-0.0147,-0.0234,-0.0814,0.0655,-0.0996,-0.1216,-0.1741,0.0094,-0.1204,-0.1166,-0.1863,-0.0282,-0.1115,-0.1692,-0.2394,-0.1836,-0.0285,0.0097,-0.0171,-0.145,-0.0922,-0.2364,-0.0157,-0.0947,0.0583,-0.0492,-0.0536,0.0319,-0.1563,-0.1559,-0.192,-0.0272,-0.1246,-0.0813,-0.1088,-0.0449,0.0291,-0.039
DR 16,-0.0549,-0.035,-0.0143,0.057,0.0228,0.0051,0.0389,-0.0031,-0.0377,-0.0229,0.0359,0.133,0.0695,0.1276,0.0856,0.3738,0.1194,0.042,0.0225,-0.0284,-0.0677,-0.0061,0.1081,0.032,-0.0676,-0.0198,-0.0762,-0.0237,-0.0408,-0.0344,-0.0427,-0.0041,0.1114,0.0892,-0.0269,0.0525,0.0989,0.0507,0.0326,-0.0005
DR 2,0.069,-0.2006,-0.1244,-0.0405,-0.1968,-0.0771,-0.0189,-0.1819,-0.1535,-0.1272,-0.054,-0.0858,-0.0718,-0.1164,-0.1089,0.1538,-0.0693,-0.0294,-0.1155,-0.3243,0.035,-0.2247,-0.034,-0.0456,0.0032,-0.1359,-0.1447,-0.014,-0.0864,-0.0999,0.1405,-0.0057,-0.0057,-0.054,-0.1846,-0.1232,-0.0636,-0.083,-0.0185,-0.2303
DR 23,-0.0482,-0.0733,-0.0217,0.0911,-0.0634,0.0293,0.0736,0.2195,0.2996,-0.071,0.0325,-0.025,0.0057,0.2876,-0.0255,0.5611,0.4134,0.1347,-0.0856,-0.136,0.0554,0.0016,0.0313,0.3053,0.0293,0.1364,-0.0572,0.0624,0.0502,0.012,0.17,0.1673,0.099,0.0946,0.0245,0.0428,0.4102,0.1639,0.009,0.0507
DR 27,0.0748,0.1292,0.0732,0.022,-0.0531,-0.4095,0.0291,0.0234,0.0751,0.0098,0.1372,0.0518,-0.0124,0.0711,0.0294,0.0456,0.1383,-0.0193,0.0781,0.1191,0.02,0.0627,0.0067,0.0787,0.0282,0.1124,0.0361,-0.0344,0.0502,0.0229,-0.0119,0.1096,-0.0476,-0.0959,0.0409,0.0513,0.0908,-0.0499,0.0337,0.1082
DR 21,0.1029,-0.0875,0.227,0.0295,-0.1643,-0.0341,-0.0758,-0.2167,-0.1603,-0.0247,-0.1013,-0.2057,-0.2994,-0.0753,-0.1046,-0.0705,-0.1957,-0.3533,-0.0441,-0.2278,-0.0609,-0.1194,-0.1331,-0.2465,-0.0602,-0.0972,-0.0768,-0.0403,-0.1222,0.1622,-0.1642,-0.3034,-0.2707,-0.1973,-0.1856,-0.1688,-0.1687,-0.1501,0.0201,0.1417
DR 9,0.1611,0.1128,-0.2186,-0.8134,-0.0526,-0.3078,0.0967,-0.1617,-0.2226,0.0267,0.0226,-0.0433,-0.0228,-0.2663,-0.1825,-0.0339,-0.0674,-0.1205,0.143,0.0824,0.0423,-0.198,-0.3582,-0.1465,-0.0089,-0.1715,-0.0506,-0.0803,-0.0358,-0.3196,0.0563,0.0047,-0.0554,-0.0201,-0.0763,-0.0173,-0.3646,-0.2528,-0.0857,-0.3747
DR 13,-0.1981,-0.2794,0.3667,0.3232,0.0019,0.2356,-0.1878,0.1686,0.3201,-0.1165,0.0304,0.0205,-0.1025,0.136,0.1212,-0.0136,-0.0289,-0.0019,-0.2524,-0.1775,-0.0371,0.0813,0.1421,0.0579,-0.0459,0.0339,-0.0419,0.0587,0.014,0.359,-0.0658,-0.0399,0.0325,0.0209,-0.0113,-0.0536,0.1248,0.1756,0.11,0.6716
DR 25,0.0696,0.0379,0.0822,-0.0646,-0.1019,-0.0838,-0.0924,0.0333,0.0773,0.0253,0.1659,-0.0533,-0.1881,0.0172,-0.1087,-0.0514,0.012,-0.1883,-0.0058,0.0359,0.101,0.0425,-0.1671,-0.0823,0.0679,0.1268,-0.0124,0.0589,0.086,0.0264,-0.0772,-0.0638,-0.1456,-0.0657,-0.0556,-0.0213,0.0533,0.0329,-0.0865,0.0557
DR 17,-0.1537,-0.1661,0.0135,0.1212,0.5618,0.179,-0.0896,0.1565,0.1218,-0.0695,0.1611,0.1819,0.0976,0.1176,0.1723,0.0076,0.0678,0.1506,-0.1398,-0.0472,0.0012,0.2177,0.1807,0.1482,-0.0489,0.0804,-0.0929,0.0262,0.0809,0.0978,0.0361,0.0701,0.1853,0.0783,0.0528,0.0809,0.0442,0.1294,0.0584,0.0728
DR 31,0.0106,-0.1409,0.035,0.062,-0.2346,0.0291,-0.0002,0.0278,0.0689,-0.0591,-0.0058,-0.1328,-0.0152,0.0236,0.0238,0.023,-0.1811,0.0301,-0.0703,-0.2232,0.0174,-0.4444,0.0718,0.0624,-0.0304,-0.2977,-0.0243,0.0943,0.0207,0.0378,0.0438,0.015,-0.0975,0.0351,-0.0497,0.0076,0.0228,0.0643,0.0077,0.0681
DR 22,-0.0051,-0.0055,-0.04,0.0066,-0.021,-0.0206,-0.0704,-0.165,-0.2516,-0.0083,-0.1535,-0.0832,0.1054,-0.2008,-0.0245,-0.1542,-0.1968,0.118,-0.0639,0.0287,-0.1034,-0.0494,0.0552,0.024,-0.0763,-0.1763,0.0611,-0.0759,-0.0207,0.0004,0.2035,-0.0293,0.062,-0.0925,0.0068,-0.1025,-0.1481,-0.1033,0.0343,-0.1078
DR 29,-0.0477,-0.0403,-0.0461,0.0319,-0.0046,-0.0226,0.0041,0.0213,0.0395,-0.1235,0.0417,0.0534,0.096,0.1599,-0.0137,0.4741,0.2565,0.0515,-0.0815,-0.0148,0.009,0.0488,-0.0032,0.098,0.0214,0.1225,-0.0187,-0.0124,0.0293,-0.0193,0.1314,0.0767,0.1535,0.1109,0.0057,0.0536,0.1356,0.0566,0.0135,-0.0257
DR 26,-0.0001,0.0521,-0.0428,-0.0569,-0.0092,0.0138,0.0519,-0.0092,-0.0595,0.0615,-0.1775,-0.0303,0.0717,-0.0623,-0.0035,-0.097,-0.1449,0.1439,0.1085,-0.0104,-0.0117,-0.1474,-0.0126,0.0597,-0.0224,-0.1107,0.0823,0.0309,-0.0546,-0.0461,-0.0902,0.085,-0.0378,-0.0607,-0.1257,0.0427,-0.0765,-0.0409,0.0334,-0.0812
DR 4,0.0127,0.0097,-0.0551,-0.0676,0.1498,0.0309,-0.0061,-0.1611,-0.2801,0.0906,0.1249,0.2874,0.095,-0.0734,0.2653,-0.0997,-0.1133,-0.1077,0.1446,0.0562,-0.1784,0.0829,0.2022,-0.3586,-0.0464,-0.1387,-0.0289,-0.1168,-0.1263,-0.1134,-0.1911,-0.1543,0.0733,-0.0185,-0.0554,0.0175,-0.1365,-0.0711,0.012,-0.1214
DR 32,-0.054,0.0502,0.2571,0.3426,0.0566,0.083,-0.0494,0.2164,0.3103,0.0469,0.1182,0.0002,-0.0964,0.2822,0.0487,0.115,0.1816,-0.0514,-0.0353,0.0811,0.0043,0.2221,0.076,0.0892,0.0281,0.3046,0.0536,0.0776,0.0439,0.2258,-0.1137,0.0016,-0.0731,-0.0149,0.0958,0.0454,0.2865,0.1523,0.0648,0.4295
DR 24,-0.2572,-0.3757,-0.0078,0.2054,0.0739,0.1513,-0.0636,0.1783,0.2993,-0.1579,0.0921,-0.019,-0.0002,0.2939,0.0475,0.2316,0.1842,0.2124,-0.2718,-0.195,0.1031,0.0101,0.0886,0.3621,0.012,0.2069,-0.169,0.1015,0.1709,0.1546,0.2474,0.1841,0.1389,0.2467,0.073,0.0573,0.2356,0.201,0.129,0.1383
DR 6,-0.0945,-0.0709,0.071,-0.0636,-0.1907,-0.0743,-0.4397,-0.1336,-0.1582,-0.1057,-0.012,-0.0314,-0.0088,-0.0328,-0.1787,-0.01,-0.0725,0.0383,-0.2009,0.2565,-0.0048,-0.0054,-0.0933,0.0263,-0.0843,-0.0527,-0.0262,-0.0966,0.0449,0.0571,0.1691,0.1122,0.0671,0.0903,-0.031,-0.1095,0.0473,0.0302,0.0045,0.0288
DR 14,0.0093,0.0823,-0.0368,-0.1438,0.1473,-0.0314,0.0416,-0.0554,-0.1072,0.1205,0.292,0.3542,0.1359,-0.0741,0.2522,-0.1929,-0.0415,-0.0702,0.1646,0.07,-0.0292,0.0523,-0.0094,-0.2374,0.059,0.0337,0.0638,0.0058,0.0319,-0.1203,-0.2931,-0.1284,0.0078,-0.0624,-0.0001,0.2535,-0.1207,-0.0758,-0.0555,-0.0817
DR 12,-0.0921,0.0311,-0.0885,-0.1766,0.0979,-0.0034,0.1348,0.2353,0.354,-0.0432,0.2844,-0.0023,0.0622,0.1244,-0.0306,0.0988,0.29,0.0592,-0.0441,0.1304,0.1801,0.1113,-0.2267,0.1633,0.128,0.2776,0.0487,0.1937,0.3464,-0.051,0.1335,0.2252,0.0054,0.1998,0.1285,0.1848,0.1565,0.1511,-0.0521,-0.011
DR 20,0.1844,0.1467,0.0203,-0.0676,-0.1516,-0.0163,0.0744,-0.1889,-0.3055,0.1781,-0.2427,-0.1257,-0.1263,-0.346,-0.0907,-0.3232,-0.366,-0.3237,0.2131,-0.0085,-0.119,-0.1526,-0.1059,-0.4579,-0.0588,-0.2923,0.0996,-0.0467,-0.1561,-0.0468,-0.2278,-0.3776,-0.2484,-0.2422,-0.1065,-0.1755,-0.2554,-0.1993,-0.0641,-0.077
