# dim_geneset_signed_significance | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_tum_32 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP16_MES_GLIOMA,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP24_CILIA,MP25_ASTROCYTES,MP26_NPC_GLIOMA,MP27_OLIGO_PROGENITOR,MP28_OLIGO_NORMAL,MP29_NPC_OPC,MP30_PDAC_CLASSICAL,MP31_ALVEOLAR,MP40_PDAC_RELATED,MP32_SKIN_PIGMENTATION,MP33_RBCS,MP34_PLATELET_ACTIVATION,MP35_HEMATO_RELATED_1,MP36_IG,MP37_HEMATO_RELATED_2,MP41_UNASSIGNED
DR 1,-0.0,0.0993,0.0,-0.0,0.6812,1.1084,2.8123,0.0,-0.0,0.7643,-32.1732,-0.7109,1.9295,-4.2313,-0.0,0.0213,-0.9826,0.8494,2.0985,2.0985,-0.075,-0.3093,0.2686,0.1629,-0.0,-0.7192,0.0571,-0.5606,0.1908,0.0075,0.462,-0.3822,0.5814,-0.0,0.1908,0.1629,-0.0571,-0.0,0.3093,0.0
DR 15,-0.0,0.0,0.0,-0.0,-0.0,0.1039,-0.5606,-0.075,-5.5116,0.7643,-0.6812,-5.87,-6.2868,2.2524,-2.2774,-1.5159,-3.5014,-3.3736,0.0372,1.1065,1.3331,-1.2217,-0.8244,-5.1529,0.0571,-0.7192,-0.0,0.0,0.8887,0.3436,-1.2401,-1.7843,-1.2963,0.2185,0.0037,-0.4288,-0.5116,-0.0,0.0857,0.0
DR 16,0.0,-0.0993,0.0,4.2854,-0.0,0.1039,-1.8671,0.075,-0.6059,0.0,-0.0,1.0387,0.3953,1.2963,-0.3436,27.5129,3.5014,0.5575,-1.1065,-0.4288,-0.3436,0.1296,3.5753,1.1799,0.0,-0.2105,-0.3093,-0.1741,-0.8887,0.0,-4.7742,-0.7387,0.3377,0.5526,-0.0037,0.1629,0.8647,-0.0,-0.0,0.0
DR 2,0.0,0.0,0.0,-3.613,-1.0216,-0.1039,0.0,-0.5606,0.0372,-0.273,0.0,-0.0,-1.0216,-0.0111,-0.6812,0.0,-0.2107,-0.0075,-0.4288,-1.1065,0.0,-0.8494,-1.7049,-0.8364,-0.0,-0.7192,0.0,0.0,-0.1908,0.0075,-0.0,-0.0,-0.3377,-0.2185,0.1908,0.4288,3.2739,-0.0075,0.3093,-0.0
DR 23,0.0,0.0,0.0,0.7879,-0.6812,0.6812,0.1741,1.3878,3.3315,-0.7643,0.0952,-0.2369,1.0216,1.2963,-0.6812,19.8009,5.67,2.7242,0.0,-1.1065,0.7643,-0.1296,0.0853,7.5946,-0.0571,0.2105,-1.2059,0.5606,1.44,0.0075,1.7746,1.7843,0.5814,0.2185,0.0037,-0.8111,1.8857,0.1629,-0.6111,0.0
DR 27,-0.0,0.0993,0.0,-0.3093,0.1908,-14.8008,-0.1741,-1.3878,-1.0886,-0.0,0.9644,0.4328,-1.0216,0.3377,0.6812,0.1399,1.8013,1.6691,1.1065,2.0985,0.7643,0.5575,-0.0,3.1194,0.3093,1.0886,0.3093,-0.1741,0.1908,0.0075,0.462,1.7843,-0.8923,-0.5526,-0.0,-0.0,0.5116,0.0,-0.0,0.0
DR 21,0.2791,0.0,0.5606,-0.0213,-0.1908,0.1039,-0.0,0.0,-0.6059,-0.0,-0.0,-0.7109,-3.8158,0.0111,-2.2774,0.0213,-0.2107,-14.1426,0.4288,0.0,-0.075,-0.1296,-1.7049,-2.5246,-0.6812,-0.2105,-0.3093,0.0,-0.8887,0.3436,-1.7746,-3.2655,-6.6955,-1.5514,-0.1908,-0.0,-0.5116,-0.0,0.0857,-0.0
DR 9,0.7983,0.0993,0.0,-39.1668,-1.4471,-3.0609,0.1741,0.075,-0.6059,0.273,-0.0,-0.0,-0.3953,-1.2963,-0.3436,-0.0,-0.2107,-0.1296,2.0985,3.5194,-0.0,-1.2217,-9.1772,-0.1629,0.3093,-0.2105,0.3093,-0.0,-0.1908,-0.8978,-0.0,-0.0,-0.0,0.0,-0.1908,0.4288,-0.0571,-0.1629,-0.0,-0.2115
DR 13,-0.5116,-2.2524,0.5606,0.3093,-0.0396,-0.1039,-1.8671,0.0,0.0372,-2.4224,-0.0,-0.2369,-1.9295,-0.0111,-0.3436,-0.1399,-0.6777,-1.2217,-2.0985,-3.5194,0.0,-0.0,-0.0,-0.0,-0.3093,-0.4288,-0.6812,-0.1741,-0.8887,0.3436,-0.462,-0.1297,-0.1504,-0.0083,-0.1908,-0.4288,-0.0571,-0.0,-0.3093,2.0985
DR 25,-0.0,-0.0,0.0,-2.4304,-1.0216,-0.6812,-1.8671,0.075,-0.2686,0.273,-0.0,-1.8858,-6.2868,-0.3377,-2.2774,-1.5159,-0.9826,-6.4899,0.4288,0.0372,-0.3436,-0.5575,-2.2346,-0.8364,0.6812,-0.0,-0.0571,0.0,-0.1908,-0.0075,-0.2105,-0.0,-2.2524,-0.5526,-0.0037,-0.1629,-0.0571,13.6404,-0.6111,0.0
DR 17,0.0,-0.408,0.0,6.5398,30.3838,3.9125,-1.8671,1.3878,0.2686,-0.273,1.3221,5.0683,1.9295,0.3377,2.2774,-0.0,0.4081,1.2217,-1.1065,0.0372,-0.0,8.3727,7.0288,-0.0,-0.3093,0.7192,-1.8652,-0.1741,0.1908,0.0075,0.0,-0.0,2.2524,0.2185,0.1908,-0.0,0.0571,0.0075,0.3093,0.0
DR 31,0.2791,-0.0993,0.0,-0.0213,-0.6812,-0.3436,0.1741,-0.075,0.6059,-0.0,0.2403,-0.0,-1.4471,-0.0111,-0.1039,0.3093,-0.9826,0.1296,-0.0372,-2.0985,-0.3436,-3.3736,-0.0,0.1629,-0.3093,-0.4288,-0.6812,0.1741,0.8887,-0.0075,-0.462,0.3822,-0.0,0.0083,0.1908,0.8111,-0.0,-0.0,-0.6111,0.0
DR 22,-0.0,-0.0,0.0,0.5254,0.3953,0.6812,0.1741,0.0,-0.0372,0.273,-0.0,0.0853,2.4635,1.2963,0.6812,-0.3093,-0.9826,4.061,0.0,0.0,-0.7643,0.8494,1.2217,1.5801,-0.6812,-1.5272,0.3093,0.1741,0.4835,0.3436,1.2401,0.3822,0.3377,-0.5526,-0.1908,-0.8111,-0.0571,-0.0,1.0247,0.0
DR 29,0.0,-0.0993,0.0,0.3093,-0.6812,-0.6812,-0.5606,0.075,0.0372,-1.493,-0.0,0.4328,0.3953,0.1504,-0.1039,19.8009,0.6777,1.2217,-0.4288,-1.1065,-0.075,-0.0,1.2217,0.5606,-0.0,-0.0,-0.3093,0.0,-0.1908,0.0075,0.2105,0.1297,1.7473,0.0083,-0.0,-0.1629,0.0571,-0.0,-0.0,0.0
DR 26,0.0,-0.0,0.0,-0.0213,-0.0,0.1039,0.1741,-0.075,0.2686,0.7643,-0.0,0.2369,1.9295,0.0111,0.1039,-0.0,0.2107,1.2217,1.1065,-0.4288,1.3331,-0.3093,-0.0,0.3316,0.3093,0.0571,0.6812,0.1741,0.4835,-0.0075,-0.462,0.3822,0.0111,-0.5526,-3.7362,0.4288,-0.2382,-0.0,-0.3093,0.0
DR 4,0.0,0.0,0.075,-3.613,3.1194,3.0609,0.5606,-0.5606,-0.6059,-0.0,0.4288,8.5642,7.182,-0.8923,7.0455,0.0,-0.4081,-2.7242,1.1065,0.4288,-0.7643,2.7242,12.9274,-6.7141,0.0,-1.0886,0.6812,-0.0,-0.8887,-0.3436,-4.7742,-1.2106,2.2524,0.2185,0.4835,0.1629,0.5116,-0.0,-0.0857,-0.0
DR 32,-0.0,0.408,0.075,0.3093,-0.0,-0.6812,0.0,0.0,0.2686,-0.273,-0.0952,-0.0,0.3953,1.2963,0.3436,0.5254,2.8623,-0.5575,0.4288,-0.4288,0.7643,1.6691,-0.0,0.8364,-0.0571,-1.5272,-1.2059,-0.5606,0.8887,0.0,-2.3639,-0.1297,-0.0,0.2185,0.0037,0.0,-0.5116,0.0,-0.0,-0.0
DR 24,-3.9125,-3.2128,0.0,-0.0,0.0396,0.3436,-1.1084,0.075,3.3315,-1.493,0.0952,-0.0,-0.3953,0.8923,-0.0,0.0213,1.8013,0.8494,-0.4288,-3.5194,0.3436,-0.3093,0.0,5.9239,-0.6812,0.7192,-0.6812,0.0,0.8887,0.0075,2.3639,1.2106,-0.0,0.9819,0.0037,0.1629,-0.0,-0.0,0.3093,0.0
DR 6,-1.5818,-0.8581,0.0,-0.0213,-1.9295,-1.6691,-7.1499,0.5606,-1.0886,0.7643,-0.0,-0.7109,4.5908,-0.0,-1.1084,-0.5254,0.9826,0.5575,-1.1065,2.0985,0.3436,-0.3093,-1.2217,0.8364,0.3093,0.2105,-1.8652,-0.5606,0.8887,0.0075,0.8071,0.7387,0.3377,0.5526,-0.1908,-0.0,0.0571,0.0,-0.3093,0.0
DR 14,-0.5116,0.0993,-0.075,-3.01,1.0216,-0.3436,0.1741,-0.5606,-0.6059,0.7643,5.2456,14.1426,3.1194,0.5814,3.0609,-0.0213,0.6777,0.5575,0.4288,0.4288,0.7643,2.7242,-0.5098,-2.0368,0.6812,0.7192,1.8652,0.0,0.4835,-0.8978,-3.0938,0.3822,2.2524,-0.0,0.0,1.3159,-0.0571,0.0,-0.0857,0.0
DR 12,0.0,0.0,0.0,-13.4952,-0.3953,-0.6812,0.5606,0.075,5.5116,-0.273,0.4288,-1.8858,-0.6812,0.3377,-1.1084,0.1399,2.8623,-0.1296,-0.0372,2.0985,0.7643,0.3093,-17.3035,0.5606,0.0571,1.0886,-0.0,0.1741,5.8844,-0.0075,0.462,3.2655,-0.5814,3.072,0.0037,0.4288,0.0571,0.0,-0.0,0.0
DR 20,2.0722,1.493,0.0,-0.0,0.0396,1.6691,1.8671,0.075,-1.7049,2.4224,-0.2403,-0.7109,-1.4471,-2.2524,0.0,-6.5398,-8.3064,-4.8234,3.5194,0.4288,-2.0494,0.1296,-1.7049,-12.6984,0.0571,-0.2105,3.6127,0.5606,-0.4835,0.0075,-3.8911,-5.1686,-0.8923,-0.2185,0.0037,-0.0,-1.3355,-0.0,0.3093,0.0
