# dim_geneset_signed_significance | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP1_CELL_CYCLE_G2_M,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2
DR 54,-0.0,-0.0,-0.466,0.0,0.5248,-0.5199,-0.1919,0.4912,1.1075,4.3851,0.6647,1.7652,3.3156,2.0417,15.7895,9.0851,0.5248,0.3143,0.1162,4.6872,1.5267,3.549
DR 56,-0.0485,-0.0,-0.9207,0.0,2.5667,0.5199,0.4912,0.4912,0.2562,4.3851,0.9754,0.2341,-5.6268,0.1417,-0.2341,-1.2026,-1.1481,-1.5419,-0.5844,-0.8508,0.6647,0.8072
DR 63,0.0485,0.0662,0.9207,0.0,-0.0,0.8148,-0.1919,-0.075,0.0,0.6426,0.2652,-0.2341,2.0893,-1.1481,7.1726,7.1726,1.5571,1.5419,-0.1162,-2.1333,0.0485,1.1269
DR 40,0.0485,0.6601,1.5419,0.0,-3.1707,0.5199,9.3853,2.1389,1.1075,2.503,-0.0,-0.0088,1.1411,-0.3081,0.9852,0.0485,0.808,0.8133,0.1162,0.0485,-0.3987,-0.1602
DR 38,-0.0,-0.0662,-0.466,-0.1602,-0.0467,0.5199,-0.4912,-0.4912,0.0,0.6426,-0.1266,1.7652,2.6638,0.5248,1.3582,1.2026,17.118,-0.8133,-0.1162,-1.6268,1.5267,5.5951
DR 58,-0.0,0.0,-0.9207,0.0,0.3081,0.5199,-0.4912,0.4912,0.0,-0.6426,0.4643,0.4374,-4.7857,-0.3081,1.3582,-6.2903,2.0417,-2.503,-2.6777,-1.6268,0.0485,1.1269
DR 10,-43.6257,-17.8188,-3.2743,-0.1602,0.1417,1.6436,0.1919,-0.4912,0.0,1.1411,-0.0,-0.4374,0.769,0.3081,0.4374,1.6268,1.1481,-0.8133,-0.1162,0.1517,-0.0,0.1602
DR 51,-0.0,-0.0,-0.9207,0.0,0.1417,0.5199,-0.4912,0.075,0.2562,1.7396,-0.2652,-0.0987,-4.0403,1.5571,4.7602,2.1333,3.817,-0.8133,-0.5844,-0.8508,0.0485,7.1786
DR 3,-0.0,-0.0,1.5419,0.0,-6.0804,2.1698,1.3632,0.4912,0.2562,1.7396,1.3167,3.4114,8.494,-0.808,3.4114,1.2026,-2.0417,3.7421,1.4421,1.2026,-2.6682,-8.0675
DR 12,-0.0,0.0,0.466,0.0,-0.0,0.5199,0.4912,0.075,0.0,0.3081,0.1266,0.0088,4.7857,0.5248,0.0088,0.8508,0.808,0.8133,0.1162,0.8508,0.0485,0.5248
DR 60,-0.0,0.0,0.466,0.0,-0.0,0.5199,-0.4912,0.4912,-0.2562,-0.3081,2.1394,0.2341,-5.6268,0.808,6.3167,6.2903,-1.5571,1.5419,0.5844,2.1333,-0.0,0.5248
DR 9,-0.0,0.0,0.466,0.0,-0.0,0.8148,0.8562,0.4912,-0.2562,0.3081,1.3167,-2.2563,-10.7324,5.2889,0.4374,2.6682,-21.5103,1.5419,0.1162,1.6268,-2.6682,-2.9399
DR 62,-0.0,0.0,-0.466,0.0,-0.3081,0.2747,0.0,-0.075,0.0,-1.1411,-0.2652,0.2341,-4.7857,0.808,-8.9994,-10.1254,-2.5667,-0.8133,0.1162,-1.2026,0.0,-1.4994
DR 61,-0.0,0.0,0.466,0.0,-1.5571,-0.5199,-0.0464,0.4912,-0.2562,-0.6426,0.4643,-0.2341,-7.4786,-0.5248,-0.9852,-2.1333,-0.808,0.8133,0.5844,-1.6268,-0.3987,-0.1602
DR 57,-0.0,-0.0,0.1417,0.0,-0.0,0.1148,-0.0464,0.075,0.0,-0.3081,0.2652,0.0987,-3.3156,0.3081,-3.4114,-2.6682,-1.1481,1.5419,0.1162,0.3288,-0.0,-0.3288
DR 19,36.8007,11.1469,5.6409,0.1602,-0.3081,0.5199,0.4912,1.1481,0.2562,-0.6426,-0.1266,0.0987,-1.1411,-0.5248,0.0987,-0.3288,-2.0417,2.503,1.4421,0.5379,-0.0485,-0.3288
DR 23,1.4421,1.4288,1.5419,0.0,2.0417,-2.7769,1.3632,-0.4912,0.2562,0.3081,-8.2744,-7.1726,-9.575,0.3081,-0.0088,-2.1333,1.5571,-0.3143,-0.5844,-4.6872,-1.0673,1.9327
DR 27,1.4421,1.0135,4.3792,-0.7892,-2.5667,-2.1698,-1.3632,0.4912,-0.2562,-0.6426,0.1266,-0.4374,3.3156,0.3081,1.7652,2.1333,0.1417,3.7421,2.6777,0.8508,-0.0485,-0.0
DR 15,-0.0485,1.4288,2.3007,-0.1602,-32.9026,-1.199,-4.4829,-0.4912,-0.2562,-1.1411,-0.0,-0.4374,-1.1411,-0.5248,0.6601,-0.5379,-0.808,2.503,1.4421,-2.6682,-12.9668,-1.1269
DR 34,-0.0,0.0662,0.9207,0.0,-3.817,1.199,-1.9889,0.075,-1.1075,-0.6426,0.0467,-0.6601,-1.1411,-1.5571,-19.7845,-2.1333,-1.5571,0.8133,0.1162,0.5379,0.3987,-1.1269
DR 5,-0.0,-0.0,0.1417,-0.1602,-0.0467,-0.2747,0.8562,0.4912,1.1075,0.6426,-8.2744,-4.073,6.5344,-6.0804,-0.0,-1.2026,2.5667,0.8133,0.1162,-1.2026,0.1602,0.8072
DR 50,0.3081,0.4112,-0.9207,0.1602,0.3081,0.5199,0.8562,-0.4912,-0.2562,1.7396,1.3167,0.4374,3.3156,0.808,0.0987,3.3003,-0.5248,-1.5419,0.1162,1.6268,-0.3987,-0.3288
DR 29,-0.0,-0.0,0.1417,0.1602,-0.808,-4.1928,0.8562,-0.4912,-0.2562,-5.5277,-9.1691,2.7982,13.2067,-2.5667,-0.2341,-5.4674,6.0804,0.0458,0.1162,-5.4674,0.3987,0.5248
DR 36,-0.0,-0.0,0.466,0.0,-0.0,1.6436,0.0464,0.075,0.0,-1.7396,0.6647,0.6601,6.5344,0.5248,2.2563,3.3003,-0.808,1.5419,0.5844,1.2026,-0.0,-1.4994
DR 46,-0.0,0.2043,-0.9207,0.1602,14.4906,8.8169,1.3632,0.4912,0.2562,1.1411,0.1266,0.6601,1.5657,0.808,-0.6601,-1.2026,0.3081,-0.8133,-2.6777,3.9734,1.5267,-0.3288
DR 28,-0.0,0.0,0.466,0.0,-0.0467,-1.6436,2.6815,-0.075,0.2562,-0.6426,-0.0,0.6601,8.494,-0.5248,-0.0987,-0.5379,5.2889,-1.5419,-0.1162,0.5379,0.1602,-1.4994
DR 48,-0.0,-0.0,0.1417,0.0,0.0467,-0.8148,0.8562,0.4912,-0.2562,-2.503,-0.6647,-4.073,2.0893,-1.1481,-4.7602,-8.092,-6.0804,0.8133,0.1162,-1.2026,-2.0679,-10.9072
DR 52,-0.0,0.0662,0.466,0.0,-8.8169,0.5199,-1.9889,0.4912,-0.2562,0.3081,-0.0,-4.073,4.0403,-1.5571,-2.2563,-0.5379,-1.1481,0.8133,1.4421,1.2026,-12.9668,-4.1837
DR 18,-2.3063,-6.9775,-5.6409,0.1602,1.1481,1.6436,2.6815,-1.1481,0.0,4.3851,1.3167,2.2563,1.5657,3.1707,2.2563,2.6682,4.5164,-5.3465,-1.4421,0.5379,0.0485,5.5951
DR 43,-0.0,-0.0,2.3007,0.0,-1.1481,0.1148,0.1919,0.4912,0.2562,1.7396,-0.1266,-5.5269,-6.5344,0.5248,4.7602,2.1333,-6.9602,2.503,0.5844,-3.9734,-2.0679,0.3288
DR 33,-0.0,-0.0,0.1417,-0.1602,-3.817,2.1698,-0.8562,-0.4912,-0.2562,1.7396,0.9754,-4.073,-9.575,1.1481,1.3582,2.1333,-2.5667,0.3143,0.1162,-3.3003,-5.8944,-1.1269
DR 55,-16.2755,-6.9775,-4.3792,-0.1602,-1.1481,1.199,0.4912,2.1389,0.2562,0.3081,0.1266,0.4374,3.3156,0.808,1.3582,1.6268,0.808,2.503,-0.1162,0.5379,0.0485,0.3288
DR 1,0.0,0.0,0.0,0.0,10.9072,-1.199,2.6815,0.4912,0.2562,2.503,-0.4643,-8.9994,-7.4786,0.5248,-10.0018,-3.3003,-10.9072,-0.3143,-0.1162,-2.6682,2.0679,-1.9327
DR 17,0.3081,1.0135,1.5419,0.0,-1.1481,-25.7133,-5.5304,-0.4912,-1.1075,-1.1411,-1.6964,-7.1726,-5.6268,-0.5248,4.073,2.1333,-2.5667,1.5419,1.4421,-11.2306,-6.9115,-0.5248
DR 53,-0.0,0.0,-0.9207,0.0,0.0,1.199,-0.1919,0.4912,0.2562,-1.7396,0.9754,3.4114,11.9403,-0.808,0.2341,2.6682,2.0417,-1.5419,0.5844,3.3003,-0.6647,-0.1602
DR 8,-1.8476,-1.0135,-1.5419,-0.1602,0.1417,2.1698,0.1919,0.4912,-0.2562,0.072,0.2652,-0.2341,-4.0403,0.808,-4.073,-1.2026,-0.808,1.5419,-1.4421,-1.2026,0.0485,-0.1602
DR 45,-0.0,-0.0,0.466,0.0,-0.0,0.0055,0.4912,0.4912,0.0,0.3081,-0.2652,-2.2563,4.7857,-0.5248,-1.7652,-1.6268,1.1481,1.5419,0.5844,1.6268,-0.1602,-0.3288
DR 25,-0.0485,-0.2043,0.466,0.0,-2.0417,-1.6436,-4.4829,0.4912,0.2562,-3.3778,1.3167,19.7845,10.7324,-0.808,-1.3582,1.2026,1.5571,0.8133,0.5844,2.6682,3.3778,-0.8072
DR 44,0.1488,0.0662,2.3007,0.0,0.3081,-0.8148,-0.4912,0.075,-0.2562,-0.6426,0.4643,1.7652,-1.1411,0.1417,0.0987,0.5379,-1.1481,-1.5419,0.1162,3.9734,0.0485,-0.3288
DR 49,0.0485,-0.0,0.466,0.0,2.5667,-1.199,1.9889,-0.4912,0.2562,-1.7396,-0.4643,0.0088,1.1411,-1.5571,-0.6601,-0.5379,-0.0467,-0.8133,0.5844,0.3288,0.1602,-0.0
DR 14,-0.0,0.0,0.466,0.0,0.0467,0.8148,0.1919,0.4912,-0.2562,-2.503,-0.9754,0.9852,-4.0403,-0.5248,2.7982,1.6268,0.5248,0.8133,0.1162,-0.5379,0.1602,0.3288
DR 4,-0.0485,-0.0662,-0.9207,0.0,-0.0467,-0.5199,-0.4912,-0.075,0.0,-0.6426,-0.0,0.0987,-1.1411,-0.5248,1.3582,1.6268,-0.3081,-0.8133,-0.1162,-0.8508,0.1602,0.0485
DR 6,0.3081,0.6601,0.9207,-0.7892,-0.1417,-0.2747,1.3632,1.1481,0.2562,0.072,-0.6647,-0.6601,5.6268,0.1417,2.2563,1.2026,0.3081,2.503,0.5844,1.2026,-0.3987,0.0
DR 42,0.0,0.0,-0.9207,0.0,0.0467,-0.2747,-0.8562,0.4912,0.0,0.3081,0.6647,1.3582,5.6268,0.808,0.4374,3.3003,5.2889,-1.5419,-0.5844,1.6268,2.6682,7.1786
DR 16,0.0,0.0,-0.9207,0.0,0.0,-0.1148,-0.4912,-0.075,0.0,-0.072,12.1232,0.9852,-2.6638,1.1481,-0.0088,-0.3288,-0.5248,-1.5419,0.1162,1.2026,-0.0,-0.1602
DR 35,0.0485,1.8891,0.466,0.0,-6.9602,-1.6436,-6.6978,0.4912,-1.1075,-2.503,-0.0,-6.3167,-5.6268,0.5248,2.7982,2.1333,-6.9602,0.3143,0.0,-2.1333,-17.7448,1.1269
DR 32,-0.0,-0.0,-0.466,0.0,0.0467,1.6436,0.8562,-1.1481,0.2562,0.6426,-0.6647,-0.9852,-8.494,0.1417,-0.2341,-2.1333,-1.1481,-1.5419,-0.5844,-2.1333,-0.0485,1.1269
DR 24,-0.0,-0.0,0.1417,0.0,-0.3081,0.2747,0.4912,-0.075,-0.2562,0.6426,-0.2652,-4.073,-3.3156,-2.0417,-22.7814,-4.6872,-2.0417,0.0458,0.1162,1.6268,-2.6682,-1.9327
DR 21,-0.0485,-0.6601,0.466,0.0,1.1481,1.6436,0.1919,-0.4912,-0.2562,-3.3778,0.4643,1.3582,-2.0893,-0.1417,-0.0987,-0.5379,-5.2889,1.5419,0.1162,2.1333,0.3987,-8.0675
DR 31,-0.0,-0.0,0.466,0.0,-0.5248,0.8148,0.4912,-0.4912,0.0,0.3081,0.6647,-0.4374,3.3156,0.3081,0.2341,1.6268,-1.5571,-2.503,-0.5844,1.2026,-1.0673,-0.8072
DR 59,-0.0,-0.6601,-1.5419,0.0,4.5164,-0.8148,-0.4912,-0.4912,0.0,-0.3081,-0.0467,0.0088,-4.7857,-1.1481,-2.2563,-2.6682,1.1481,-2.503,-0.5844,-0.8508,4.1572,0.5248
DR 47,-0.0,-0.2043,-1.5419,0.0,-0.0,-4.1928,0.0464,0.075,0.0,-0.3081,-2.6566,-2.2563,-6.5344,0.1417,0.2341,-0.8508,0.808,-2.503,0.5844,-0.8508,-0.3987,-0.5248
DR 20,-0.0,-0.0,0.466,0.0,7.8667,-0.2747,0.8562,0.4912,0.0,-0.6426,-0.1266,0.6601,5.6268,-0.3081,-0.6601,-3.3003,2.0417,0.8133,0.5844,-1.2026,2.0679,4.1837
DR 13,-0.0485,-0.0,-0.0,0.0,-7.8667,-0.8148,-5.5304,-2.1389,-1.1075,-0.3081,2.6566,-1.3582,-5.6268,1.1481,-0.9852,3.3003,-6.0804,0.3143,0.1162,4.6872,-4.9828,-0.5248
