# dim_signature_spearman | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP1_CELL_CYCLE_G2_M,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2
DR 43,0.0554,0.0433,0.106,0.0326,-0.0423,-0.0763,0.0118,0.0363,0.1107,0.1303,-0.0707,-0.2071,-0.2155,0.0393,0.0804,0.0073,-0.2359,0.0379,0.0549,-0.1158,-0.1243,0.0022
DR 33,0.0637,0.0639,0.099,-0.1085,-0.1321,-0.0151,-0.1187,0.0029,-0.0721,-0.061,-0.0204,-0.1297,-0.1797,0.0053,0.0629,0.0258,-0.2061,0.0343,0.1431,-0.0136,-0.2846,-0.1235
DR 55,-0.2292,-0.1496,-0.0198,-0.0781,-0.0145,0.1347,0.0561,0.1804,0.1332,0.1732,0.0625,0.0643,0.1444,0.0936,0.0779,0.1414,0.1149,0.0756,-0.0068,0.0393,0.0508,0.1119
DR 1,-0.2036,-0.1351,-0.253,0.0813,0.3186,-0.2961,0.2199,-0.2444,-0.1116,0.0992,-0.0575,-0.2125,-0.301,0.1382,-0.0057,-0.0398,-0.1431,-0.2441,-0.1818,-0.1345,0.104,0.0787
DR 17,0.0477,0.0458,0.0768,0.0,0.0005,-0.536,-0.0869,0.0111,-0.1216,-0.0333,-0.1682,-0.2218,-0.118,-0.0066,0.0733,-0.0167,-0.0904,0.0467,0.0271,-0.2341,-0.0982,-0.0314
DR 53,-0.0852,-0.0956,0.0145,-0.0549,-0.0412,0.1274,-0.0709,-0.0898,-0.1164,-0.1397,0.079,0.2028,0.3359,-0.0404,-0.0127,0.1202,0.1032,-0.0512,0.221,0.2605,-0.0312,-0.0078
DR 8,-0.0956,-0.0359,-0.1084,0.0799,0.2292,0.0902,0.1528,0.0491,0.1544,0.2044,0.0979,0.0779,-0.0501,0.1613,-0.0966,-0.0143,0.0442,-0.0237,-0.2614,-0.0203,0.203,0.0665
DR 45,-0.0585,-0.053,0.0024,0.0304,0.0948,0.1065,0.0833,0.0286,0.0777,0.0993,0.0481,0.038,0.028,-0.0135,-0.0916,-0.0022,0.0694,-0.0104,0.0255,0.0815,0.0878,0.0028
DR 25,0.0368,0.0386,0.1294,-0.0493,-0.1349,0.1376,-0.1243,-0.0128,-0.0974,-0.2472,0.0942,0.3403,0.356,-0.1606,-0.1134,-0.0386,0.0769,0.1786,0.1856,0.1466,0.1347,-0.1467
DR 44,0.0162,-0.0036,0.1337,-0.0304,-0.0268,0.2328,-0.0057,-0.0391,-0.0616,-0.0845,-0.0055,0.1263,-0.016,-0.0242,-0.0128,0.153,-0.0389,0.0562,0.2038,0.4052,-0.0351,-0.0586
DR 49,-0.0094,-0.0561,-0.0272,-0.0063,0.0203,-0.0662,0.0161,-0.0544,-0.058,-0.0806,-0.0135,-0.0334,-0.0445,-0.0185,-0.0099,-0.0389,-0.0663,-0.0531,0.0171,-0.0143,-0.0119,-0.0702
DR 14,-0.1308,-0.0894,-0.2144,0.0394,0.1913,-0.0112,0.1664,-0.0832,-0.0725,0.0306,-0.0597,-0.017,-0.0703,0.0608,0.0698,0.0358,0.0371,-0.145,-0.2366,-0.0118,0.1995,0.069
DR 4,-0.0154,0.0003,-0.2719,-0.0363,0.1292,-0.2073,0.0024,-0.1893,-0.1879,-0.1421,0.0318,-0.0242,-0.1391,0.0532,0.1413,0.013,-0.0744,-0.2261,-0.2841,-0.1103,0.125,0.0021
DR 6,0.0806,0.0386,0.23,-0.4202,-0.26,0.0514,-0.0319,0.2711,-0.0763,-0.1608,-0.0728,-0.0623,0.1306,-0.1322,-0.0389,0.0397,0.0311,0.2222,0.2048,-0.0756,-0.1554,-0.0265
DR 42,-0.1385,-0.1214,-0.1985,0.0269,0.1493,-0.1376,0.0636,-0.1166,-0.0518,0.101,0.0577,-0.0277,-0.0912,0.2007,0.1527,0.1553,0.0891,-0.1693,-0.1315,-0.0074,0.1416,0.2514
DR 16,-0.0686,-0.0733,-0.1431,-0.0983,-0.1137,-0.0757,-0.0818,-0.0744,-0.086,-0.0988,0.0951,-0.0244,-0.0265,-0.0448,0.0041,-0.0277,-0.0414,-0.1159,-0.0304,-0.0528,-0.0689,-0.0302
DR 35,0.021,0.0468,0.1186,-0.0424,-0.1509,-0.13,-0.2355,0.0246,-0.0676,0.027,-0.0349,-0.2012,-0.1213,0.0183,0.0892,0.0834,-0.0763,0.0095,0.1059,-0.0948,-0.3947,0.0652
DR 32,0.0825,0.0684,0.0048,-0.0317,-0.1403,0.0097,-0.1225,0.074,0.0544,0.0246,-0.0371,-0.1036,-0.0787,-0.1174,-0.0422,-0.0877,-0.0405,0.0234,-0.0078,-0.0616,-0.1407,0.0085
DR 24,0.0078,0.0137,0.014,0.0242,-0.0361,-0.0109,0.0182,-0.0607,0.0179,0.0144,-0.0653,-0.0824,-0.0327,-0.1506,-0.4359,-0.162,-0.028,-0.0119,0.0429,-0.0009,-0.0581,-0.0614
DR 21,0.0467,0.0447,0.0165,0.0079,-0.0496,0.0585,0.0104,-0.0232,-0.0911,-0.1947,0.1213,0.1216,-0.1483,-0.0239,-0.1934,-0.1849,-0.3169,0.1192,0.0232,0.0524,0.0158,-0.3845
DR 31,0.1024,0.0566,0.1392,0.0539,-0.0109,0.1917,-0.0349,0.1402,0.1585,0.1285,0.0666,0.0638,0.1237,0.0756,0.0755,0.1323,0.1016,0.0689,0.0854,0.1225,-0.0623,0.0523
DR 59,-0.0884,-0.1078,-0.0448,0.0547,0.1518,-0.0017,0.0855,-0.1302,-0.0052,-0.0634,-0.0376,0.0244,-0.0094,0.0197,-0.0469,-0.059,0.0313,-0.0398,0.0022,0.0174,0.2137,0.0124
DR 47,-0.0204,-0.0215,-0.002,-0.0205,-0.019,0.0563,-0.0217,0.0353,0.0606,0.044,0.0794,0.0023,-0.0311,0.0227,0.0902,0.0904,-0.065,-0.0027,0.0265,0.0576,0.0029,-0.0147
DR 20,-0.1994,-0.1374,-0.2027,0.0302,0.1766,-0.2024,0.1222,-0.1839,-0.1281,-0.0082,-0.1253,-0.087,-0.0688,0.0834,0.0861,-0.0087,-0.0128,-0.1597,-0.1148,-0.1417,0.1604,0.1131
DR 13,0.1946,0.1461,0.239,0.0463,-0.2041,0.0792,-0.2514,0.0292,0.1378,0.0814,0.2354,0.0593,-0.1219,0.0459,-0.0478,0.1053,-0.2118,0.1443,0.1798,0.1704,-0.2429,-0.1551
