# coverage | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
signature,axis,primary,provenance,n_genes,n_mapped,mapped_fraction,n_in_hvg_background,hvg_fraction_of_mapped
MP12_EMT_1,emt,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP12 (EMT-I), the published gene list as exported to datasets/GAVISH.csv",50,48,0.96,47,0.9791666666666666
MP13_EMT_2,emt,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP13 (EMT-II), the published gene list as exported to datasets/GAVISH.csv",50,50,1.0,40,0.8
MP14_EMT_3,emt,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP14 (EMT-III), the published gene list as exported to datasets/GAVISH.csv",50,50,1.0,31,0.62
MP15_EMT_4,emt,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP15 (EMT-IV), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,37,0.7551020408163265
MP17_INTERFERON_MHC_II_1,immune,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP17 (Interferon/MHC-II (I)), the published gene list as exported to datasets/GAVISH.csv",50,48,0.96,40,0.8333333333333334
MP18_INTERFERON_MHC_II_2,immune,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP18 (Interferon/MHC-II (II)), the published gene list as exported to datasets/GAVISH.csv",50,50,1.0,36,0.72
MP19_EPITHELIAL_SENESCENCE,senescence,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP19 (Epithelial Senescence), the published gene list as exported to datasets/GAVISH.csv",50,50,1.0,37,0.74
MP20_MYC,metabolic,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP20 (MYC), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,7,0.14285714285714285
MP21_RESPIRATION,metabolic,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP21 (Respiration), the published gene list as exported to datasets/GAVISH.csv",49,47,0.9591836734693877,4,0.0851063829787234
MP39_METAL_RESPONSE,detoxification,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP39 (Metal-response), the published gene list as exported to datasets/GAVISH.csv",50,50,1.0,36,0.72
MP22_SECRETED_1,secreted,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP22 (Secreted-I), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,26,0.5306122448979592
MP23_SECRETED_2,secreted,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP23 (Secreted-II), the published gene list as exported to datasets/GAVISH.csv",50,50,1.0,44,0.88
