# dr_naming | collection consensus (all three collections, read together) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dimension,drvi_order,latent_column,latent_variance_share,call,programme,direction,A_rho,B_fdr,same_signature,named_by,n_convergent_rows,other_programmes,confounder_flags,rho_log_umi,rho_S_score,rho_G2M_score,rho_pct_mt
DR 11,10,9,0.022552885092238757,unnamed,,,,,False,,0,,,-0.1028300064213043,-0.07391254941853126,0.0008199362023451669,-0.09718795520617987
DR 12,11,49,0.022019728830483472,unnamed,,,,,False,,0,,,-0.14648555558118734,0.12636974799459857,0.09664793408250082,-0.36127063212681404
DR 13,12,56,0.02125685150931927,named,MP6_HYPOXIA,DR 13-,0.575,5.324759536129933e-31,True,gavish_tnbc,1,,none,0.026118686793443105,0.11543261732984873,0.14026094411854062,0.031750304355514826
DR 14,13,5,0.019495727727274318,unnamed,,,,,False,,0,,,-0.05290874860932333,-0.10534875170496273,-0.08745895314619481,-0.10354474015001976
DR 15,14,50,0.01860670588837725,unnamed,,,,,False,,0,,,-0.29628875943323957,0.027537236320828808,0.11671628457337632,-0.025153388255399946
DR 16,15,25,0.018402483355314078,unnamed,,,,,False,,0,,,-0.08842187595960563,-0.11235886867160802,-0.11912423213339327,0.05705128848821495
DR 17,16,26,0.017938756485918035,unnamed,,,,,False,,0,,,0.15145942559219863,0.08757490808884258,0.127072659260334,0.06100000252759439
DR 18,17,63,0.017876349154609374,named,HALLMARK_IFNG,DR 18-,0.729,1.4041063389204467e-14,False,"gavish_tnbc, scie",2,DR 18- MP17_INTERFERON_MHC_II_1 (rho 0.58),none,-0.10079682093606253,0.00576026459977242,0.04149879732211334,-0.08839560720534673
DR 19,18,11,0.017364113004963384,named,MP13_EMT_2,DR 19-,0.3944,2.068711839599832e-17,True,"gavish_tnbc, scie",2,DR 19- LIM_STEM (rho 0.32),mesenchymal_may_be_ambient_or_doublet,-0.05137747298874329,0.0002263915272856511,0.014614766932408313,0.029867829334940057
DR 20,19,52,0.017210003490470267,named,MP14_EMT_3,DR 20+,0.5473,1.2456613801138913e-22,True,gavish_tnbc,1,,mesenchymal_may_be_ambient_or_doublet,0.014015155547532573,-0.09955120130269915,-0.1272982755602437,-0.09710056074416187
DR 21,20,6,0.01709461801795704,named,MP22_SECRETED_1,DR 21+,0.4613,3.921028509194614e-14,True,gavish_tnbc,1,,none,-0.0627448872487343,-0.02172494454905683,0.02052483422761484,-0.056941556266387035
DR 22,21,2,0.01514828376196635,unnamed,,,,,False,,0,,,0.1871280900919955,-0.11278856487656864,-0.18270243069043632,0.16135935771661924
DR 23,22,42,0.014619667875113542,named,HALLMARK_IFNG,DR 23-,0.4716,1.1611812112009439e-40,False,"gavish_tnbc, scie",2,DR 23- MP17_INTERFERON_MHC_II_1 (rho 0.42),none,-0.010258998864701385,-0.0006867234738374532,0.015148831375697218,0.019079465844308315
DR 24,23,4,0.013378569176737956,unnamed,,,,,False,,0,,,0.13171355513520022,0.016478477618651722,-0.016482758593494736,-0.06461922488449702
DR 25,24,34,0.012636428618093325,named,MP1_CELL_CYCLE_G2_M,DR 25-,0.4479,9.580760857350214e-23,True,gavish_tnbc,1,,cell_cycle,0.018688729392012583,-0.17163899209702463,-0.37933025912773943,-0.011225676203416407
DR 26,25,62,0.012219969425086496,named,MP13_EMT_2,DR 26-,0.323,1.8289422812817622e-09,False,gavish_tnbc,1,,mesenchymal_may_be_ambient_or_doublet,0.06374695129204613,-0.010559131269873144,-0.02322430364419649,0.14416965674353915
DR 27,26,29,0.01161235573180802,unnamed,,,,,False,,0,,,-0.11482462197033085,-0.03742350283708737,-0.057555245692101735,0.06453798179654154
DR 28,27,43,0.01053217482791923,named,EMT_B_EPITHELIAL,DR 28+,0.3879,0.0481504111655667,False,emt,1,,depth,0.037770434610290886,-0.08602501297268564,-0.05254650584141464,0.06177268425325906
DR 29,28,1,0.010309751234338823,named,MP22_SECRETED_1,DR 29-,0.3834,1.4138391390945629e-15,True,gavish_tnbc,1,,none,-0.026633853575808678,0.08244792429126604,0.0573275651069737,-0.06291195667801487
DR 30,29,15,0.010171480537723493,named,MP23_SECRETED_2,DR 30+,0.4836,4.1783036664662224e-14,True,gavish_tnbc,1,,none,-0.03804151734630271,-0.05169170428167154,-0.07053891113411671,0.0623757151846653
DR 31,30,21,0.009375098931986547,named,HALLMARK_IFNG,DR 31-,0.5234,7.321498875340633e-10,False,scie,1,,none,-0.0810119309216167,0.03168483678210731,0.038003248272987664,-0.14404889189596679
DR 32,31,10,0.009314111989408267,named,LIM_STEM,DR 32-,0.3343,1.3636408414470667e-06,False,scie,1,,cell_cycle,0.06661834408878814,-0.00117196162223085,-0.08825779737032823,-0.18423326605997797
DR 33,32,24,0.009033826764928428,unnamed,,,,,False,,0,,,-0.3043292571054344,0.12472516606667602,0.17159337869539018,-0.14659155326685858
DR 34,33,7,0.008948490844676934,named,HALLMARK_IFNA,DR 34-,0.5609,1.5827050934310288e-36,False,"gavish_tnbc, scie",2,DR 34- MP17_INTERFERON_MHC_II_1 (rho 0.45),none,0.019144220365249633,0.029961217725568423,0.012469344804624565,0.00594851795515835
DR 35,34,28,0.008614716991130679,named,HALLMARK_IFNG,DR 35-,0.4194,1.8638029723462086e-34,False,"gavish_tnbc, scie",2,DR 35- MP17_INTERFERON_MHC_II_1 (rho 0.36),none,0.0758331570050946,-0.022337594428860293,-0.009217941871062132,0.03909167120541291
DR 36,35,35,0.008069785273152117,named,MP19_EPITHELIAL_SENESCENCE,DR 36-,0.3374,3.747140695144035e-16,True,gavish_tnbc,1,,none,0.033407945990723144,0.01030304923175921,0.007956877313773581,0.08474051949041031
DR 37,36,18,0.007995455653791058,named,MP1_CELL_CYCLE_G2_M,DR 37-,0.4476,1.2482454739245358e-25,True,gavish_tnbc,1,,cell_cycle,0.0431973884212626,-0.2763725081960749,-0.38013610381257856,-0.08142671623262424
DR 38,37,0,0.007787588952533703,unnamed,,,,,False,,0,,,0.008181216724199044,0.06448334710055945,0.10319415055049817,0.05923201844320729
DR 39,38,8,0.007756439302733607,unnamed,,,,,False,,0,,,-0.08205590857059837,0.050095086172204935,0.0754728069187976,-0.07171192238817507
DR 40,39,39,0.007613710396177172,named,MP19_EPITHELIAL_SENESCENCE,DR 40-,0.3121,1.3826109751987305e-13,True,gavish_tnbc,1,,none,0.05530003030255142,0.03719638101968204,0.05381334112217369,0.09780611251828286
DR 41,40,40,0.007225889496141842,unnamed,,,,,False,,0,,,0.08162974673112429,0.12176653769478983,0.1544194967193696,0.040093997144665515
DR 42,41,53,0.007186589538645663,unnamed,,,,,False,,0,,,-0.06907819643376616,0.04263351513886568,0.030598063331296544,-0.11239683578889507
DR 43,42,30,0.007161998630808409,named,MP39_METAL_RESPONSE,DR 43-,0.416,8.77000821143634e-06,True,gavish_tnbc,1,,none,-0.08048406400343697,-0.058083271036009965,-0.012644070734554844,0.021601712049156205
DR 44,43,17,0.006742908637464322,named,MP5_STRESS,DR 44-,0.3654,5.527134079444346e-17,True,gavish_tnbc,1,,none,-0.03093301052833122,0.018723122920512696,0.004196714450869373,-0.0756516081854342
DR 45,44,32,0.00611200916589705,unnamed,,,,,False,,0,,,-0.11490033494818458,-0.03468656385134714,0.019051628465027958,-0.0678022413487132
DR 46,45,48,0.005933676583926151,unnamed,,,,,False,,0,,,-0.042938254730227984,-0.002692546527688742,-0.0003001450330211456,-0.06306758630680602
DR 47,46,58,0.005891713873052179,unnamed,,,,,False,,0,,,0.00015491702754356524,-0.022167690222525644,-0.018289046360970344,-0.08136154425514185
DR 48,47,12,0.005786247917657912,unnamed,,,,,False,,0,,,0.05571977087759044,0.07569690435532514,0.08598758016711523,-0.002010044757281047
DR 49,48,31,0.005745903400050959,unnamed,,,,,False,,0,,,0.11327329848607193,-0.04046780809763086,-0.05302095760526268,0.10630603419009074
DR 50,49,54,0.005223894184721794,named,MP7_STRESS_IN_VITRO,DR 50+,0.4706,1.7314103128901558e-16,True,gavish_tnbc,1,,none,0.006424916325188534,-0.04339203326907916,-0.018991126446943275,-0.02699888629180968
DR 51,50,22,0.00499424197650736,named,MP19_EPITHELIAL_SENESCENCE,DR 51-,0.3426,7.38584178120796e-15,True,gavish_tnbc,1,,none,-0.20167805904593852,0.044218623151052155,0.09107337068438538,-0.09232323651172475
DR 52,51,51,0.004670542460169313,unnamed,,,,,False,,0,,,0.03282739226701058,0.06708536300872392,-0.015763818137315394,0.017465610554837814
DR 53,52,46,0.004650378570019309,unnamed,,,,,False,,0,,,0.0021817206479636596,0.056898636335017815,0.007531143874538643,-0.08996569222738415
DR 54,53,55,0.00449361352962185,unnamed,,,,,False,,0,,,-0.0502974170085771,0.011166287152239026,0.00775644008692406,0.0056066597819861294
DR 55,54,16,0.0031929227910446074,unnamed,,,,,False,,0,,,0.19612336931408525,0.07916697263379235,-0.0074081946794934276,0.09845817860275516
DR 56,55,47,0.0028711444512686374,unnamed,,,,,False,,0,,,0.10853931046770916,0.043019919432478,0.07151038706335247,0.08175549486595261
