# convergence | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epicnv_64_nomt | nothing pruned: every dimension and direction kept | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,A_vs_null,dimension_vanished,confounder_flags
DR 17+,DR 17,+,EMT_A_EPITHELIAL,-0.0011,EMT_A_EPITHELIAL,-0.0011,0.3564409257641877,-0.64000267,EMT_A_HYBRID,0.0558,0.8794274148836828,False,False,False,False,epithelial,hybrid,neither,below,False,depth
DR 17-,DR 17,-,EMT_A_MESENCHYMAL,0.2347,EMT_A_MESENCHYMAL,0.2347,0.6435590742358124,0.64000267,EMT_C_MESENCHYMAL,1.2805,0.05242036010084629,True,False,False,False,mesenchymal,mesenchymal,cell_only,above,False,mesenchymal_may_be_ambient_or_doublet
DR 18+,DR 18,+,EMT_B_EPITHELIAL,0.221,EMT_B_EPITHELIAL,0.221,0.6305583728365339,0.4742534,EMT_B_EPITHELIAL,1.5536,0.02795117053991844,True,True,True,True,epithelial,epithelial,convergent,above,False,none
DR 18-,DR 18,-,EMT_A_MESENCHYMAL,-0.0012,EMT_SCORE_A,0.1309,0.36944162716346607,-0.4742534,EMT_A_MESENCHYMAL,0.0,1.0,False,False,False,False,mesenchymal,mesenchymal,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 19+,DR 19,+,EMT_B_MESENCHYMAL,0.025,EMT_SCORE_B,0.144,0.431917508720484,-0.17520325,EMT_B_MESENCHYMAL,0.0165,0.9627200129733199,False,False,False,False,mesenchymal,mesenchymal,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 19-,DR 19,-,EMT_B_EPITHELIAL,0.1809,EMT_B_EPITHELIAL,0.1809,0.5680824912795159,0.17520325,EMT_B_EPITHELIAL,-0.0,1.0,False,False,False,False,epithelial,epithelial,neither,below,False,none
DR 20+,DR 20,+,EMT_B_EPITHELIAL,0.1004,EMT_B_EPITHELIAL,0.1004,0.4800135066600398,-0.053687364,EMT_B_EPITHELIAL,2.6536,0.0022202403953450766,False,True,False,False,epithelial,epithelial,factor_only,below,False,none
DR 20-,DR 20,-,EMT_A_MESENCHYMAL,0.1651,EMT_A_MESENCHYMAL,0.1651,0.5199864933399603,0.053687364,EMT_A_HYBRID,0.0558,0.8794274148836828,False,False,False,False,mesenchymal,hybrid,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 21+,DR 21,+,EMT_B_MESENCHYMAL,0.091,EMT_SCORE_A,0.1622,0.4500395097293273,-0.14108476,EMT_C_EPITHELIAL,0.9442,0.11371035097106504,False,False,False,False,mesenchymal,epithelial,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 21-,DR 21,-,EMT_A_EPITHELIAL,0.1646,EMT_A_EPITHELIAL,0.1646,0.5499604902706727,0.14108476,EMT_A_EPITHELIAL,0.9059,0.12419382415199219,False,False,False,False,epithelial,epithelial,neither,below,False,depth
DR 22+,DR 22,+,EMT_A_MESENCHYMAL,0.243,EMT_A_MESENCHYMAL,0.243,0.6225799676642729,0.4531304,EMT_C_HYBRID,1.3067,0.0493514594040883,True,True,False,False,mesenchymal,hybrid,both_different_family,above,False,mesenchymal_may_be_ambient_or_doublet
DR 22-,DR 22,-,EMT_B_EPITHELIAL,0.028,EMT_B_EPITHELIAL,0.028,0.3774200323357271,-0.4531304,EMT_A_EPITHELIAL,0.1755,0.6675749009643063,False,False,False,False,epithelial,epithelial,neither,below,False,none
DR 23+,DR 23,+,EMT_A_EPITHELIAL,0.1353,EMT_A_EPITHELIAL,0.1353,0.4272802046230579,-0.28866217,EMT_B_EPITHELIAL,1.5536,0.02795117053991844,False,True,False,False,epithelial,epithelial,factor_only,below,False,none
DR 23-,DR 23,-,EMT_A_MESENCHYMAL,0.2882,EMT_A_MESENCHYMAL,0.2882,0.5727197953769421,0.28866217,EMT_A_MESENCHYMAL,0.7815,0.16538647847713284,True,False,False,False,mesenchymal,mesenchymal,cell_only,above,False,mesenchymal_may_be_ambient_or_doublet
DR 24+,DR 24,+,EMT_C_EPITHELIAL,0.0647,EMT_C_EPITHELIAL,0.0647,0.5347498121481942,0.0794948,EMT_C_EPITHELIAL,0.0247,0.944713235727136,False,False,False,False,epithelial,epithelial,neither,below,False,none
DR 24-,DR 24,-,EMT_A_MESENCHYMAL,0.0214,EMT_SCORE_C,0.0469,0.46525018785180583,-0.0794948,EMT_C_HYBRID,0.0792,0.8332973486343167,False,False,False,False,mesenchymal,hybrid,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 25+,DR 25,+,EMT_A_MESENCHYMAL,0.1161,EMT_A_MESENCHYMAL,0.1161,0.5706258022965491,0.27289942,EMT_C_HYBRID,0.7815,0.16538647847713284,False,False,False,False,mesenchymal,hybrid,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 25-,DR 25,-,EMT_B_EPITHELIAL,0.0505,EMT_B_EPITHELIAL,0.0505,0.42937419770345087,-0.27289942,EMT_A_EPITHELIAL,0.1755,0.6675749009643063,False,False,False,False,epithelial,epithelial,neither,below,False,none
DR 26+,DR 26,+,EMT_A_MESENCHYMAL,0.0243,EMT_SCORE_A,0.0678,0.4917431251988748,-0.047418587,EMT_C_EPITHELIAL,0.0247,0.944713235727136,False,False,False,False,mesenchymal,epithelial,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 26-,DR 26,-,EMT_B_EPITHELIAL,0.0886,EMT_B_EPITHELIAL,0.0886,0.5082568748011251,0.047418587,EMT_A_EPITHELIAL,0.9059,0.12419382415199219,False,False,False,False,epithelial,epithelial,neither,below,False,none
DR 27+,DR 27,+,EMT_A_MESENCHYMAL,0.0559,EMT_SCORE_A,0.1349,0.4541189118563221,-0.11351191,EMT_A_MESENCHYMAL,0.0792,0.8332973486343167,False,False,False,False,mesenchymal,mesenchymal,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 27-,DR 27,-,EMT_A_EPITHELIAL,0.1457,EMT_A_EPITHELIAL,0.1457,0.545881088143678,0.11351191,EMT_A_EPITHELIAL,0.9059,0.12419382415199219,False,False,False,False,epithelial,epithelial,neither,below,False,depth
DR 28+,DR 28,+,EMT_C_EPITHELIAL,0.0021,EMT_C_EPITHELIAL,0.0021,0.4766876795201914,-0.058641687,EMT_A_EPITHELIAL,0.9059,0.12419382415199219,False,False,False,False,epithelial,epithelial,neither,below,False,none
DR 28-,DR 28,-,EMT_A_HYBRID,0.0859,EMT_A_HYBRID,0.0859,0.5233123204798086,0.058641687,EMT_B_HYBRID,0.0,1.0,False,False,False,False,hybrid,hybrid,neither,below,False,none
DR 29+,DR 29,+,EMT_B_EPITHELIAL,0.1939,EMT_B_EPITHELIAL,0.1939,0.5325516933897344,0.1529276,EMT_A_EPITHELIAL,0.9059,0.12419382415199219,False,False,False,False,epithelial,epithelial,neither,above,False,none
DR 29-,DR 29,-,EMT_B_MESENCHYMAL,0.1542,EMT_SCORE_B,0.2338,0.4674483066102656,-0.1529276,EMT_A_MESENCHYMAL,1.3067,0.0493514594040883,False,True,False,False,mesenchymal,mesenchymal,factor_only,below,False,mesenchymal_may_be_ambient_or_doublet
DR 30+,DR 30,+,EMT_B_HYBRID,0.0162,EMT_SCORE_B,0.0175,0.436766277642652,-0.2660848,EMT_B_EPITHELIAL,-0.0165,1.0,False,False,False,False,hybrid,epithelial,neither,below,False,none
DR 30-,DR 30,-,EMT_C_MESENCHYMAL,0.0944,EMT_C_MESENCHYMAL,0.0944,0.563233722357348,0.2660848,EMT_C_MESENCHYMAL,0.4067,0.39201257629516495,False,False,False,False,mesenchymal,mesenchymal,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 31+,DR 31,+,EMT_A_MESENCHYMAL,0.1126,EMT_A_MESENCHYMAL,0.1126,0.56957849038495,-0.048526052,EMT_A_EPITHELIAL,0.1755,0.6675749009643063,False,False,False,False,mesenchymal,epithelial,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 31-,DR 31,-,EMT_A_HYBRID,0.0167,EMT_A_HYBRID,0.0167,0.43042150961505,0.048526052,EMT_C_EPITHELIAL,0.9442,0.11371035097106504,False,False,False,False,hybrid,epithelial,neither,below,False,none
DR 32+,DR 32,+,EMT_B_HYBRID,-0.0265,EMT_SCORE_A,0.0005,0.434039988137786,-0.24212983,EMT_A_EPITHELIAL,0.1755,0.6675749009643063,False,False,False,False,hybrid,epithelial,neither,below,False,none
DR 32-,DR 32,-,EMT_C_MESENCHYMAL,0.1026,EMT_C_MESENCHYMAL,0.1026,0.565960011862214,0.24212983,EMT_A_MESENCHYMAL,0.0792,0.8332973486343167,False,False,False,False,mesenchymal,mesenchymal,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 33+,DR 33,+,EMT_A_MESENCHYMAL,-0.0108,EMT_SCORE_A,0.1929,0.3375324781089422,-0.63291407,EMT_A_MESENCHYMAL,0.3531,0.44350651102530514,False,False,False,False,mesenchymal,mesenchymal,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 33-,DR 33,-,EMT_A_EPITHELIAL,0.2902,EMT_A_EPITHELIAL,0.2902,0.6624675218910578,0.63291407,EMT_A_EPITHELIAL,0.9059,0.12419382415199219,True,False,False,False,epithelial,epithelial,cell_only,above,False,depth
DR 34+,DR 34,+,EMT_B_HYBRID,0.0525,EMT_B_HYBRID,0.0525,0.5276429541055733,0.041972123,EMT_A_MESENCHYMAL,0.0792,0.8332973486343167,False,False,False,False,hybrid,mesenchymal,neither,below,False,none
DR 34-,DR 34,-,EMT_A_HYBRID,-0.0031,EMT_SCORE_C,-0.0019,0.47235704589442673,-0.041972123,EMT_B_EPITHELIAL,0.8131,0.15378005078810528,False,False,False,False,hybrid,epithelial,neither,below,False,none
DR 35+,DR 35,+,EMT_C_EPITHELIAL,-0.0214,EMT_SCORE_A,0.0083,0.4275594510614823,-0.28682908,EMT_B_HYBRID,0.0,1.0,False,False,False,False,epithelial,hybrid,neither,below,False,none
DR 35-,DR 35,-,EMT_A_HYBRID,0.1239,EMT_A_HYBRID,0.1239,0.5724405489385177,0.28682908,EMT_B_EPITHELIAL,0.2992,0.5021113054699536,False,False,False,False,hybrid,epithelial,neither,below,False,none
DR 36+,DR 36,+,EMT_A_MESENCHYMAL,0.0958,EMT_A_MESENCHYMAL,0.0958,0.5154043427213136,0.11802783,EMT_B_MESENCHYMAL,0.1802,0.6603892574785455,False,False,False,False,mesenchymal,mesenchymal,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 36-,DR 36,-,EMT_B_EPITHELIAL,0.053,EMT_B_EPITHELIAL,0.053,0.48459565727868636,-0.11802783,EMT_B_EPITHELIAL,-0.0,1.0,False,False,False,False,epithelial,epithelial,neither,below,False,none
DR 37+,DR 37,+,EMT_A_EPITHELIAL,0.1344,EMT_A_EPITHELIAL,0.1344,0.5550762094662598,0.16306098,EMT_C_EPITHELIAL,0.3771,0.41966234203983155,False,False,False,False,epithelial,epithelial,neither,below,False,depth
DR 37-,DR 37,-,EMT_A_HYBRID,0.0446,EMT_SCORE_A,0.1108,0.4449237905337402,-0.16306098,EMT_B_HYBRID,-0.0,1.0,False,False,False,False,hybrid,hybrid,neither,below,False,none
DR 38+,DR 38,+,EMT_C_HYBRID,0.0494,EMT_C_HYBRID,0.0494,0.5006131085643943,0.03585438,EMT_C_MESENCHYMAL,0.4067,0.39201257629516495,False,False,False,False,hybrid,mesenchymal,neither,below,False,none
DR 38-,DR 38,-,EMT_B_MESENCHYMAL,0.0452,EMT_B_MESENCHYMAL,0.0452,0.49938689143560566,-0.03585438,EMT_C_EPITHELIAL,0.3771,0.41966234203983155,False,False,False,False,mesenchymal,epithelial,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 39+,DR 39,+,EMT_A_MESENCHYMAL,0.0391,EMT_SCORE_A,0.0872,0.4705276593799761,-0.1216244,EMT_A_MESENCHYMAL,0.0792,0.8332973486343167,False,False,False,False,mesenchymal,mesenchymal,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 39-,DR 39,-,EMT_B_EPITHELIAL,0.1081,EMT_B_EPITHELIAL,0.1081,0.5294723406200239,0.1216244,EMT_C_EPITHELIAL,0.3771,0.41966234203983155,False,False,False,False,epithelial,epithelial,neither,below,False,none
DR 40+,DR 40,+,EMT_A_EPITHELIAL,-0.0117,EMT_A_EPITHELIAL,-0.0117,0.4623360432213121,-0.12088721,EMT_A_EPITHELIAL,0.1755,0.6675749009643063,False,False,False,False,epithelial,epithelial,neither,below,False,depth
DR 40-,DR 40,-,EMT_C_MESENCHYMAL,0.0992,EMT_C_MESENCHYMAL,0.0992,0.5376639567786878,0.12088721,EMT_C_EPITHELIAL,0.9442,0.11371035097106504,False,False,False,False,mesenchymal,epithelial,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 41+,DR 41,+,EMT_B_EPITHELIAL,0.143,EMT_B_EPITHELIAL,0.143,0.5544128307002787,0.17914803,EMT_A_EPITHELIAL,0.1755,0.6675749009643063,False,False,False,False,epithelial,epithelial,neither,below,False,none
DR 41-,DR 41,-,EMT_A_MESENCHYMAL,0.0322,EMT_SCORE_A,0.1182,0.4455871692997213,-0.17914803,EMT_B_MESENCHYMAL,1.3701,0.04264813065450335,False,True,False,False,mesenchymal,mesenchymal,factor_only,below,False,mesenchymal_may_be_ambient_or_doublet
DR 42+,DR 42,+,EMT_A_HYBRID,0.0774,EMT_A_HYBRID,0.0774,0.5058631494199297,0.052515052,EMT_A_EPITHELIAL,0.9059,0.12419382415199219,False,False,False,False,hybrid,epithelial,neither,below,False,none
DR 42-,DR 42,-,EMT_A_MESENCHYMAL,0.051,EMT_SCORE_B,0.0689,0.4941368505800703,-0.052515052,EMT_A_MESENCHYMAL,0.0,1.0,False,False,False,False,mesenchymal,mesenchymal,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 43+,DR 43,+,EMT_A_EPITHELIAL,-0.0298,EMT_SCORE_B,0.0064,0.4107617012118746,-0.35191676,EMT_C_EPITHELIAL,0.3771,0.41966234203983155,False,False,False,False,epithelial,epithelial,neither,below,False,depth
DR 43-,DR 43,-,EMT_A_MESENCHYMAL,0.1003,EMT_A_MESENCHYMAL,0.1003,0.5892382987881254,0.35191676,EMT_A_MESENCHYMAL,0.0792,0.8332973486343167,False,False,False,False,mesenchymal,mesenchymal,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 44+,DR 44,+,EMT_B_MESENCHYMAL,0.008,EMT_SCORE_B,0.065,0.4584874664034844,-0.15055309,EMT_B_HYBRID,-0.0,1.0,False,False,False,False,mesenchymal,hybrid,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 44-,DR 44,-,EMT_A_EPITHELIAL,0.0957,EMT_A_EPITHELIAL,0.0957,0.5415125335965156,0.15055309,EMT_C_EPITHELIAL,0.9442,0.11371035097106504,False,False,False,False,epithelial,epithelial,neither,below,False,depth
DR 45+,DR 45,+,EMT_B_EPITHELIAL,0.0701,EMT_B_EPITHELIAL,0.0701,0.5494561881599005,0.1677233,EMT_C_EPITHELIAL,0.3771,0.41966234203983155,False,False,False,False,epithelial,epithelial,neither,below,False,none
DR 45-,DR 45,-,EMT_B_HYBRID,0.0065,EMT_SCORE_A,0.0269,0.4505438118400995,-0.1677233,EMT_A_EPITHELIAL,0.1755,0.6675749009643063,False,False,False,False,hybrid,epithelial,neither,below,False,none
DR 46+,DR 46,+,EMT_B_EPITHELIAL,0.1385,EMT_B_EPITHELIAL,0.1385,0.5711561142487948,0.2653389,EMT_B_MESENCHYMAL,0.1802,0.6603892574785455,False,False,False,False,epithelial,mesenchymal,neither,below,False,none
DR 46-,DR 46,-,EMT_C_HYBRID,0.015,EMT_SCORE_B,0.0772,0.42884388575120524,-0.2653389,EMT_A_HYBRID,-0.0,1.0,False,False,False,False,hybrid,hybrid,neither,below,False,none
DR 47+,DR 47,+,EMT_A_MESENCHYMAL,0.0463,EMT_SCORE_A,0.06,0.4981130997007982,0.0036488671,EMT_C_EPITHELIAL,0.3771,0.41966234203983155,False,False,False,False,mesenchymal,epithelial,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 47-,DR 47,-,EMT_A_EPITHELIAL,0.0402,EMT_A_EPITHELIAL,0.0402,0.5018869002992018,-0.0036488671,EMT_A_HYBRID,0.0558,0.8794274148836828,False,False,False,False,epithelial,hybrid,neither,below,False,depth
DR 48+,DR 48,+,EMT_C_EPITHELIAL,0.012,EMT_C_EPITHELIAL,0.012,0.4737259536442811,-0.123051874,EMT_C_EPITHELIAL,0.0247,0.944713235727136,False,False,False,False,epithelial,epithelial,neither,below,False,none
DR 48-,DR 48,-,EMT_C_MESENCHYMAL,0.0744,EMT_C_MESENCHYMAL,0.0744,0.526274046355719,0.123051874,EMT_C_MESENCHYMAL,0.1584,0.6943844712409819,False,False,False,False,mesenchymal,mesenchymal,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 49+,DR 49,+,EMT_A_HYBRID,-0.016,EMT_SCORE_C,0.0245,0.457832423401631,-0.12696037,EMT_B_HYBRID,0.0,1.0,False,False,False,False,hybrid,hybrid,neither,below,False,none
DR 49-,DR 49,-,EMT_C_EPITHELIAL,0.0624,EMT_C_EPITHELIAL,0.0624,0.542167576598369,0.12696037,EMT_C_MESENCHYMAL,0.4067,0.39201257629516495,False,False,False,False,epithelial,mesenchymal,neither,below,False,none
DR 50+,DR 50,+,EMT_A_MESENCHYMAL,0.0757,EMT_A_MESENCHYMAL,0.0757,0.5074122670286714,-0.014166094,EMT_B_MESENCHYMAL,0.858,0.13867558288718884,False,False,False,False,mesenchymal,mesenchymal,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 50-,DR 50,-,EMT_A_EPITHELIAL,0.0486,EMT_A_EPITHELIAL,0.0486,0.49258773297132863,0.014166094,EMT_C_EPITHELIAL,0.9442,0.11371035097106504,False,False,False,False,epithelial,epithelial,neither,below,False,depth
