# dim_geneset_signed_significance | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,EMT_B_EPITHELIAL,EMT_A_EPITHELIAL,EMT_C_EPITHELIAL,EMT_B_HYBRID,EMT_A_HYBRID,EMT_C_HYBRID,EMT_B_MESENCHYMAL,EMT_A_MESENCHYMAL,EMT_C_MESENCHYMAL
DR 40,-0.8131,0.1755,-0.9442,-0.0247,-0.0558,0.0,0.0,0.0,0.0
DR 38,-0.2992,-0.1755,-0.3771,0.0,0.0,0.0,0.1802,0.0792,0.4067
DR 58,-0.2992,-0.1755,-0.3771,0.0,0.0,0.0,0.0,0.0,-0.0
DR 10,0.0165,0.1755,0.0247,0.0,0.0,0.0,-0.0,-0.0,0.0165
DR 51,0.8131,0.9059,0.3771,0.0,0.0,-0.0,-0.0,-0.0,0.0165
DR 3,-0.8131,-0.9059,-0.3771,0.0,0.0,-0.0,0.1802,0.0792,0.1584
DR 12,0.8131,0.9059,0.3771,0.0,0.0,0.0,-0.1802,-0.0792,-0.1584
DR 60,-0.8131,0.1755,-0.9442,0.0247,0.0,-0.0,0.0165,0.0792,0.0165
DR 9,-0.8131,-0.9059,-0.3771,0.0247,0.0,0.3531,0.4452,0.7815,0.4067
DR 62,0.0165,0.1755,0.0247,0.0,0.0,0.0,0.0,0.0,-0.0
DR 61,-0.2992,0.1755,-0.3771,0.0,0.0,-0.0,-0.0,-0.0,-0.0
DR 57,0.0165,0.1755,0.0247,0.0,0.0,-0.0,-0.0,-0.0,0.0165
DR 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0165,-0.0,0.0165
DR 23,1.5536,0.9059,0.9442,0.0,0.0,-0.3531,-0.4452,-0.7815,-0.4067
DR 27,-0.2992,-0.9059,-0.0247,0.0247,0.0558,-0.0,0.0165,0.0792,0.0165
DR 15,-1.5536,-0.9059,-0.9442,0.0247,0.0558,0.0,-0.0,-0.0,-0.0
DR 34,-0.8131,-0.1755,-0.3771,0.0,0.0,-0.0,0.0165,0.0792,0.0165
DR 5,0.8131,0.9059,0.3771,-0.9442,-0.4457,-2.0371,-0.858,-1.3067,-0.8131
DR 50,-0.8131,-0.1755,-0.9442,0.0247,0.0558,-0.0,0.858,0.7815,0.8131
DR 29,0.8131,0.9059,0.3771,-0.3771,-0.0558,-0.3531,-0.858,-1.3067,-0.8131
DR 36,0.0,0.0,0.0,0.0,0.0,0.0,0.1802,0.0792,0.1584
DR 46,0.0165,0.1755,0.0,0.0247,0.0,0.0792,0.1802,0.0792,0.1584
DR 28,0.8131,0.9059,0.3771,0.0,0.0,-0.0,-0.0,-0.0,0.0165
DR 48,0.0165,0.0,0.0247,0.0,0.0,-0.0792,-0.0165,-0.0792,-0.1584
DR 52,-0.2992,-0.1755,0.0247,-0.0247,-0.0558,-0.3531,-0.0165,0.0,-0.0165
DR 18,1.5536,0.9059,0.9442,0.0247,0.0558,1.3067,0.0165,-0.0,0.1584
DR 43,0.2992,0.1755,0.3771,0.0,0.0,0.0,-0.0165,-0.0792,-0.0165
DR 33,-0.8131,-0.9059,-0.3771,-0.0247,-0.0558,-0.0792,0.1802,0.3531,0.1584
DR 55,0.0165,0.1755,0.0247,0.0247,0.0558,-0.0,0.0165,0.0792,0.1584
DR 1,0.2992,0.1755,0.0247,0.0,0.0,-0.3531,-0.0165,0.0,-0.1584
DR 17,-0.0165,0.0,-0.0247,0.0247,0.0558,-0.7815,-0.858,-0.7815,-1.2805
DR 53,-0.2992,-0.1755,-0.3771,0.0,0.0,0.0,0.1802,0.3531,0.4067
DR 8,0.2992,0.1755,0.3771,0.0,0.0,-0.0,0.0165,0.0792,0.1584
DR 45,0.2992,-0.1755,0.3771,-0.0247,-0.0558,-0.0792,-0.0165,0.0,-0.0165
DR 25,-0.0165,-0.1755,-0.0247,0.0247,0.0558,0.7815,0.4452,0.3531,0.4067
DR 44,-0.8131,-0.1755,-0.9442,0.0,0.0,-0.0,-0.0,-0.0,-0.0
DR 49,-0.2992,-0.1755,-0.3771,0.0,0.0,-0.0792,-0.1802,-0.3531,-0.4067
DR 14,-0.8131,0.1755,-0.9442,0.0247,0.0558,0.0,-0.0,0.0,0.0165
DR 4,-0.8131,-0.1755,-0.9442,0.0247,0.0558,-0.0,0.1802,0.3531,0.1584
DR 6,0.0,0.0,0.0,-0.0247,-0.0558,-0.0792,-0.0165,-0.0,-0.1584
DR 42,0.2992,0.9059,0.0247,0.0247,0.0558,0.3531,0.0165,-0.0,0.0165
DR 16,-0.2992,-0.1755,-0.3771,0.3771,0.4457,0.7815,0.1802,0.3531,0.1584
DR 35,-0.2992,-0.1755,-0.0247,0.0,0.0,-0.0792,0.0,0.0,0.0
DR 32,0.0165,0.1755,0.0247,0.0,0.0,0.0,-0.0165,-0.0792,-0.0165
DR 24,0.0165,0.0,0.0247,-0.0247,-0.0558,-0.0792,-0.0165,-0.0,-0.0165
DR 21,0.8131,-0.9059,0.9442,0.0,0.0,0.0,0.0165,0.0792,0.0165
DR 31,-0.8131,0.1755,-0.9442,-0.0247,-0.0558,0.0,0.0165,0.0792,0.0165
DR 59,0.2992,0.1755,0.3771,0.0,0.0,0.0,-0.0165,-0.0792,-0.0165
DR 47,0.2992,0.1755,0.3771,-0.0247,-0.0558,0.0,-0.0,-0.0,0.0165
DR 20,2.6536,0.9059,1.9013,-0.0247,-0.0558,-0.0,-0.0,0.0,0.0165
DR 13,0.0165,-0.1755,0.0247,0.3771,0.0558,0.3531,0.1802,0.3531,0.1584
