# cluster_composition | collection emt (epithelial-mesenchymal transition (EMT)) | run drvi_tum_64_nomt | recall of a signature collection by two pipelines on ONE set of cells: Leiden clusters vs DRVI decoder directions, identical ORA downstream | 05_10_pipeline_recall
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
cluster,n_cells,n_cohorts,cohort_dominance,top_cohort,arm,resolution,n_de_genes,n_genes_tested,signatures_hit,n_signatures_hit
31,879,5,0.9658703071672355,Patient56,pca_leiden,1.0,99,99,,0.0
2,846,6,0.991725768321513,Patient19,pca_leiden,1.0,206,200,,0.0
26,629,1,1.0,Patient18,pca_leiden,1.0,230,200,,0.0
13,500,13,0.542,Patient17,pca_leiden,1.0,97,97,,0.0
32,434,2,0.9976958525345622,Patient48,pca_leiden,1.0,303,200,,0.0
3,427,14,0.3185011709601874,Patient26,pca_leiden,1.0,162,162,,0.0
1,368,14,0.2717391304347826,Patient26,pca_leiden,1.0,257,200,,0.0
0,281,2,0.99644128113879,Patient01,pca_leiden,1.0,179,179,,0.0
16,266,5,0.9774436090225563,Patient42,pca_leiden,1.0,49,49,,0.0
33,246,1,1.0,Patient64,pca_leiden,1.0,312,200,,0.0
15,86,1,1.0,Patient09,pca_leiden,1.0,133,133,,0.0
4,49,1,1.0,Patient26,pca_leiden,1.0,124,124,,0.0
29,26,1,1.0,Patient26,pca_leiden,1.0,103,103,,0.0
24,24,1,1.0,Patient63,pca_leiden,1.0,33,33,,0.0
11,19,1,1.0,Patient26,pca_leiden,1.0,62,62,,0.0
4,5618,19,0.18013527945888216,Patient16,null_partition,1.0,0,0,,0.0
15,5364,19,0.18008948545861297,Patient16,null_partition,1.0,0,0,,0.0
0,4418,19,0.1813037573562698,Patient16,null_partition,1.0,0,0,,0.0
3,3917,19,0.18968598417155988,Patient16,null_partition,1.0,0,0,,0.0
6,3884,19,0.17353244078269825,Patient16,null_partition,1.0,0,0,,0.0
8,3366,19,0.19132501485442663,Patient16,null_partition,1.0,0,0,,0.0
5,2814,19,0.18585643212508884,Patient16,null_partition,1.0,0,0,,0.0
7,2780,19,0.18237410071942445,Patient16,null_partition,1.0,0,0,,0.0
17,1902,19,0.1861198738170347,Patient16,null_partition,1.0,0,0,,0.0
14,1008,19,0.16666666666666666,Patient16,null_partition,1.0,0,0,,0.0
10,904,19,0.1847345132743363,Patient16,null_partition,1.0,0,0,,0.0
18,890,19,0.17303370786516853,Patient16,null_partition,1.0,0,0,,0.0
2,821,19,0.1900121802679659,Patient16,null_partition,1.0,0,0,,0.0
1,742,19,0.21159029649595687,Patient16,null_partition,1.0,0,0,,0.0
9,551,18,0.2014519056261343,Patient16,null_partition,1.0,0,0,,0.0
11,493,19,0.20892494929006086,Patient16,null_partition,1.0,0,0,,0.0
12,485,19,0.16494845360824742,Patient16,null_partition,1.0,0,0,,0.0
21,476,19,0.1722689075630252,Patient16,null_partition,1.0,0,0,,0.0
13,420,19,0.18571428571428572,Patient16,null_partition,1.0,0,0,,0.0
20,419,19,0.19331742243436753,Patient16,null_partition,1.0,0,0,,0.0
19,388,19,0.15463917525773196,Patient56,null_partition,1.0,0,0,,0.0
16,384,19,0.17447916666666666,Patient56,null_partition,1.0,0,0,,0.0
22,52,13,0.17307692307692307,Patient26,null_partition,1.0,0,0,,0.0
