# dim_geneset_signed_significance | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_tum_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,EMT_B_EPITHELIAL,EMT_A_EPITHELIAL,EMT_C_EPITHELIAL,EMT_B_HYBRID,EMT_A_HYBRID,EMT_C_HYBRID,EMT_B_MESENCHYMAL,EMT_A_MESENCHYMAL,EMT_C_MESENCHYMAL
DR 16,-0.0727,-0.2064,-0.1327,0.05,0.05,0.7959,0.5593,0.4421,1.2992
DR 17,-1.2693,-0.9653,-0.6646,0.05,0.05,0.1065,0.05,0.1343,0.1788
DR 8,1.2693,0.9653,0.6646,0.05,0.05,0.1065,-0.0,0.0,-0.0
DR 35,0.0727,-0.2064,0.1327,0.05,0.05,-0.1065,0.05,-0.0,0.1788
DR 27,0.5081,0.9653,0.1327,-0.05,-0.05,0.0,-0.5593,-0.1343,-0.4429
DR 43,0.5081,0.9653,0.1327,0.05,0.05,0.1065,-0.2452,0.0,-0.1788
DR 49,-1.2693,-0.9653,-0.6646,1.0033,1.0033,0.1065,0.5593,0.1343,0.8257
DR 45,0.0,0.0,0.0,0.05,0.05,-0.0,0.05,-0.0,0.0223
DR 59,0.0,0.0,0.0,0.0,0.0,0.0,0.2452,-0.0,0.1788
DR 25,0.0,0.0,0.0,0.05,0.05,0.0,-0.05,-0.0,-0.0223
DR 36,0.0727,0.2064,0.1327,-0.05,-0.05,0.1065,0.2452,0.1343,0.1788
DR 6,0.0,0.0,0.0,-0.05,-0.05,-0.0,-0.2452,-0.4421,-0.1788
DR 3,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.1343,-0.1788
DR 5,-0.5081,-0.9653,-0.1327,-0.05,-0.05,0.0,-0.2452,-0.1343,-0.8257
DR 40,-1.2693,0.2064,-0.6646,0.0,0.0,-0.1065,-0.05,-0.1343,-0.1788
DR 41,-1.2693,-0.9653,-0.6646,-0.05,-0.05,0.0,0.2452,-0.0,0.1788
DR 60,0.0727,0.2064,0.1327,0.0,0.0,-0.0,-0.0,-0.0,-0.0
DR 23,-0.0727,-0.2064,0.0,0.05,0.05,-0.0,-0.2452,-0.0,-0.4429
DR 28,1.2693,0.9653,0.6646,0.05,0.05,0.3904,-0.2452,-0.4421,0.1788
DR 1,-0.5081,-0.9653,-0.1327,0.4213,0.4213,1.3577,0.9915,0.926,0.8257
DR 63,0.0727,0.2064,-0.1327,0.0,0.0,0.0,0.0,0.0,0.0
DR 53,-0.0727,0.0,-0.1327,0.05,0.05,-0.0,0.0,0.0,-0.0
DR 56,0.0,0.0,0.0,0.0,0.0,-0.0,0.05,0.1343,0.0223
DR 46,-0.0727,-0.2064,-0.1327,0.05,0.05,0.3904,0.05,0.0,0.0223
DR 12,-2.4601,-0.9653,-1.6707,-0.4213,-0.4213,-0.3904,0.2452,0.1343,0.1788
DR 15,-0.5081,-0.2064,-0.6646,-0.4213,-0.4213,0.0,0.05,-0.0,0.0223
DR 52,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.0,0.0223
DR 20,0.0727,0.2064,-0.1327,0.0,0.0,-0.1065,-0.2452,0.1343,0.1788
DR 42,0.0727,0.2064,0.0,-0.05,-0.05,-0.3904,-1.5625,-0.926,-1.2992
DR 50,0.5081,0.2064,0.1327,0.05,0.05,-0.0,0.0,0.0,-0.0
DR 54,0.0727,-0.2064,0.1327,0.05,0.05,0.1065,0.2452,0.1343,0.4429
DR 13,-0.0727,0.0,-0.1327,0.05,0.05,-0.3904,-0.2452,-0.4421,-0.8257
DR 61,0.0727,0.2064,0.0,0.0,0.0,0.0,-0.05,0.0,-0.0223
DR 47,0.0727,0.2064,0.1327,-0.4213,-0.4213,-0.1065,-0.05,0.0,-0.1788
DR 2,0.0727,0.0,0.1327,-0.05,-0.05,-0.0,-0.5593,-0.926,-0.4429
DR 58,0.5081,0.9653,0.1327,0.0,0.0,0.0,0.05,0.1343,0.0223
DR 10,-0.5081,-0.2064,-0.6646,-0.05,-0.05,-0.1065,-0.2452,-0.4421,-0.1788
DR 26,0.5081,0.9653,0.1327,0.05,0.05,-0.3904,-0.2452,-0.4421,-0.1788
DR 18,-0.5081,-0.9653,0.1327,-0.4213,-0.4213,-0.1065,0.05,-0.0,-0.1788
