# dim_signature_spearman | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_tum_64_nomt | nothing pruned: every dimension and direction kept | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,EMT_B_EPITHELIAL,EMT_B_HYBRID,EMT_B_MESENCHYMAL,EMT_A_EPITHELIAL,EMT_A_HYBRID,EMT_A_MESENCHYMAL,EMT_C_EPITHELIAL,EMT_C_HYBRID,EMT_C_MESENCHYMAL,EMT_SCORE_B,EMT_SCORE_A,EMT_SCORE_C
DR 59,0.0985,-0.0089,0.0361,0.0833,-0.0293,-0.0213,0.1157,-0.0061,0.0365,-0.0436,-0.0694,-0.0564
DR 25,0.1198,-0.0186,0.0087,0.0777,0.0419,0.0307,0.1219,0.0166,0.035,-0.0779,-0.0319,-0.0629
DR 36,0.0042,-0.0385,0.0311,0.0193,-0.0292,0.0275,-0.0107,-0.0797,0.019,0.0183,0.004,0.02
DR 6,0.1368,0.035,0.0422,0.1289,0.1252,0.0129,0.0936,0.006,0.0969,-0.071,-0.0827,-0.0042
DR 3,-0.212,-0.0118,-0.0569,-0.1654,-0.0252,-0.0413,-0.2027,-0.0489,-0.0933,0.1167,0.0924,0.0878
DR 5,-0.2663,-0.0301,-0.0684,-0.2299,-0.0764,-0.0646,-0.2355,-0.1039,-0.1022,0.1463,0.1204,0.1055
DR 40,-0.1347,-0.0407,-0.0607,-0.0913,-0.0333,-0.0916,-0.143,-0.08,-0.0509,0.055,0.0031,0.0686
DR 41,-0.1564,0.0193,0.0739,-0.1385,-0.015,0.0402,-0.1638,-0.0381,0.0584,0.1641,0.1245,0.1639
DR 60,-0.0362,-0.0905,-0.0618,0.0041,-0.1288,-0.1108,-0.0202,-0.093,-0.1029,-0.0205,-0.0786,-0.0603
DR 23,-0.003,-0.0059,0.0268,0.0019,0.0259,0.0144,0.0126,0.0075,0.0174,0.0182,0.008,0.0028
DR 28,0.3815,-0.0142,-0.0318,0.3879,0.0184,-0.0166,0.3126,0.0471,-0.0068,-0.2965,-0.2809,-0.2367
DR 1,-0.1909,0.0787,0.192,-0.2142,0.0874,0.2709,-0.1614,0.1213,0.1557,0.2748,0.3328,0.235
DR 63,-0.1976,-0.0111,-0.0827,-0.1816,-0.0386,-0.0395,-0.1909,-0.02,-0.1245,0.0917,0.1102,0.0594
DR 53,-0.0207,-0.0205,0.0228,-0.0062,-0.0204,0.018,-0.0105,0.0159,-0.0079,0.0299,0.0154,0.0009
DR 56,0.0295,0.0449,0.075,0.0209,0.0331,0.0723,0.0235,0.013,0.0858,0.0316,0.033,0.0462
DR 46,-0.0438,0.0492,0.0426,-0.0407,0.0533,0.026,-0.0399,0.0317,0.0228,0.0608,0.0479,0.0459
DR 12,-0.1387,-0.074,-0.0383,-0.1142,-0.1141,-0.0223,-0.1379,-0.0909,-0.0992,0.0705,0.0649,0.0287
DR 15,-0.1539,0.0659,0.0681,-0.153,0.0939,0.1217,-0.1417,0.0341,0.048,0.159,0.1869,0.1411
DR 52,0.0276,0.0235,0.0561,0.0203,0.0302,0.0532,0.0241,0.0213,0.0589,0.0152,0.0165,0.0218
DR 20,0.0711,0.0356,0.0868,0.0499,0.032,0.1199,0.0805,0.0552,0.0854,0.0048,0.0413,-0.0013
DR 42,-0.0784,-0.0246,-0.0956,-0.0581,-0.0471,-0.0957,-0.0788,-0.019,-0.0987,-0.0085,-0.0207,-0.0101
DR 50,0.0081,-0.0378,-0.0395,0.0212,0.0193,-0.0237,-0.0098,-0.0263,-0.0318,-0.035,-0.0302,-0.0189
DR 54,-0.1682,0.01,0.0399,-0.1749,0.0038,0.0523,-0.1531,-0.0134,0.0326,0.1395,0.1485,0.1283
DR 13,-0.0504,-0.0512,-0.1828,-0.0083,-0.117,-0.2061,-0.0545,-0.096,-0.1907,-0.0874,-0.1279,-0.0935
DR 61,0.0656,0.0077,-0.0559,0.1063,-0.0493,-0.1028,0.0399,0.0246,-0.067,-0.0889,-0.1433,-0.0821
DR 47,0.0325,0.0127,0.0124,0.0352,-0.0031,0.0134,0.0282,0.0486,-0.006,-0.0176,-0.0167,-0.0276
DR 2,0.1444,-0.0144,0.0291,0.1512,-0.0669,-0.0674,0.1143,-0.0104,0.0571,-0.0943,-0.1573,-0.0535
DR 58,-0.1641,0.0914,0.1289,-0.1658,0.1363,0.1778,-0.1482,0.1008,0.1258,0.2142,0.2386,0.2045
DR 10,-0.0883,-0.0165,-0.1061,-0.0843,-0.0104,-0.0865,-0.0976,0.0184,-0.1144,-0.009,0.0041,-0.0092
DR 26,-0.0083,-0.0156,-0.1067,0.0078,0.0228,-0.139,-0.023,-0.0882,-0.0798,-0.0681,-0.097,-0.0408
DR 18,-0.0698,-0.0332,-0.0143,-0.0551,-0.0296,-0.0288,-0.0649,-0.0246,-0.0448,0.0353,0.0166,0.0114
