# dim_signature_spearman | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP1_CELL_CYCLE_G2_M,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2
DR 37,-0.4476,-0.4053,-0.2661,-0.1279,0.0021,0.1593,0.1193,0.129,0.1215,0.1311,0.0835,0.0918,0.1719,0.1526,0.1253,0.1355,0.1521,-0.05,-0.0971,0.0397,0.0763,0.1588
DR 9,0.2345,0.1905,0.2361,-0.2028,-0.3385,0.0854,-0.1076,0.4466,-0.046,-0.115,0.0681,0.0536,-0.0229,-0.2209,-0.1066,-0.0751,-0.2174,0.4297,0.0734,-0.0688,-0.1539,-0.3557
DR 7,0.0124,0.0046,-0.189,0.2518,0.2347,-0.1562,-0.268,-0.199,-0.0469,0.0384,0.0682,0.0409,-0.1169,0.0459,0.0499,-0.0333,-0.0605,-0.186,-0.1706,-0.0151,0.1433,0.0063
DR 31,0.0354,0.0521,0.0711,-0.0413,-0.0441,-0.017,-0.0412,-0.0821,-0.2983,-0.4553,-0.1325,-0.0796,-0.0354,-0.189,-0.4424,-0.2882,-0.0946,0.0782,0.1511,-0.0623,0.0205,-0.1972
DR 51,0.1254,0.1125,0.0068,0.0108,-0.0614,-0.2151,-0.0618,-0.081,-0.2101,-0.2132,-0.1071,-0.1355,-0.2179,-0.0404,-0.0866,-0.1671,-0.3426,0.0088,-0.0683,-0.1547,-0.1062,-0.2646
DR 33,0.1464,0.1713,-0.03,-0.0783,-0.1408,-0.147,-0.153,-0.1106,-0.2031,-0.2771,-0.0051,-0.0278,-0.0781,-0.1386,-0.0384,-0.1256,-0.1411,-0.0054,-0.0444,-0.108,-0.0694,-0.1708
DR 16,-0.1109,-0.1107,-0.222,0.0422,0.1729,0.1216,0.0826,0.0843,0.1751,0.3544,0.1687,0.0229,0.0218,0.2437,0.3197,0.3423,0.1359,-0.2756,-0.1761,0.2049,-0.0085,0.2721
DR 17,0.1473,0.0663,0.1334,0.0216,-0.1564,0.2377,-0.0832,0.0735,-0.0248,-0.0089,0.246,0.2364,0.0692,0.0128,-0.0965,0.0534,-0.1457,0.1552,0.1072,0.1679,-0.0268,-0.1892
DR 8,-0.1353,-0.1725,-0.1375,0.2531,0.8113,0.04,0.3391,-0.1082,0.1914,0.2835,-0.0023,0.0207,-0.0094,0.2871,0.0228,0.0514,0.0854,-0.1561,-0.1133,0.2112,0.3556,0.1431
DR 35,0.0336,0.0018,0.0663,0.0695,-0.0236,0.021,0.0803,-0.0174,-0.0156,0.0325,-0.1185,-0.1602,-0.0989,-0.1364,-0.3586,-0.1478,-0.0803,0.0075,0.0629,0.0077,-0.1203,-0.1115
DR 27,-0.0796,-0.0086,-0.062,-0.0104,0.1172,-0.1423,0.0252,-0.0366,0.0911,0.1098,-0.1469,-0.1827,-0.0386,-0.0487,0.0456,0.0018,0.1376,-0.1392,-0.0722,-0.0993,0.0031,0.2423
DR 43,-0.0161,-0.0195,-0.1443,0.0078,0.0408,-0.2047,0.0147,0.0262,0.0562,0.0831,0.0259,-0.1027,0.0419,0.0258,0.0663,-0.1451,0.0633,-0.0673,-0.2013,-0.416,0.0487,0.0876
DR 49,-0.0257,-0.0581,-0.0042,0.0894,-0.0379,0.0677,-0.021,-0.0061,0.0711,0.1241,0.2223,0.1603,-0.0228,0.1352,0.0439,0.1084,-0.0964,0.0446,0.0384,0.0946,-0.0123,-0.0909
DR 45,0.0423,0.0228,-0.0109,-0.0112,-0.0153,-0.0622,-0.0188,-0.0328,-0.0798,-0.0856,-0.151,-0.0425,0.0485,-0.0748,-0.1208,-0.1273,0.083,0.0045,-0.0593,-0.1091,-0.0295,0.0232
DR 25,-0.4479,-0.2382,-0.3363,-0.023,0.1705,0.0837,0.1476,-0.0952,0.065,0.1349,0.0394,0.0135,0.098,0.1609,0.1584,0.1182,0.2187,-0.2465,-0.1413,-0.0095,0.1013,0.248
DR 36,0.0452,0.0299,-0.0181,0.1192,0.0704,-0.0356,0.1089,-0.0266,0.0251,0.051,0.0013,-0.0568,-0.1502,-0.0471,-0.1031,-0.0636,-0.3374,-0.0152,-0.0927,0.0434,-0.0215,-0.2617
DR 6,-0.163,-0.1795,-0.2331,0.3987,0.3444,-0.0078,0.249,-0.1875,0.2173,0.3817,0.0225,0.0041,-0.1041,0.1387,-0.0289,-0.0368,0.0011,-0.2267,-0.1385,0.0767,0.1529,0.0729
DR 3,0.8449,0.5752,0.3996,0.0132,-0.2495,-0.1768,-0.2091,0.0841,-0.1757,-0.2535,-0.0869,-0.0921,-0.1947,-0.3045,-0.1836,-0.2087,-0.2583,0.2314,0.0032,-0.1366,-0.1429,-0.3076
DR 5,0.5797,0.7749,0.4758,-0.0282,-0.2759,-0.1622,-0.2733,0.1257,-0.1824,-0.2286,-0.1069,-0.1454,-0.1989,-0.2926,-0.1463,-0.1657,-0.2302,0.3403,0.0585,-0.1803,-0.2074,-0.26
DR 40,0.071,0.0561,0.0957,0.0518,-0.0203,-0.0993,0.0178,0.0068,0.0821,0.0994,-0.0526,-0.2104,-0.2902,0.0739,0.0612,-0.0092,-0.3121,0.0132,0.0596,-0.0918,-0.1276,-0.0481
DR 41,0.1689,0.1071,0.1352,0.0591,0.0328,0.0051,0.0109,0.031,-0.0431,-0.0227,-0.0196,-0.1275,-0.2712,0.0782,-0.0427,-0.0513,-0.2806,0.0786,-0.0021,-0.0317,-0.0914,-0.1794
DR 23,0.067,0.0628,0.0689,-0.0096,-0.0716,0.061,-0.0264,-0.0733,0.0074,-0.0042,-0.0308,-0.0205,0.0436,-0.1676,-0.4152,-0.1003,0.026,-0.0051,0.0957,0.0513,-0.0348,-0.0452
DR 28,-0.0514,-0.0599,-0.1099,0.0471,0.1718,0.0443,0.167,0.0367,0.115,0.1104,-0.0359,0.1116,0.3009,-0.0554,-0.1053,-0.0454,0.3391,-0.0362,-0.1488,0.0206,0.3707,0.1936
DR 1,0.1168,0.0776,-0.1667,-0.0306,0.0227,-0.0768,-0.1417,-0.1572,-0.0881,-0.0689,0.4099,0.077,-0.1436,0.1529,0.1131,0.0654,-0.1649,-0.1529,-0.1885,0.0413,-0.0542,-0.0897
DR 53,0.0053,0.0497,0.0757,-0.1058,-0.2967,0.0503,-0.0968,0.1415,0.0079,0.0095,0.012,0.0013,0.0892,-0.0852,0.0508,0.0462,0.021,0.087,0.065,-0.0384,-0.2339,0.0082
DR 56,0.056,-0.0019,0.0226,0.0745,0.1416,0.0311,0.0382,-0.0209,0.015,0.0501,0.0478,0.0733,0.0327,0.111,0.1097,0.0922,0.0034,-0.0435,-0.0185,0.111,0.0608,0.0257
DR 46,-0.0421,-0.0304,-0.1236,0.0779,0.0675,0.002,0.042,-0.1261,-0.1922,-0.2291,-0.0235,0.098,-0.0159,-0.0504,-0.0283,-0.15,-0.1109,-0.0184,-0.1027,-0.0256,0.1086,-0.1919
DR 12,0.1002,0.1216,0.1344,-0.2513,-0.2029,0.0596,-0.0491,0.3021,-0.1485,-0.1851,-0.0368,-0.0644,0.0392,-0.1156,0.0162,0.0032,-0.0594,0.2008,-0.0278,-0.0604,-0.0762,-0.1187
DR 15,0.1216,0.0805,-0.1604,0.0567,0.1437,-0.1389,-0.0151,-0.1425,-0.1025,-0.0952,0.0468,-0.0001,-0.1482,0.0092,0.0827,-0.0886,-0.1807,-0.1271,-0.2391,-0.0468,0.0742,-0.1577
DR 52,-0.0083,0.0532,0.0265,0.0295,-0.0164,0.0812,-0.0149,0.0612,0.0556,0.088,0.0492,0.0721,0.0561,0.0259,0.0431,0.0662,0.0592,0.0615,0.0044,0.0462,0.0109,0.0559
DR 20,-0.1409,-0.1327,-0.0339,-0.0914,-0.0656,0.189,-0.055,-0.0687,-0.113,-0.1825,0.0909,0.3565,0.5473,-0.0706,0.0097,0.1236,0.3081,-0.0412,0.2132,0.2836,0.1134,0.091
DR 42,0.0416,0.0543,0.1012,-0.1274,-0.1401,-0.0835,-0.0975,0.0505,-0.0966,-0.1165,-0.2105,-0.1473,0.0307,-0.1187,-0.005,-0.0654,0.0309,0.0462,0.1186,-0.1271,-0.1718,-0.0111
DR 50,-0.0384,-0.0298,-0.1366,0.0463,0.1353,0.0896,0.4706,0.0122,0.1286,0.0328,-0.0588,-0.0067,-0.0467,-0.0194,-0.0668,-0.1055,-0.0382,-0.0572,-0.1431,0.0034,0.1353,-0.0722
DR 54,0.046,0.0231,0.0075,-0.0031,-0.1321,-0.0035,-0.0884,-0.0491,-0.0634,-0.0364,0.0878,0.0026,-0.0837,0.03,-0.0014,0.0749,-0.1308,-0.0009,0.0674,0.0208,-0.0968,-0.1252
DR 13,0.1725,0.1336,0.2217,0.0062,-0.1155,-0.575,-0.193,0.0529,-0.1386,-0.1117,-0.1821,-0.1809,-0.0663,-0.1027,0.0091,-0.0505,-0.1101,0.1344,0.1273,-0.2081,-0.1907,-0.1074
DR 47,-0.0346,-0.0232,-0.0312,-0.0238,-0.0117,0.0225,-0.0079,-0.0072,-0.0775,-0.1533,-0.1063,0.0454,0.0748,-0.0454,0.0492,-0.0886,0.0591,0.033,-0.036,-0.0922,0.0119,0.0027
DR 2,-0.0393,-0.0302,0.2582,0.0917,0.0062,0.2131,0.1433,0.1708,0.1842,0.1871,0.008,0.0579,0.0731,0.0372,-0.227,-0.006,0.0454,0.2272,0.2763,0.1666,0.0114,0.0081
DR 10,-0.0834,-0.0973,-0.1519,-0.1054,0.0406,-0.0191,0.1017,-0.1423,-0.3015,-0.3718,-0.1486,0.0073,0.0644,-0.0655,0.0082,-0.1542,0.0446,-0.116,-0.0137,-0.1106,0.1295,-0.077
DR 26,-0.0454,-0.0215,-0.043,0.1009,0.1346,-0.076,0.0637,-0.0415,0.1124,0.1452,-0.323,-0.2721,-0.1559,0.059,0.0652,-0.0064,0.0082,-0.0783,-0.0285,-0.0247,0.002,0.1383
DR 18,0.0568,0.0391,0.0495,-0.0075,-0.0769,0.0491,-0.0068,-0.0505,-0.2279,-0.3107,-0.0507,0.0111,-0.0095,-0.3139,-0.5788,-0.4448,-0.1287,0.0821,0.1119,-0.0197,-0.0149,-0.2934
