# dim_geneset_signed_significance | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP25_ASTROCYTES,MP33_RBCS,MP36_IG,MP41_UNASSIGNED
DR 34,0.0,-0.4262,0.0,0.8029,-0.4155,0.3661,0.1961,0.101,0.0639,-1.4673,-0.0233,0.7284,0.2106,0.5917,24.039,2.2317,0.573,-2.0614,-2.0614,-0.101,-0.3319,0.5239,1.1666,0.0828,0.0,-0.0,0.0
DR 14,-1.1407,-3.1206,0.101,0.3319,0.6938,0.124,-1.1206,0.0,0.0639,-1.4673,0.0233,-0.2638,-3.7,-0.0363,-0.5401,-1.7652,-0.1526,-0.4437,-2.0614,0.0,-0.3319,-0.0,-0.0,-1.4881,-0.0,-0.0,0.6586
DR 59,-0.1268,0.1221,0.0,-0.0,0.0639,-0.124,-1.1206,0.101,0.0639,1.4673,0.1194,-0.7284,-2.4127,0.3596,-6.4108,-5.5283,0.8676,0.4437,0.4437,0.3661,0.3319,-0.1079,-0.3547,-3.1649,0.026,0.0,-0.0
DR 27,0.0,0.0,0.0,-1.4777,-0.4155,0.3661,0.1961,0.101,6.6647,-2.373,0.6938,-0.4437,1.0447,1.7042,0.5401,6.3692,2.6601,-2.0614,-1.1206,1.3117,0.8676,-1.6636,3.0283,2.5303,-0.026,-0.0,-0.0
DR 30,-0.0,0.4262,-0.101,-0.0,1.4241,0.3661,1.1206,-1.36,-2.3749,0.0164,5.1148,8.4384,3.7,-0.5917,-0.5401,1.7652,-1.2048,0.0639,0.0639,0.101,2.1011,0.5239,-4.2713,1.1074,-0.9041,0.0,0.0
DR 1,-0.1268,-1.4673,0.0,-0.0,-0.2106,-2.2317,-1.1206,-0.573,-0.0,-0.779,35.7624,1.4218,-1.8979,4.8679,-0.0,1.3508,-1.2048,-1.1206,-2.0614,0.101,0.3319,-0.0,-0.1852,0.7343,-0.026,0.0,0.0
DR 41,-0.0,-0.4262,0.101,4.8668,-1.8979,4.747,-0.1961,0.573,0.6152,-0.0164,-1.3054,0.7284,2.4127,-0.9165,-1.1206,-2.7892,1.6359,-0.4437,-2.0614,-0.779,-4.6989,0.5239,0.3547,-2.5303,-0.026,0.1852,-0.0
DR 57,-0.1268,-0.4262,0.0,-4.8668,-0.0,-1.6359,-1.1206,-0.101,0.6152,0.779,-0.2688,0.2638,1.8979,0.0363,1.1206,1.3508,0.3319,-1.1206,0.0639,0.779,-2.6601,-0.0,-0.0,1.4881,-0.026,0.0,0.0
DR 20,-0.0,-0.1221,0.0,-0.3319,1.0447,-2.2317,-0.573,0.101,-0.2951,0.2996,0.0233,-1.4218,-8.0991,1.2756,-2.38,1.01,-3.2693,-1.1206,2.0614,0.3661,3.2693,-1.2048,-0.1852,-0.2309,0.2106,-0.0,-0.0
DR 18,-14.8914,-5.518,0.101,0.5401,0.6938,-0.124,-3.8635,0.0,0.0639,0.779,-0.0,-0.1079,-0.6938,0.3596,-0.0,-0.0012,-0.0,-0.4437,-0.4437,-0.0,0.573,-0.0,-0.0,-0.0828,0.026,-0.0,0.2363
DR 15,0.0233,0.1221,0.101,-0.0,-0.4155,-0.3661,0.1961,0.101,3.2288,0.2996,-0.2688,-11.6262,-16.9209,1.2756,3.5073,1.01,-11.5489,0.4437,-0.4437,-0.0,-1.6359,-1.2048,-0.8526,0.4437,0.026,-0.0,-0.0
DR 44,-0.0,0.1221,0.0,0.1622,0.0639,1.1206,-1.1206,-0.573,-1.1074,-0.779,-1.6884,-0.4437,1.0447,-0.9165,-0.0,-5.5283,0.8676,-0.4437,1.1206,-1.3117,-1.2048,-0.0,0.1852,-5.4855,0.2106,-0.0,0.0
DR 8,7.0433,2.2012,0.101,-0.5401,-0.2106,-0.0,2.7434,0.101,-0.2951,0.0164,0.0233,-0.0109,-1.8979,-0.0363,-0.3319,-0.2342,-1.2048,0.0639,0.0639,-0.3661,0.1526,0.0,-0.573,-0.0828,0.0,0.0,0.0
DR 54,-0.0,0.1221,0.0,1.1206,-0.6938,1.1206,-0.1961,0.0,-0.2951,0.2996,0.6938,-1.0563,-3.0283,0.5917,-4.8668,-2.2317,-2.6601,0.4437,1.1206,-0.3661,-0.573,-0.0,-0.573,0.7343,-0.0,0.0,0.0
DR 52,0.1268,0.1221,-0.101,-8.1684,0.6938,-0.3661,0.573,0.0,1.1074,0.779,0.2688,0.0109,2.4127,-0.5917,-10.0923,1.7652,0.3319,0.0639,2.0614,0.3661,0.573,-2.1859,-0.3547,1.9993,0.026,-0.1852,0.0
DR 39,0.302,0.8755,0.0,-0.1622,-0.0639,-0.0,-0.0,0.0,-0.2951,0.2996,0.2688,-0.7284,-1.8979,-0.5917,-0.8029,0.2342,-15.3463,0.0639,0.0,-0.779,0.8676,-0.1079,-4.2713,1.1074,-0.4938,-0.0,0.0
DR 23,-0.0,0.0,0.0,1.1206,1.8979,0.6938,0.1961,0.101,-5.3736,1.4673,-3.1649,-2.3409,0.6938,-2.2012,-13.3588,-4.0329,-1.2048,1.1206,2.0614,-1.3117,0.573,0.8426,-5.7778,-1.1074,-0.026,-0.0293,0.0
DR 4,0.302,0.8755,-2.5594,-2.38,0.2106,1.6359,1.1206,-0.573,-2.3749,1.4673,-0.1194,-0.0,0.6938,-0.1727,0.5401,0.4262,-0.0,1.1206,2.0614,-0.3661,-0.1526,0.0,-0.0,0.2309,-0.0,0.0,-3.1037
DR 19,0.0,0.0,0.0,0.3319,-0.6938,0.6938,0.1961,2.5594,3.2288,-0.2996,0.4437,0.1079,1.0447,1.2756,25.6152,4.7695,2.6601,-0.4437,-2.0614,-0.0,-0.3319,-0.0,7.4829,0.4437,-0.2106,0.1852,0.0
DR 33,-0.5246,-0.4262,0.0,0.3319,1.4241,-0.6938,-2.7434,-0.573,1.1074,-1.4673,3.1649,0.4437,0.2106,0.9165,2.9278,3.3889,1.6359,-2.0614,-0.4437,0.779,1.2048,0.2951,5.0188,0.7343,-0.2106,-0.0,0.0
DR 46,-0.0,-0.4262,0.0,-0.0,-0.0,-0.124,-0.573,-0.101,-0.0639,0.2996,0.1194,0.4437,-1.4241,-0.0,0.0,-0.0012,-0.1526,-0.4437,-2.0614,-0.101,-0.0293,0.0,-0.0,-0.0,2.7731,-0.0,-0.0
DR 3,-0.1268,-2.2012,0.573,0.3319,-0.6938,-0.3661,-1.8301,-0.573,0.0639,-1.4673,0.0,-0.0109,-4.4372,-0.0,-0.5401,-0.0012,-1.2048,-1.1206,-2.0614,-0.779,-0.1526,0.2951,-0.0,-0.2309,-0.026,-0.0,2.0614
DR 21,-0.0,0.8755,0.0,-2.38,1.0447,-0.3661,0.1961,-0.573,0.2951,0.779,-0.1194,-2.3409,-1.4241,-1.2756,-24.039,-2.7892,-0.573,0.0,0.0639,0.3661,0.573,-2.1859,-1.1666,0.2309,0.0,0.0,0.0
DR 51,-0.0,-0.0,-0.101,-0.5401,0.2106,-0.6938,1.8301,0.573,0.6152,-0.779,-0.2688,-0.4437,-1.0447,-0.9165,-0.0,-0.6895,0.8676,1.1206,1.1206,0.779,-0.8676,-0.5239,0.0639,-1.4881,0.026,0.0,0.0
DR 45,-0.0,-0.1221,0.0,15.759,3.7,2.2317,0.573,1.36,0.2951,-0.779,-0.0,-0.0,1.0447,-0.1727,-0.1622,-0.6895,-0.0,0.0639,-1.1206,0.101,2.1011,0.8426,-0.0,-0.7343,0.026,0.0293,-0.0
DR 64,0.0233,-0.4262,-0.101,0.0474,1.0447,4.747,-0.1961,0.0,0.0,-0.779,-0.4437,-0.4437,-1.4241,-0.1727,0.5401,-2.2317,-0.3319,-0.4437,-0.4437,0.3661,0.8676,-0.0,-0.3547,-1.9993,-0.2106,-0.0,0.0
DR 40,-0.0,0.1221,0.101,-0.5401,-0.6938,-0.0,0.1961,-0.101,0.0639,1.4673,-0.2688,-2.9092,-9.151,-0.3596,3.5073,1.01,-11.5489,1.1206,2.0614,-0.3661,-3.2693,-1.2048,-0.1852,-1.1074,-0.0,-0.0,-0.0
DR 60,-0.0233,-0.4262,0.0,-2.9278,-0.0639,0.3661,0.573,0.101,0.0639,-0.779,1.3054,0.2638,1.0447,-0.3596,1.1206,0.6895,-0.8676,-0.4437,0.4437,0.101,0.573,-0.2951,-1.1666,-1.4881,-0.2106,-0.0,0.0
DR 13,1.1407,1.4673,-0.101,-2.38,0.2106,0.6938,3.8635,0.0,-0.2951,0.779,-0.0233,-0.1079,0.4155,-0.9165,0.8029,1.01,0.1526,1.1206,-1.1206,0.3661,-0.3319,0.2951,-0.573,-0.0,0.2106,0.0,-0.2363
DR 24,20.6045,7.0576,0.101,-0.0,-0.2106,-0.124,-0.0,0.0,-0.0,-1.4673,-0.1194,-0.1079,-0.4155,-0.0363,-0.5401,-0.2342,-1.2048,-0.4437,0.4437,-0.779,-0.0,-0.0,-0.1852,-0.0,-0.026,0.0,0.0
DR 43,0.0,0.0,-0.101,-0.8029,-1.0447,-0.3661,-1.1206,0.573,2.3749,-0.779,-0.6938,-4.1746,-9.151,0.3596,-0.0,1.3508,0.3319,-0.0639,-0.0639,0.3661,-2.1011,-0.8426,5.0188,0.2309,0.026,-0.0,0.0
DR 56,0.8123,0.4262,0.101,-0.0,-0.6938,-0.3661,0.0,-0.101,0.0,0.779,-0.0233,0.0109,1.4241,-0.0,0.5401,2.7892,0.573,-1.1206,-2.0614,-0.3661,0.573,-0.0,1.1666,3.8635,0.2106,0.0,-0.0
DR 42,-0.0,-0.1221,0.101,19.6885,-0.2106,-1.6359,-0.0,0.0,-0.0639,-0.2996,-0.0,0.4437,-1.8979,0.9165,-0.3319,-0.4262,0.1526,-1.1206,-1.1206,-0.101,0.0293,12.7864,0.1852,-0.4437,0.026,-0.0,-0.0
DR 10,0.5246,1.4673,0.101,0.3319,-0.4155,0.3661,-0.0,0.101,-3.2288,1.4673,-8.4018,-4.1746,3.7,-2.2012,-0.3319,-4.0329,0.573,0.0639,-0.4437,-0.779,-6.3629,1.2048,0.1852,-3.8635,0.0,-0.0,-0.0
DR 50,-0.0,0.4262,0.0,-1.1206,-0.4155,0.3661,-0.1961,0.0,0.2951,1.4673,0.1194,0.0109,-2.4127,-0.5917,-1.9139,-1.7652,-4.6989,0.0639,2.0614,-0.3661,0.0293,-0.0,-6.6072,0.7343,-0.0,0.0,0.0
DR 48,0.1268,0.4262,0.0,-1.1206,0.2106,0.6938,1.1206,0.101,0.6152,0.2996,-0.0,1.4218,-1.0447,-0.0,-0.0474,0.2342,0.573,1.1206,1.1206,0.0,-0.3319,-0.5239,-0.0,0.4437,0.026,-0.0,0.0
DR 5,-34.3671,-8.9672,0.101,2.9278,1.0447,2.2317,-1.8301,0.573,0.2951,0.2996,-0.0,0.1079,3.7,0.5917,0.8029,0.6895,0.8676,-1.1206,0.0639,-0.0,0.573,1.2048,-0.0,-0.0,0.0,0.1852,0.6586
DR 29,-0.0,-0.0,0.0,0.5401,-1.0447,-0.3661,0.573,-0.101,-4.1923,0.779,-1.3054,-0.0109,-1.4241,-0.9165,-2.38,-9.1586,-2.6601,1.1206,1.1206,-2.0097,-0.3319,-0.0,-5.7778,-3.1649,-0.4938,-0.0,0.0
DR 36,1.5469,1.4673,0.0,0.0474,-0.4155,0.6938,7.0463,0.101,3.2288,-0.779,0.0233,0.7284,3.7,0.0363,1.1206,2.2317,0.1526,1.1206,-1.1206,0.3661,0.3319,-0.1079,0.3547,1.1074,0.2106,0.0,0.0
DR 22,-0.0,-0.0,0.0,-4.8668,0.4155,-1.6359,-0.573,-0.573,-0.0639,0.2996,0.2688,-4.9357,-8.0991,0.5917,4.1323,3.3889,-12.7595,-0.4437,1.1206,1.3117,-1.6359,-6.919,-1.1666,1.9993,0.026,0.0,0.0
DR 9,-0.302,-0.8755,0.0,38.9335,1.4241,2.9627,-0.573,0.101,0.0639,-1.4673,-0.2688,-0.4437,-1.4241,1.7042,-0.0474,0.1009,0.573,-2.0614,-3.408,0.0,1.6359,9.0567,0.1852,0.0828,0.026,0.1852,0.6586
DR 16,0.0,-0.4262,0.0,1.4777,30.1827,5.7778,1.1206,2.5594,0.6152,-0.2996,1.6884,5.73,5.2671,0.5917,-1.4777,-1.3508,2.6601,-1.1206,-0.4437,-0.3661,9.2772,3.4601,0.1852,-0.7343,0.2106,0.0293,0.0
DR 2,0.302,0.4262,0.0,-0.0,1.8979,0.6938,0.1961,0.101,-0.0639,0.0164,0.0233,-0.0,0.2106,0.0363,-0.0,0.4262,0.3319,0.0,1.1206,0.101,0.1526,-0.0,-0.0,0.7343,-0.4938,0.0,0.0
DR 32,-0.0,0.1221,-0.101,0.0474,0.2106,0.3661,3.8635,-0.573,-1.1074,0.2996,0.0233,0.4437,2.4127,0.5917,18.3417,1.3508,-0.3319,0.4437,-0.4437,-0.779,-1.2048,-0.0,-0.0,-1.1074,0.026,0.0293,0.0
DR 61,-0.302,-0.0,0.0,1.1206,0.0639,-0.0,-0.1961,-0.101,-1.1074,3.5691,0.4437,0.2638,-3.0283,0.5917,-8.1684,-4.0329,-2.1011,0.4437,-0.4437,0.3661,0.3319,-0.0,-3.0283,1.1074,0.4938,-0.0,0.0
DR 35,0.0233,0.1221,0.0,-0.0,0.0639,0.3661,0.573,0.573,0.6152,0.2996,-0.0,0.0109,2.4127,0.0363,0.3319,0.2342,1.6359,1.1206,2.0614,0.3661,-0.0,-0.0,0.3547,0.7343,0.026,-13.5065,0.0
DR 6,0.0,0.1221,-0.101,-3.5073,1.0447,-1.6359,-0.573,-0.573,-1.1074,0.779,0.4437,2.9092,2.4127,-0.9165,-0.0,-1.3508,-2.1011,0.4437,-0.4437,-0.3661,0.8676,0.8426,-7.4829,-0.7343,0.9041,-0.0293,0.0
DR 7,0.302,0.1221,-0.573,2.9278,1.4241,1.6359,3.8635,1.36,1.1074,-0.2996,-0.1194,-0.1079,-0.4155,-0.1727,-0.8029,-1.01,0.8676,-1.1206,-3.408,0.101,-0.573,1.2048,-0.3547,0.2309,-0.2106,0.0293,-0.2363
DR 31,0.1268,0.4262,0.0,-0.3319,0.0639,-14.7096,-2.7434,-1.36,-1.1074,0.2996,0.0233,0.7284,1.8979,0.3596,0.1622,1.01,-1.2048,0.4437,3.408,0.101,-0.573,-0.0,0.3547,1.1074,0.2106,0.0,0.0
DR 26,-0.0,-0.0,0.0,-2.9278,-3.7,-2.2317,-0.573,0.573,-0.2951,0.2996,-0.0,-4.9357,-7.0817,-0.3596,-4.8668,-1.7652,-5.5009,0.0639,0.0639,0.101,-2.1011,-4.1888,-1.1666,-0.4437,-0.026,-0.0,0.0
DR 25,-0.0,0.0,0.0,0.5401,0.6938,0.6938,1.1206,0.101,0.2951,-0.2996,0.0233,0.1079,0.4155,-0.3596,2.9278,2.2317,1.2048,0.0639,-1.1206,-0.101,0.8676,0.1079,-0.1852,-1.1074,-0.2106,-0.0,0.0
